"groups","est_dG"
"-CO-OPO3- : -1 | Origin : -1 | ring -NH- : -1 | orthophosphate : 1 | H : 1 | >C=O : 1 | amide : 1 | ring -N< : 1",-0.28
"-OH : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1 | -O-CO- : 1",-3.61
"-OH : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1 | -O-CO- : 1",-3.61
"-OH : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1 | -O-CO- : 1",-3.61
"-OH : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1 | -O-CO- : 1",-3.61
"orthophosphate : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | Origin : 1 | H : -1 | -SH : 1 | COA : 1 | -CO-OPO3- : 1",3.69
"orthophosphate : -1 | H : -1 | -CH=O : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1 | formylphosphate : 1",1.13
"orthophosphate : -1 | >C=O : -1 | -COO : -1 | OCCO : -1 | H : -1 | formate : 1 | -CO-OPO3- : 1",-1.36
"-OPO2- : -1 | -CH3 : 1 | >C=O : 1 | -SH : -1 | COA : -1 | acetate : -1 | orthophosphate : 1 | -S- : 1 | thioester : 1",0.48
"-CH2- : 1 | -CH3 : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1",7.06
"-OH : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1 | -O-CO- : 1",-3.61
"-OH : -1 | >C=O : -1 | -S- : -1 | thioester : -1 | -SH : 1 | COA : 1 | -O-CO- : 1",-3.61
,0.00
"COA : 1",0.00
"COA : 1",0.00
"orthophosphate : -1 | H : -1 | -O- : -1 | -OH : 1 | Origin : 1 | -OPO3 : 1",-0.80
"orthophosphate : -1 | H : -1 | -O- : -1 | -OH : 1 | Origin : 1 | -OPO3 : 1",-0.80
,0.00
"-OH : -1 | -OPO3- : -1 | -O- : 1 | -OPO3 : 1",-1.70
"-OH : -1 | -OPO3- : -1 | -OPO3 : 1 | -O- : 1",-1.70
"-OH : -1 | -OPO3- : -1 | -OPO3 : 1 | -O- : 1",-1.70
"-OH : -1 | -OPO3- : -1 | -OPO3 : 1 | -O- : 1",-1.70
"Origin : 1",0.00
"Origin : 1",0.00
"Origin : 1",0.00
"orthophosphate : -1 | H : -1 | -O- : -1 | -OH : 1 | Origin : 1 | -OPO3 : 1",-0.80
"orthophosphate : -1 | H : -1 | -O- : -1 | -OH : 1 | Origin : 1 | -OPO3 : 1",-0.80
"orthophosphate : -1 | H : -1 | -O- : -1 | -OH : 1 | Origin : 1 | -OPO3 : 1",-0.80
"orthophosphate : -1 | H : -1 | -O- : -1 | -OH : 1 | Origin : 1 | -OPO3 : 1",-0.80
"orthophosphate : -1 | H : -1 | -OH : 1 | ring -CH< : 5 | -O- : -1 | ring -O- : 1 | -CH=O : -1 | >CH- : -4 | Origin : 1 | -OPO3 : 1",-3.12
"orthophosphate : -1 | H : -1 | -O- : -1 | -OH : 1 | Origin : 1 | -OPO3 : 1",-0.80
,0.00
"-OH : -1 | -OPO3- : -1 | -O- : 1 | -OPO3 : 1",-1.70
"orthophosphate : -1 | H : -1 | ring -N< : -1 | Origin : 1 | ring -NH- : 1 | -OPO3 : 1",1.58
"orthophosphate : -1 | H : -1 | ring -N< : -1 | ring -NH- : 1 | Origin : 1 | -OPO3 : 1",1.58
"orthophosphate : -1 | H : -1 | ring -N< : -1 | ring -NH- : 1 | Origin : 1 | -OPO3 : 1",1.58
"orthophosphate : -1 | H : -1 | ring -N< : -1 | ring -NH- : 1 | Origin : 1 | -OPO3 : 1",1.58
"ring =N- : -1 | Origin : -1 | -OPO3 : -1 | orthophosphate : 1 | dbl sgl ring =N< : 1",1.36
"orthophosphate : -1 | H : -1 | ring -N< : -1 | ring -NH- : 1 | Origin : 1 | -OPO3 : 1",1.58
"orthophosphate : -1 | H : -1 | ring -N< : -1 | ring -NH- : 1 | Origin : 1 | -OPO3 : 1",1.58
"-OPO2- : -1 | -OPO3 : -1 | Origin : -1 | ring -NH- : -1 | pyrophosphate : 1 | ring -N< : 1",-3.01
"-OPO2- : -1 | -OPO3 : -1 | Origin : -1 | ring -NH- : -1 | pyrophosphate : 1 | ring -N< : 1",-3.01
,0.00
"-OPO2- : -1 | -OPO3 : -1 | Origin : -1 | ring -NH- : -1 | pyrophosphate : 1 | ring -N< : 1",-3.01
"-OPO2- : -1 | -OPO3 : -1 | Origin : -1 | ring -NH- : -1 | pyrophosphate : 1 | ring -N< : 1",-3.01
"pyrophosphate : -1 | -OPO3 : 1 | ring -N< : -1 | ring -NH- : 1 | Origin : 1 | -OPO2- : 1",3.01
"orthophosphate : -1 | H : -1 | ring -N< : -1 | ring -NH- : 1 | Origin : 1 | -OPO3 : 1",1.58
"dbl sgl ring =N< : -1 | ring =N- : 1 | -NH2 : -1 | H : 1 | -NH- : 1",-10.40
,0.00
"-OH : -1 | Origin : -1 | -OPO3 : -1 | orthophosphate : 1 | H : 1 | -O- : 1",0.80
">CH- : 1 | -CH2- : 1 | -SH : -1 | Origin : -1 | =CH- : -2 | OCCC : -1 | -S- : 1",-7.84
">CH- : 1 | -CH2- : 1 | -SH : -1 | Origin : -1 | =CH- : -2 | OCCC : -1 | -S- : 1",-7.84
">CH- : 1 | -CH2- : 1 | -SH : -1 | Origin : -1 | =CH- : -2 | OCCC : -1 | -S- : 1",-7.84
">CH- : 1 | -CH2- : 1 | -SH : -1 | Origin : -1 | =CH- : -2 | OCCC : -1 | -S- : 1",-7.84
">CH- : 1 | -CH2- : 1 | -SH : -1 | Origin : -1 | =CH- : -2 | OCCC : -1 | CCCC : -1 | -S- : 1",-3.02
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
">CH- : -1 | -CH2- : 1 | -CH=O : -1 | >C=O : 1 | OCCO : 1",1.00
">C=O : -1 | OCCO : -1 | ring -CH< : -1 | ring >C=O : 1 | >CH- : 1",-3.92
">C=O : -1 | -CH2- : -1 | -CH=O : 1 | >CH- : 1",1.46
,0.00
,0.00
,0.00
"-OH : -1 | -OPO2- : -1 | -OPO3 : 1",-4.50
"-OH : -1 | -OPO2- : -1 | -OPO3 : 1",-4.50
"-OH : -1 | -OPO3 : 1 | -OPO2- : -1",-4.50
"-OH : -1 | -OPO2- : -1 | -OPO3 : 1",-4.50
"-OH : -1 | -OPO2- : -1 | -OPO3 : 1 | COA : 1",-4.50
"-COO : -1 | H : -1 | -OPO2- : -1 | -CO-OPO3- : 1",2.63
">C=O : -1 | -CH3 : -1 | OCCO : -1 | -OPO2- : -1 | -OPO3 : 1 | =C< : 1 | =CH2 : 1 | OCCC : 1",4.61
">C=O : -1 | -CH3 : -1 | OCCO : -1 | -OPO2- : -1 | -OPO3 : 1 | =C< : 1 | =CH2 : 1 | OCCC : 1",4.61
"-OH : -1 | -OPO2- : -1 | -OPO3 : 1",-4.50
"pyrophosphate : -1 | -OH : -1 | orthophosphate : 1 | H : 1 | -OPO3 : 1",-3.07
"H : -1 | -OPO2- : -1 | Origin : 1 | acetate : -1 | -CO-OPO3- : 1 | -CH3 : 1",4.17
"H : -1 | -COO : -1 | -OPO2- : -1 | -CO-OPO3- : 1",2.63
"-COO : -1 | H : -1 | -OPO2- : -1 | -CO-OPO3- : 1",2.63
"-NH- : 1 | -NH2 : -1 | -OPO2- : -1 | H : 1 | -OPO2 : 1",1.93
"-NH2 : -1 | -OPO2- : -1 | H : 1 | -NH- : 1 | -OPO2 : 1",1.93
"ring =NH- : -1 | -OPO2- : -1 | H : 1 | dbl sgl ring =N< : 1 | -OPO2 : 1",2.60
"-NH- : -1 | -NH2 : 1 | ring =NH- : -1 | dbl sgl ring =N< : 1",0.67
,0.00
,0.00
"-NH- : 1 | -NH2 : -1 | -OPO2- : -1 | H : 1 | -OPO2 : 1",1.93
"-NH- : 1 | -NH2 : -1 | -OPO2- : -1 | H : 1 | -OPO2 : 1",1.93
"-NH- : 1 | -NH2 : -1 | -OPO2- : -1 | H : 1 | -OPO2 : 1",1.93
,0.00
"H : -1 | ring =N- : -1 | ring =NH- : 1",9.73
,0.00
"ring =CH- : 1 | ring -N< : 1 | heteroaromatic : 2 | ring -CH2- : -1 | dbl sgl ring =N< : -1 | NCCN : -2 | CCNC : -2 | H : 1",0.45
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
"-OPO3 : 1 | -OH : -1 | -OPO2- : -1",-4.50
"-OPO3 : -2 | Origin : -1 | -OPO2- : -1 | -OPO3- : 1 | pyrophosphate : 1",1.07
"sulfate : -1 | H : -1 | -OPO2- : -1 | -OPO3 : -1 | pyrophosphate : 1 | -SO4 : 1",12.57
"sulfate : -1 | -OPO2- : -1 | -OPO3 : -1 | H2O : -1 | orthophosphate : 2 | H : 1 | -SO4 : 1",7.18
"-OH : -1 | Origin : -1 | -OPO2- : -2 | -OPO3 : -1 | pyrophosphate : 1 | -OPO3- : 1",-3.43
"-OPO2- : -1 | -OPO3 : -2 | Origin : -1 | pyrophosphate : 1 | -OPO3- : 1",1.07
,0.00
"-OPO2- : -1 | -OPO3 : -2 | Origin : -1 | pyrophosphate : 1 | -OPO3- : 1",1.07
"-OPO2- : -1 | -OPO3 : -2 | Origin : -1 | pyrophosphate : 1 | -OPO3- : 1",1.07
"-OPO2- : -1 | -OPO3 : -2 | Origin : -1 | pyrophosphate : 1 | -OPO3- : 1",1.07
"-OPO2- : -1 | -OPO3 : -2 | Origin : -1 | pyrophosphate : 1 | -OPO3- : 1",1.07
"-OPO2- : -1 | -OPO3 : -2 | Origin : -1 | pyrophosphate : 1 | -OPO3- : 1",1.07
"-OPO2- : -1 | -OPO3 : -2 | Origin : -1 | pyrophosphate : 1 | -OPO3- : 1",1.07
"-OPO2- : -1 | -OPO3 : -2 | Origin : -1 | pyrophosphate : 1 | -OPO3- : 1",1.07
"-OPO3- : -1 | ring -N< : 1 | ring -NH- : -1 | -OPO3 : 1",-4.08
"orthophosphate : -1 | >C=O : -1 | -CH3 : -1 | OCCO : -1 | H : -1 | -OPO2- : -2 | -OPO3 : 1 | pyrophosphate : 1 | =C< : 1 | =CH2 : 1 | OCCC : 1",3.18
"ring -N< : -1 | ring =N- : -1 | -OH : -1 | -OPO3 : 1 | -OPO2- : -1 | heteroaromatic : -2 | H : -1 | dbl sgl ring =N< : 1 | ring -NH- : 1 | CCCN : 1 | CCNC : 3",-2.95
"ring -N< : -1 | ring =N- : -1 | -OH : -1 | -OPO3 : 1 | -OPO2- : -1 | heteroaromatic : -2 | H : -1 | dbl sgl ring =N< : 1 | ring -NH- : 1 | CCCN : 1 | CCNC : 3",-2.95
,0.00
"-O-CO- : -1 | -OH : 1 | Origin : 1 | H2O : -1 | H : 1 | -COO : 1",-2.14
"-O-CO- : -1 | Origin : 1 | H2O : -1 | H : 1 | -COO : 1 | -OH : 1",-2.14
"-OPO3 : -1 | H2O : -1 | orthophosphate : 1 | H : 1 | -OH : 1",-2.32
"-OH : 1 | -OPO3 : -1 | H2O : -1 | orthophosphate : 1 | H : 1",-2.32
"-OPO3 : -1 | -OH : 1 | H2O : -1 | orthophosphate : 1 | H : 1",-2.32
"-OH : 1 | -OPO3 : -1 | H2O : -1 | orthophosphate : 1 | H : 1",-2.32
"-OPO3 : -1 | -OH : 1 | H2O : -1 | orthophosphate : 1 | H : 1",-2.32
"-OPO3 : -1 | -OH : 1 | H2O : -1 | orthophosphate : 1 | H : 1",-2.32
"-OPO3 : -1 | -OH : 1 | H2O : -1 | orthophosphate : 1 | H : 1",-2.32
"-OPO3 : -1 | H2O : -1 | orthophosphate : 1 | H : 1 | -OH : 1",-2.32
"-OPO3 : -1 | H2O : -1 | orthophosphate : 1 | H : 1 | -OH : 1",-2.32
"pyrophosphate : -1 | H2O : -1 | orthophosphate : 2 | H : 2",-5.39
"ring -CH< : 2 | two fused rings >CH- : -2 | ring -O- : -1 | ring -OPO2- : -1 | -OH : 1 | H2O : -1 | -OPO3 : 1",-7.73
"methanol : -1 | ring -CH< : 2 | ring -O- : -1 | -OH : 1 | two fused rings >CH- : -2 | ring -OPO2- : -1 | -OPO3- : 1 | -CH3 : 1",-6.17
"H2O : -1 | -OH : 2 | -O- : -1 | Origin : 1",-3.11
"H2O : -1 | -O- : -1 | -OH : 2 | Origin : 1",-3.11
"ring -N< : -1 | -OH : 1 | Origin : 1 | H2O : -1 | ring -NH- : 1",-0.73
"ring -N< : -1 | ring =CH- : -1 | dbl sgl ring =N< : 1 | heteroaromatic : -2 | H : -1 | ring -CH2- : 1 | NCCN : 2 | CCNC : 2",-0.45
,0.00
"ring -N< : -1 | -OH : 1 | Origin : 1 | H2O : -1 | ring -NH- : 1",-0.73
"-OH : 1 | -S- : -1 | Origin : 1 | H2O : -1 | -SH : 1",5.67
"ring -CH< : 2 | ring -O- : -1 | two fused rings >CH- : -2 | -OH : 2 | threemember : -1 | H2O : -1",0.37
"-NH- : -1 | >C=O : -1 | -COO : 1 | amide : -1 | Origin : 1 | H2O : -1 | -NH3 : 1",-0.46
"H2O : -1 | -CH2- : -1 | -CH3 : -1 | -O-CO- : -1 | H : 1 | -COO : 1 | ethanol : 1",-2.05
">C=O : -1 | amide : -1 | -NH- : -1 | Origin : 1 | H2O : -1 | -COO : 1 | -NH3 : 1",-0.46
">C=O : -1 | -OH : -1 | amide : -1 | -NH- : -1 | H2O : -1 | H : 1 | hydroxylamine : 1 | -COO : 1",-1.14
">C=O : -1 | amide : -1 | -NH- : -1 | Origin : 1 | H2O : -1 | -NH3 : 1 | -COO : 1",-0.46
">C=O : -1 | amide : -1 | -NH2 : -1 | H2O : -1 | NH4 : 1 | -COO : 1",-4.72
">C=O : -1 | amide : -1 | -NH- : -1 | Origin : 1 | H2O : -1 | -COO : 1 | -NH3 : 1",-0.46
">C=O : -1 | amide : -1 | -NH- : -1 | Origin : 1 | H2O : -1 | -COO : 1 | -NH3 : 1",-0.46
"-COO : 1 | >C=O : -1 | -OH : -1 | amide : -1 | -NH- : -1 | H2O : -1 | H : 1 | hydroxylamine : 1",-1.14
"H : -1 | carbamate : -1 | H2O : -1 | NH4 : 1 | HCO3 : 1",2.69
"-COO : 1 | >C=O : -1 | -NH2 : 1 | amide : -1 | -NH- : -1 | Origin : 1 | H2O : -1 | H : 1",-1.70
">C=O : -1 | -COO : 1 | amide : -1 | -NH- : -1 | Origin : 1 | H2O : -1 | H : 1 | -NH2 : 1",-1.70
">C=O : -1 | -COO : 1 | amide : -1 | -NH- : -1 | Origin : 1 | H2O : -1 | -NH3 : 1",-0.46
"-COO : 1 | >C=O : -1 | amide : -1 | -NH- : -1 | Origin : 1 | H2O : -1 | -NH3 : 1",-0.46
"-CH2- : -2 | >C=O : -1 | amide : -1 | -NH- : -1 | H2O : -1 | >CH- : 1 | -NH3 : 1 | acetate : 1",-3.81
">C=O : -1 | -CH3 : -1 | amide : -1 | -NH- : -1 | H2O : -1 | -NH3 : 1 | acetate : 1",-2.00
"-CH3 : -1 | >C=O : -1 | amide : -1 | -NH- : -1 | H2O : -1 | -NH3 : 1 | acetate : 1",-2.00
">C=O : -1 | -CH3 : -1 | amide : -1 | -NH- : -1 | H2O : -1 | -NH3 : 1 | acetate : 1",-2.00
"-CH3 : -1 | >C=O : -1 | amide : -1 | -NH- : -1 | H2O : -1 | -NH3 : 1 | acetate : 1",-2.00
"-CH3 : -1 | >C=O : -1 | amide : -1 | -NH- : -1 | H2O : -1 | -NH3 : 1 | acetate : 1",-2.00
">C=O : -1 | -COO : 1 | -CH3 : -1 | amide : -1 | -NH- : -1 | H2O : -1 | methylamine : 1",-0.11
"ring -CH< : -1 | ring -CH2- : -1 | -COO : 1 | ring >C=O : -2 | ring -NH- : -2 | H2O : -1 | H : 1 | >CH- : 1 | -CH2- : 1 | >C=O : 1 | -NH- : 1 | -NH2 : 1",-5.28
"ring -CH< : -1 | ring >C=O : -2 | -COO : 1 | ring -NH- : -2 | H2O : -1 | H : 1 | >CH- : 1 | >C=O : 1 | -NH- : 1 | -NH2 : 1",-3.72
"ring >C=O : -1 | two fused rings >CH- : -1 | -COO : 1 | two fused rings -N< : -1 | H2O : -1 | H : 1 | >CH- : 1 | ring -NH- : 1",-9.58
">C=O : -1 | amide : -2 | -NH- : -1 | -NH2 : -1 | H2O : -1 | urea : 1 | -OH : 1",10.95
"H : -1 | ring =N- : -1 | ring =C< : -1 | -NH2 : -1 | heteroaromatic : -1 | H2O : -1 | NH4 : 1 | ring >C=O : 1 | amide : 1 | ring -NH- : 1 | OCCC : 1 | CCNC : 1",-8.48
"H : -1 | ring >C=O : 1 | ring =N- : -1 | ring =C< : -1 | -NH2 : -1 | amide : 1 | OCNC : -1 | CCCN : -1 | H2O : -1 | NH4 : 1 | ring -NH- : 1 | OCCC : 1",-5.14
"H : -1 | ring >C=O : 1 | ring =CH- : 1 | ring =N- : -1 | ring =C< : -2 | -CH3 : -1 | -NH2 : -1 | amide : 1 | OCNC : -1 | CCCN : -1 | H2O : -1 | ring -NH- : 1 | OCCC : 1 | methylamine : 1",4.69
"two fused rings =N< : -1 | two fused rings >CH- : -1 | ring =CH- : -1 | ring -CH2- : -1 | ring -N< : -1 | ring -NH- : 1 | -CH2- : 1 | amide : 1 | CCNC : -1 | H2O : -1 | H : 1 | ring -CH< : 1 | -CH=O : 1 | -N< : 1",-0.61
"sulfate : -1 | -OPO2- : -1 | -OPO3 : -1 | H2O : -1 | orthophosphate : 2 | H : 1 | -SO4 : 1",7.18
"-OPO2- : -1 | H2O : -1 | orthophosphate : 1 | H : 1",-6.82
">C=O : -1 | -CH2- : -1 | -COO : -1 | OCCO : -1 | -OPO2- : -1 | -OPO3 : 1 | OCCC : 1 | H2O : -1 | =C< : 1 | =CH2 : 1 | HCO3 : 1",-1.13
"pyrophosphate : -1 | >C=O : -1 | -CH2- : -1 | -COO : -1 | OCCO : -1 | H2O : -1 | orthophosphate : 1 | -OPO3 : 1 | =C< : 1 | =CH2 : 1 | OCCC : 1 | H : 1 | HCO3 : 1",0.29
">CH- : -1 | -OH : -1 | formaldehyde : 1",5.22
"ring -CH< : -3 | ring -O- : -1 | ring -CH2- : -1 | -OH : -1 | acetaldehyde : 1 | >CH- : 1 | -CH=O : 1",1.68
"-OH : -1 | -CH2- : 1 | >CH- : -2 | Origin : 1 | -CH=O : 1",2.56
"ring >C< : -1 | ring -O- : -1 | ring -CH< : -3 | -CH2- : 1 | -OH : -1 | Origin : 1 | >C=O : 1 | >CH- : 1 | -CH=O : 1",4.31
"ring >C< : -1 | ring -CH< : -3 | ring -O- : -1 | -CH2- : 1 | -OH : -1 | Origin : 1 | >CH- : 1 | -CH=O : 1 | >C=O : 1",4.31
"ring >C< : -1 | ring -O- : -1 | ring -CH< : -3 | -CH2- : 2 | -OH : -1 | Origin : 1 | >C=O : 2",2.85
"-CH2- : -1 | >CH- : -1 | -OH : -1 | Origin : 1 | -CH3 : 1 | -CH=O : 1",0.75
"ring -CH< : -5 | ring -O- : -1 | -OH : -1 | Origin : 1 | >CH- : 1 | -CH=O : 1 | -CH2- : 2 | >C=O : 1",3.42
">CH- : -1 | -CH2- : -1 | -OH : -1 | -CH3 : 1 | Origin : 1 | -CH=O : 1",0.75
"-CH2- : -1 | >CH- : -1 | -OH : -1 | Origin : 1 | -CH3 : 1 | -CH=O : 1",0.75
"-CH2- : 1 | >CH- : -2 | -OH : -1 | Origin : 1 | -CH=O : 1",2.56
"-CH2- : -1 | >CH- : -1 | -OH : -1 | Origin : 1 | -CH3 : 1 | -CH=O : 1",0.75
">CH- : -1 | -OH : -1 | formaldehyde : 1",5.22
">CH- : -2 | -CH2- : 1 | -OH : -1 | Origin : 1 | -CH=O : 1 | OCCO : 1",5.02
"ring -CH< : 2 | >CH- : -2 | ring >C< : -1 | -OH : -1 | ring -CH2- : -1 | >C=O : 1 | -CH3 : 1 | Origin : 1 | OCCO : 1",1.08
"ring -CH< : 2 | >CH- : -2 | ring >C< : -1 | -OH : -1 | ring -CH2- : -1 | >C=O : 1 | Origin : 1 | -CH3 : 1 | OCCO : 1",1.08
"-CH2- : -1 | >CH- : -5 | -OH : -1 | Origin : 1 | -CH3 : 1 | ring -CH< : 5 | ring -O- : 1",-1.57
">C< : -1 | -CH2- : -1 | -COO : -1 | -OH : -1 | >C=O : 1 | OCCO : 1 | acetate : 1",1.63
"-OH : 1 | -CH2- : 1 | >C< : 1 | -CH3 : -1 | >C=O : -2 | -S- : -1 | thioester : -1 | -COO : 1 | OCCO : -1 | H2O : -1 | -SH : 1 | COA : 1 | H : 1",-8.93
">CH- : -1 | -CH2- : -1 | -OH : -1 | Origin : 1 | OCCO : 1 | -CH3 : 1 | -CH=O : 1",3.21
">C< : -1 | -COO : -1 | -CH2- : -1 | -OH : -1 | >C=O : 1 | OCCO : 1 | acetate : 1",1.63
"-OH : -1 | -CH2- : -1 | >CH- : -1 | -CH3 : 1 | Origin : 1 | -CH=O : 1 | OCCO : 1",3.21
">C< : -1 | >CH- : -1 | -OH : -1 | Origin : 1 | >C=O : 1 | OCCO : 1 | -CH2- : 1",4.98
"ring =C< : -1 | -CH2- : -1 | ring =CH- : 1 | >CH- : -1 | -NH3 : -1 | Origin : 1 | H2O : -1 | NH4 : 1 | >C=O : 1 | -CH3 : 1 | OCCO : 1",4.44
"=CH- : -2 | OCCC : -2 | H2O : -1 | >CH- : 1 | -CH2- : 1 | -OH : 1",-0.61
">C< : -1 | -CH2- : -1 | -OH : -1 | =C< : 1 | =CH- : 1 | OCCC : 2 | H2O : 1",1.47
">CH- : -2 | -OH : -1 | =C< : 1 | =CH- : 1 | OCCC : 2 | H2O : 1",0.05
">CH- : -2 | -CH2- : 1 | >C< : 1",-1.42
"ring -CH2- : -1 | -OH : -1 | ring >C< : -1 | ring =C< : 1 | ring =CH- : 1 | OCCC : 2 | H2O : 1",-8.48
">CH- : -1 | -CH2- : -1 | -OH : -1 | =C< : 1 | =CH2 : 1 | OCCC : 1 | H2O : 1",-0.87
"-OH : -1 | -CH2- : -1 | >CH- : -1 | =CH- : 2 | OCCC : 1 | H2O : 1",2.16
"dbl sgl ring =N< : -1 | ring =N- : 1 | -OH : -1 | -CH2- : -1 | ring -NH- : -1 | >CH- : -1 | CCCN : -1 | CCNC : -3 | H : 1 | ring -N< : 1 | =CH- : 2 | OCCC : 1 | heteroaromatic : 2 | H2O : 1",0.61
"-OH : -1 | -CH2- : -1 | >CH- : -1 | =CH- : 2 | OCCC : 1 | H2O : 1",2.16
">CH- : 1 | -CH=O : -1 | -OH : 1 | Origin : -1 | ring =CH- : -1 | ring =C< : 1",-2.78
">CH- : -1 | -CH2- : -1 | -OH : -1 | =CH- : 2 | OCCC : 2 | H2O : 1",0.61
">C< : -1 | -CH2- : -1 | -OH : -1 | =C< : 1 | =CH- : 1 | OCCC : 2 | H2O : 1",1.47
"-COO : -1 | -CH2- : -1 | >CH- : -2 | -NH3 : -1 | ring -CH2- : 1 | ring >C=O : 1 | ring -CH< : 2 | amide : 1 | ring -NH- : 1 | H2O : 1",-4.48
"-COO : -1 | -CH2- : -1 | >CH- : -2 | -NH3 : -1 | ring -CH2- : 1 | ring >C=O : 1 | ring -CH< : 2 | amide : 1 | ring -NH- : 1 | H2O : 1",-4.48
">CH- : -1 | -CH2- : -2 | -COO : -1 | -NH3 : -1 | ring -CH< : 1 | ring -CH2- : 2 | ring >C=O : 1 | amide : 1 | ring -NH- : 1 | H2O : 1",-2.68
"ring =C< : -1 | =CH- : -2 | ring =CH- : -1 | OCCC : -1 | CCCC : -1 | heteroaromatic : -1 | H2O : -1 | ring -CH< : 1 | ring >C=O : 1 | -CH2- : 2 | OCNC : 1",-2.77
">C< : -1 | >CH- : -1 | -OH : -1 | =C< : 2 | OCCC : 2 | H2O : 1",0.91
"-OH : -1 | -CH2- : -1 | >CH- : -1 | =CH- : 2 | OCCC : 1 | H2O : 1",2.16
"ring -CH< : 1 | ring =CH- : -2 | -OH : 1 | ring -CH2- : 1 | CCCC : -1 | H2O : -1",11.11
">CH- : -1 | -CH2- : -1 | -NH3 : -1 | NH4 : 1 | =CH- : 2 | OCCC : 2",3.08
">CH- : -2 | -NH3 : -1 | NH4 : 1 | =C< : 1 | =CH- : 1 | OCCC : 2",2.52
"-CH2- : -1 | >CH- : -1 | -NH3 : -1 | NH4 : 1 | =CH- : 2 | OCCC : 1 | CCCC : 1",-0.19
"-CH2- : -1 | >CH- : -1 | -NH3 : -1 | NH4 : 1 | =CH- : 2 | OCCC : 1 | CCCC : 1",-0.19
"-CH2- : -2 | -NH3 : -1 | NH4 : 1 | =CH- : 1 | =CH2 : 1 | OCCC : 1",2.16
">CH- : -1 | -NH- : -1 | -CH2- : -1 | Origin : 1 | -NH2 : 1 | =CH- : 2 | OCCC : 2",7.34
"-NH- : -1 | -CH2- : -1 | >CH- : -1 | Origin : 1 | -NH2 : 1 | =CH- : 2 | OCCC : 2",7.34
"-NH2 : 1 | -CH2- : -1 | >CH- : -1 | -NH- : -1 | Origin : 1 | OCCC : 2 | =CH- : 2",7.34
">CH- : -1 | -OH : -1 | >C=O : -1 | amide : -2 | -NH- : -1 | -NH2 : -1 | -CH=O : 1 | OCCO : 1 | urea : 1",4.24
">CH- : -1 | -OH : -1 | -S- : -1 | thioester : -1 | Origin : 1 | -SH : 1 | -CH=O : 1 | OCCO : 1",10.27
"ring -CH< : -2 | -OH : -1 | ring -O- : 1 | -OPO2- : -2 | -OPO3 : -1 | -CH2- : -1 | pyrophosphate : 1 | two fused rings >CH- : 2 | ring -OPO2- : 1 | ring -CH2- : 1",1.05
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
,0.00
"CCCC : 1",-4.82
"-CH2- : 1 | >CH- : -1 | -CH=O : -1 | >C=O : 1",-1.46
"-CH=O : -1 | >CH- : -4 | ring -CH< : 5 | ring -O- : 1",-2.32
"ring -CH< : -2 | ring >C< : 1 | -CH2- : 1",-0.89
"ring -CH< : -2 | -CH2- : 1 | ring >C< : 1",-0.89
"ring -CH< : -2 | ring >C< : 1 | -CH2- : 1",-0.89
"-CH2- : 1 | ring -CH< : -4 | ring -O- : -1 | >CH- : 2 | >C=O : 1",0.62
"-CH=O : -1 | >CH- : -3 | ring >C< : 1 | ring -CH< : 2 | ring -O- : 1 | ring -CH2- : 1",-1.41
"ring -CH< : -2 | -CH2- : 1 | ring >C< : 1",-0.89
"ring -CH< : -5 | ring -O- : -1 | -CH2- : 1 | >C=O : 1 | >CH- : 3",0.86
"-CH2- : 1 | ring -CH< : -2 | ring >C< : 1",-0.89
"-CH2- : 1 | ring -CH< : -2 | ring >C< : 1",-0.89
"ring -CH< : -2 | ring >C< : 1 | -CH2- : 1",-0.89
"ring -CH< : -2 | ring >C< : 1 | -CH2- : 1",-0.89
">CH- : -1 | -CH2- : 1 | -CH=O : -1 | >C=O : 1",-1.46
"ring -CH< : -5 | ring -O- : -1 | -CH2- : 1 | >C=O : 1 | >CH- : 3",0.86
"ring -CH< : -2 | ring >C< : 1 | ring -CH2- : 1",0.67
"ring -CH< : -2 | -CH2- : 1 | ring >C< : 1",-0.89
">CH- : -3 | >C=O : -1 | ring -CH< : 3 | ring -O- : 1 | ring >C< : 1",-1.75
"-CH2- : -1 | >C=O : -1 | OCCO : -1 | =CH- : 1 | =C< : 1 | -OH : 1 | OCCC : 1 | CCCC : 1",4.95
"-CH2- : -1 | -CH3 : 1 | =CH2 : -1 | =CH- : 1",0.66
">CH- : -1 | =C< : 1 | -CH3 : 1 | =CH2 : -1 | OCCC : 1",-1.45
,0.00
,0.00
,0.00
,0.00
,0.00
