ref,ID,method,eval,EC,name,kegg_reaction,reaction,dG0',T,I,pH,pMg
Alberty (2006),C03383,formation,A,,"formation of D-Galactono-1,4-lactone",6 C06265 + 5 C90000 + 3 C90002 <=> C03383,"6 Carbon + 5 H2(g) + 3 O2(g) <=> D-Galactono-1,4-lactone",-505.99,298.15,0,7.0,14
Alberty (2006),C03384,formation,A,,formation of D-Galactose 1-phosphate,6 C06265 + 6.5 C90000 + 4.5 C90002 + C90007 <=> C03384,6 Carbon + 6.5 H2(g) + 4.5 O2(g) + Phosphorus <=> D-Galactose 1-phosphate,-1317.69,298.15,0,7.0,14
Alberty (2006),C05572,formation,A,,formation of 4-Oxoglutaramate,5 C06265 + 3.5 C90000 + 0.5 C90001 + 2 C90002 <=> C05572,5 Carbon + 3.5 H2(g) + 0.5 N2(g) + 2 O2(g) <=> 4-Oxoglutaramate,-356.27,298.15,0,7.0,14
Alberty (2006),C05979,formation,A,,formation of Propane-1-ol,3 C06265 + 4 C90000 + 0.5 C90002 <=> C05979,3 Carbon + 4 H2(g) + 0.5 O2(g) <=> Propane-1-ol,143.67,298.15,0,7.0,14
Thauer (1977),C05984,formation,A,,formation of 2-Hydroxybutanoic acid,4 C06265 + 4 C90000 + 1.5 C90002 <=> C05984,4 Carbon + 4 H2(g) + 1.5 O2(g) <=> 2-Hydroxybutanoic acid,-226.76,298.15,0,7.0,14
Alberty (2006),C06142,formation,A,,formation of 1-Butanol,4 C06265 + 5 C90000 + 0.5 C90002 <=> C06142,4 Carbon + 5 H2(g) + 0.5 O2(g) <=> 1-Butanol,227.51,298.15,0,7.0,14
Alberty (2006),C00001,formation,A,,formation of H2O,C90000 + 0.5 C90002 <=> C00001,H2(g) + 0.5 O2(g) <=> H2O,-157.32,298.15,0,7.0,14
Alberty (2006),C00007,formation,A,,formation of Oxygen,C90002 <=> C00007,O2(g) <=> Oxygen,16.40,298.15,0,7.0,14
Alberty (2006),C00009,formation,A,,formation of Orthophosphate,1.5 C90000 + 2 C90002 + C90007 <=> C00009,1.5 H2(g) + 2 O2(g) + Phosphorus <=> Orthophosphate,-1057.74,298.15,0,7.0,14
Alberty (2006),C00011,formation,A,,formation of CO2,C06265 + C90002 <=> C00011,Carbon + O2(g) <=> CO2,-386.02,298.15,0,7.0,14
Alberty (2006),C00013,formation,A,,formation of Diphosphate,2 C90000 + 3.5 C90002 + 2 C90007 <=> C00013,2 H2(g) + 3.5 O2(g) + 2 Phosphorus <=> Diphosphate,-1935.48,298.15,0,7.0,14
Alberty (2006),C00014,formation,A,,formation of NH3,1.5 C90000 + 0.5 C90001 <=> C00014,1.5 H2(g) + 0.5 N2(g) <=> NH3,80.39,298.15,0,7.0,14
Element,C00023,formation,A,,formation of Iron, <=> , <=> ,0.00,298.15,0,7.0,14
Alberty (2006),C00027,formation,A,,formation of Hydrogen peroxide,C90000 + C90002 <=> C00027,H2(g) + O2(g) <=> Hydrogen peroxide,-54.16,298.15,0,7.0,14
Element,C00034,formation,A,,formation of Manganese, <=> , <=> ,0.00,298.15,0,7.0,14
Alberty (2006),C00058,formation,A,,formation of Formate,C06265 + C90000 + C90002 <=> C00058,Carbon + H2(g) + O2(g) <=> Formate,-311.07,298.15,0,7.0,14
Alberty (2006),C00059,formation,A,,formation of Sulfate,C00087 + C90000 + 2 C90002 <=> C00059,Sulfur + H2(g) + 2 O2(g) <=> Sulfate,-744.53,298.15,0,7.0,14
Maden (2000),C00067,formation,A,,formation of Formaldehyde,C06265 + C90000 + 0.5 C90002 <=> C00067,Carbon + H2(g) + 0.5 O2(g) <=> Formaldehyde,-40.25,298.15,0,7.0,14
Element,C00080,formation,A,,formation of H+, <=> C00080, <=> H+,39.93,298.15,0,7.0,14
Alberty (2006),C00086,formation,A,,formation of Urea,C06265 + 2 C90000 + C90001 + 0.5 C90002 <=> C00086,Carbon + 2 H2(g) + N2(g) + 0.5 O2(g) <=> Urea,-43.06,298.15,0,7.0,14
Element,C00087,formation,A,,formation of Sulfur,C90000 <=> ,H2(g) <=> ,-39.73,298.15,0,7.0,14
Alberty (2006),C00088,formation,A,,formation of Nitrite,0.5 C90000 + 0.5 C90001 + C90002 <=> C00088,0.5 H2(g) + 0.5 N2(g) + O2(g) <=> Nitrite,-32.20,298.15,0,7.0,14
Alberty (2006),C00094,formation,A,,formation of Sulfite,C00087 + C90000 + 1.5 C90002 <=> C00094,Sulfur + H2(g) + 1.5 O2(g) <=> Sulfite,-487.87,298.15,0,7.0,14
Alberty (2006),C00132,formation,A,,formation of Methanol,C06265 + 2 C90000 + 0.5 C90002 <=> C00132,Carbon + 2 H2(g) + 0.5 O2(g) <=> Methanol,-15.57,298.15,0,7.0,14
Alberty (2006),C00237,formation,A,,formation of CO,C06265 + 0.5 C90002 <=> C00237,Carbon + 0.5 O2(g) <=> CO,-119.91,298.15,0,7.0,14
Alberty (2006),C00244,formation,A,,formation of Nitrate,0.5 C90000 + 0.5 C90001 + 1.5 C90002 <=> C00244,0.5 H2(g) + 0.5 N2(g) + 1.5 O2(g) <=> Nitrate,-108.74,298.15,0,7.0,14
Alberty (2006),C00282,formation,A,,formation of Hydrogen,C90000 <=> C00282,H2(g) <=> Hydrogen,97.47,298.15,0,7.0,14
Alberty (2006),C00283,formation,A,,formation of Hydrogen sulfide,C00087 + C90000 <=> C00283,Sulfur + H2(g) <=> Hydrogen sulfide,51.08,298.15,0,7.0,14
Alberty (2006),C00288,formation,A,,formation of HCO3-,C06265 + C90000 + 1.5 C90002 <=> C00288,Carbon + H2(g) + 1.5 O2(g) <=> HCO3-,-547.10,298.15,0,7.0,14
Alberty (2006),C00305,formation,A,,formation of Magnesium cation,C90008 <=> C00305 + C90000,Magnesium <=> Magnesium cation + H2(g),-455.30,298.15,0,7.0,14
Alberty (2006),C00366,formation,A,,formation of Urate,5 C06265 + 2 C90000 + 2 C90001 + 1.5 C90002 <=> C00366,5 Carbon + 2 H2(g) + 2 N2(g) + 1.5 O2(g) <=> Urate,-197.71,298.15,0,7.0,14
Alberty (2006),C00469,formation,A,,formation of Ethanol,2 C06265 + 3 C90000 + 0.5 C90002 <=> C00469,2 Carbon + 3 H2(g) + 0.5 O2(g) <=> Ethanol,57.97,298.15,0,7.0,14
Thauer (1977),C00543,formation,A,,formation of Dimethylamine,2 C06265 + 3.5 C90000 + 0.5 C90001 <=> C00543,2 Carbon + 3.5 H2(g) + 0.5 N2(g) <=> Dimethylamine,316.18,298.15,0,7.0,14
Thauer (1977),C00565,formation,A,,formation of Trimethylamine,3 C06265 + 4.5 C90000 + 0.5 C90001 <=> C00565,3 Carbon + 4.5 H2(g) + 0.5 N2(g) <=> Trimethylamine,436.54,298.15,0,7.0,14
Alberty (2006),C00697,formation,A,,formation of Nitrogen,C90001 <=> C00697,N2(g) <=> Nitrogen,18.70,298.15,0,7.0,14
Alberty (2006),C00887,formation,A,,formation of Nitrous oxide,C90001 + 0.5 C90002 <=> C00887,N2(g) + 0.5 O2(g) <=> Nitrous oxide,104.20,298.15,0,7.0,14
Wagman (1982),C01326,formation,A,,formation of Hydrogen cyanide,C06265 + 0.5 C90000 + 0.5 C90001 <=> C01326,Carbon + 0.5 H2(g) + 0.5 N2(g) <=> Hydrogen cyanide,159.53,298.15,0,7.0,14
Alberty (2006),C01342,formation,A,,formation of NH4+,1.5 C90000 + 0.5 C90001 <=> C01342,1.5 H2(g) + 0.5 N2(g) <=> NH4+,80.39,298.15,0,7.0,14
Alberty (2006),C01417,formation,A,,formation of Cyanate,C06265 + 0.5 C90000 + 0.5 C90001 + 0.5 C90002 <=> C01417,Carbon + 0.5 H2(g) + 0.5 N2(g) + 0.5 O2(g) <=> Cyanate,-97.40,298.15,0,7.0,14
Alberty (2006),C01438,formation,A,,formation of Methane,C06265 + 2 C90000 <=> C01438,Carbon + 2 H2(g) <=> Methane,125.41,298.15,0,7.0,14
Wagman (1982),C01755,formation,A,,formation of Thiocyanate,C00087 + C06265 + 0.5 C90000 + 0.5 C90001 <=> C01755,Sulfur + Carbon + 0.5 H2(g) + 0.5 N2(g) <=> Thiocyanate,92.60,298.15,0,7.0,14
Dolfing (1994),C02271,formation,A,,formation of Dichloromethane,C06265 + C90000 + C90004 <=> C02271,Carbon + H2(g) + Cl2(g) <=> Dichloromethane,13.76,298.15,0,7.0,14
Dolfing (1992),C02357,formation,A,,formation of 2-Chlorobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90004 <=> C02357,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 Cl2(g) <=> 2-Chlorobenzoate,-78.16,298.15,0,7.0,14
Dolfing (1992),C02359,formation,A,,formation of 2-Fluorobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90003 <=> C02359,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 F2(g) <=> 2-Fluorobenzoate,-238.96,298.15,0,7.0,14
Dolfing (1992),C02364,formation,A,,formation of 3-Fluorobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90003 <=> C02364,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 F2(g) <=> 3-Fluorobenzoate,-233.46,298.15,0,7.0,14
Dolfing (1992),C02370,formation,A,,formation of 4-Chlorobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90004 <=> C02370,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 Cl2(g) <=> 4-Chlorobenzoate,-79.76,298.15,0,7.0,14
Dolfing (1992),C02371,formation,A,,formation of 4-Fluorobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90003 <=> C02371,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 F2(g) <=> 4-Fluorobenzoate,-228.47,298.15,0,7.0,14
Thauer (1977),C05361,formation,A,,formation of Hydrazine,2 C90000 + C90001 <=> C05361,2 H2(g) + N2(g) <=> Hydrazine,287.71,298.15,0,7.0,14
Dolfing (1994),C06547,formation,A,,formation of Ethylene,2 C06265 + 2 C90000 <=> C06547,2 Carbon + 2 H2(g) <=> Ethylene,241.17,298.15,0,7.0,14
Dolfing (1992),C06670,formation,A,,"formation of 2,4-Dichlorobenzoate",7 C06265 + 2 C90000 + C90002 + C90004 <=> C06670,"7 Carbon + 2 H2(g) + O2(g) + Cl2(g) <=> 2,4-Dichlorobenzoate",-156.60,298.15,0,7.0,14
Dolfing (1994),C06752,formation,A,,"formation of 1,2-Dichloroethane",2 C06265 + 2 C90000 + C90004 <=> C06752,"2 Carbon + 2 H2(g) + Cl2(g) <=> 1,2-Dichloroethane",86.81,298.15,0,7.0,14
Dolfing (1994),C06789,formation,A,,formation of Tetrachloroethene,2 C06265 + 2 C90004 <=> C06789,2 Carbon + 2 Cl2(g) <=> Tetrachloroethene,27.59,298.15,0,7.0,14
Dolfing (1994),C06790,formation,A,,formation of Trichloroethene,2 C06265 + 0.5 C90000 + 1.5 C90004 <=> C06790,2 Carbon + 0.5 H2(g) + 1.5 Cl2(g) <=> Trichloroethene,65.34,298.15,0,7.0,14
Dolfing (1994),C06791,formation,A,,"formation of trans-1,2-Dichloroethene",2 C06265 + C90000 + C90004 <=> C06791,"2 Carbon + H2(g) + Cl2(g) <=> trans-1,2-Dichloroethene",111.93,298.15,0,7.0,14
Dolfing (1994),C06792,formation,A,,"formation of cis-1,2-Dichloroethene",2 C06265 + C90000 + C90004 <=> C06792,"2 Carbon + H2(g) + Cl2(g) <=> cis-1,2-Dichloroethene",107.67,298.15,0,7.0,14
Dolfing (1994),C06793,formation,A,,formation of Vinyl chloride,2 C06265 + 1.5 C90000 + 0.5 C90004 <=> C06793,2 Carbon + 1.5 H2(g) + 0.5 Cl2(g) <=> Vinyl chloride,179.45,298.15,0,7.0,14
Dolfing (1994),C07561,formation,A,,formation of Carbon tetrachloride,C06265 + 2 C90004 <=> C07561,Carbon + 2 Cl2(g) <=> Carbon tetrachloride,-45.10,298.15,0,7.0,14
Thauer (1977),C09306,formation,A,,formation of Sulfur dioxide,C00087 + C90002 <=> C09306,Sulfur + O2(g) <=> Sulfur dioxide,-300.71,298.15,0,7.0,14
Dolfing (1994),C13827,formation,A,,formation of Chloroform,C06265 + 0.5 C90000 + 1.5 C90004 <=> C13827,Carbon + 0.5 H2(g) + 1.5 Cl2(g) <=> Chloroform,-26.57,298.15,0,7.0,14
Dolfing (1994),C14039,formation,A,,"formation of 1,1-Dichloroethylene",2 C06265 + C90000 + C90004 <=> C14039,"2 Carbon + H2(g) + Cl2(g) <=> 1,1-Dichloroethylene",112.10,298.15,0,7.0,14
Dolfing (1994),C14400,formation,A,,"formation of 1,2,3-Trichloropropane",3 C06265 + 2.5 C90000 + 1.5 C90004 <=> C14400,"3 Carbon + 2.5 H2(g) + 1.5 Cl2(g) <=> 1,2,3-Trichloropropane",99.14,298.15,0,7.0,14
Dolfing (1994),C14705,formation,A,,"formation of 1,1,1,2-Tetrachloroethane",2 C06265 + C90000 + 2 C90004 <=> C14705,"2 Carbon + H2(g) + 2 Cl2(g) <=> 1,1,1,2-Tetrachloroethane",2.12,298.15,0,7.0,14
Thauer (1977),C14818,formation,A,,formation of Fe2+,C00023 <=> C14818 + C90000,Iron <=> Fe2+ + H2(g),-78.87,298.15,0,7.0,14
Thauer (1977),C14819,formation,A,,formation of Fe3+,C00023 <=> C14819 + 1.5 C90000,Iron <=> Fe3+ + 1.5 H2(g),-4.60,298.15,0,7.0,14
Dolfing (1994),C18246,formation,A,,"formation of 1,1,1-Trichloroethane",2 C06265 + 1.5 C90000 + 1.5 C90004 <=> C18246,"2 Carbon + 1.5 H2(g) + 1.5 Cl2(g) <=> 1,1,1-Trichloroethane",50.76,298.15,0,7.0,14
Dolfing (1994),C18247,formation,A,,"formation of 1,1-Dichloroethane",2 C06265 + 2 C90000 + C90004 <=> C18247,"2 Carbon + 2 H2(g) + Cl2(g) <=> 1,1-Dichloroethane",91.05,298.15,0,7.0,14
Dolfing (1994),C18248,formation,A,,formation of Chloroethane,2 C06265 + 2.5 C90000 + 0.5 C90004 <=> C18248,2 Carbon + 2.5 H2(g) + 0.5 Cl2(g) <=> Chloroethane,162.84,298.15,0,7.0,14
Dolfing (1994),C19034,formation,A,,"formation of 1,2-Dichloropropane",3 C06265 + 3 C90000 + C90004 <=> C19034,"3 Carbon + 3 H2(g) + Cl2(g) <=> 1,2-Dichloropropane",159.73,298.15,0,7.0,14
Dolfing (1994),C19248,formation,A,,formation of Hexachloroethane,2 C06265 + 3 C90004 <=> C19248,2 Carbon + 3 Cl2(g) <=> Hexachloroethane,-49.62,298.15,0,7.0,14
Dolfing (1994),C19496,formation,A,,formation of Pentachloroethane,2 C06265 + 0.5 C90000 + 2.5 C90004 <=> C19496,2 Carbon + 0.5 H2(g) + 2.5 Cl2(g) <=> Pentachloroethane,-28.33,298.15,0,7.0,14
Dolfing (1994),C19536,formation,A,,"formation of 1,1,2-Trichloroethane",2 C06265 + 1.5 C90000 + 1.5 C90004 <=> C19536,"2 Carbon + 1.5 H2(g) + 1.5 Cl2(g) <=> 1,1,2-Trichloroethane",42.16,298.15,0,7.0,14
Dolfing (1992),C80002,formation,A,,formation of Monochlorobenzene,6 C06265 + 2.5 C90000 + 0.5 C90004 <=> C80002,6 Carbon + 2.5 H2(g) + 0.5 Cl2(g) <=> Monochlorobenzene,301.97,298.15,0,7.0,14
Dolfing (1992),C80003,formation,A,,"formation of 1,2-Dichlorobenzene",6 C06265 + 2 C90000 + C90004 <=> C80003,"6 Carbon + 2 H2(g) + Cl2(g) <=> 1,2-Dichlorobenzene",244.04,298.15,0,7.0,14
Dolfing (1992),C80004,formation,A,,"formation of 1,3-Dichlorobenzene",6 C06265 + 2 C90000 + C90004 <=> C80004,"6 Carbon + 2 H2(g) + Cl2(g) <=> 1,3-Dichlorobenzene",241.54,298.15,0,7.0,14
Dolfing (1992),C80005,formation,A,,"formation of 1,4-Dichlorobenzene",6 C06265 + 2 C90000 + C90004 <=> C80005,"6 Carbon + 2 H2(g) + Cl2(g) <=> 1,4-Dichlorobenzene",238.04,298.15,0,7.0,14
Dolfing (1992),C80006,formation,A,,"formation of 1,2,3-Trichlorobenzene",6 C06265 + 1.5 C90000 + 1.5 C90004 <=> C80006,"6 Carbon + 1.5 H2(g) + 1.5 Cl2(g) <=> 1,2,3-Trichlorobenzene",191.50,298.15,0,7.0,14
Dolfing (1992),C80007,formation,A,,"formation of 1,2,4-Trichlorobenzene",6 C06265 + 1.5 C90000 + 1.5 C90004 <=> C80007,"6 Carbon + 1.5 H2(g) + 1.5 Cl2(g) <=> 1,2,4-Trichlorobenzene",180.30,298.15,0,7.0,14
Dolfing (1992),C80008,formation,A,,"formation of 1,3,5-Trichlorobenzene",6 C06265 + 1.5 C90000 + 1.5 C90004 <=> C80008,"6 Carbon + 1.5 H2(g) + 1.5 Cl2(g) <=> 1,3,5-Trichlorobenzene",176.60,298.15,0,7.0,14
Dolfing (1992),C80009,formation,A,,"formation of 1,2,3,4-Tetrachlorobenzene",6 C06265 + C90000 + 2 C90004 <=> C80009,"6 Carbon + H2(g) + 2 Cl2(g) <=> 1,2,3,4-Tetrachlorobenzene",135.67,298.15,0,7.0,14
Dolfing (1992),C80010,formation,A,,"formation of 1,2,3,5-Tetrachlorobenzene",6 C06265 + C90000 + 2 C90004 <=> C80010,"6 Carbon + H2(g) + 2 Cl2(g) <=> 1,2,3,5-Tetrachlorobenzene",129.07,298.15,0,7.0,14
Dolfing (1992),C80011,formation,A,,"formation of 1,2,4,5-Tetrachlorobenzene",6 C06265 + C90000 + 2 C90004 <=> C80011,"6 Carbon + H2(g) + 2 Cl2(g) <=> 1,2,4,5-Tetrachlorobenzene",133.37,298.15,0,7.0,14
Dolfing (1992),C80012,formation,A,,formation of Pentachlorobenzene,6 C06265 + 0.5 C90000 + 2.5 C90004 <=> C80012,6 Carbon + 0.5 H2(g) + 2.5 Cl2(g) <=> Pentachlorobenzene,85.63,298.15,0,7.0,14
Dolfing (1992),C80013,formation,A,,formation of Hexachlorobenzene,6 C06265 + 3 C90004 <=> C80013,6 Carbon + 3 Cl2(g) <=> Hexachlorobenzene,46.00,298.15,0,7.0,14
Dolfing (1992),C80014,formation,A,,formation of 3-Chlorobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90004 <=> C80014,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 Cl2(g) <=> 3-Chlorobenzoate,-86.26,298.15,0,7.0,14
Dolfing (1992),C80015,formation,A,,"formation of 2,3-Dichlorobenzoate",7 C06265 + 2 C90000 + C90002 + C90004 <=> C80015,"7 Carbon + 2 H2(g) + O2(g) + Cl2(g) <=> 2,3-Dichlorobenzoate",-149.90,298.15,0,7.0,14
Dolfing (1992),C80016,formation,A,,"formation of 2,5-Dichlorobenzoate",7 C06265 + 2 C90000 + C90002 + C90004 <=> C80016,"7 Carbon + 2 H2(g) + O2(g) + Cl2(g) <=> 2,5-Dichlorobenzoate",-158.90,298.15,0,7.0,14
Dolfing (1992),C80017,formation,A,,"formation of 2,6-Dichlorobenzoate",7 C06265 + 2 C90000 + C90002 + C90004 <=> C80017,"7 Carbon + 2 H2(g) + O2(g) + Cl2(g) <=> 2,6-Dichlorobenzoate",-142.80,298.15,0,7.0,14
Dolfing (1992),C80018,formation,A,,"formation of 3,4-Dichlorobenzoate",7 C06265 + 2 C90000 + C90002 + C90004 <=> C80018,"7 Carbon + 2 H2(g) + O2(g) + Cl2(g) <=> 3,4-Dichlorobenzoate",-144.40,298.15,0,7.0,14
Dolfing (1992),C80019,formation,A,,"formation of 3,5-Dichlorobenzoate",7 C06265 + 2 C90000 + C90002 + C90004 <=> C80019,"7 Carbon + 2 H2(g) + O2(g) + Cl2(g) <=> 3,5-Dichlorobenzoate",-153.70,298.15,0,7.0,14
Dolfing (1992),C80020,formation,A,,"formation of 2,3,5-Trichlorobenzoate",7 C06265 + 1.5 C90000 + C90002 + 1.5 C90004 <=> C80020,"7 Carbon + 1.5 H2(g) + O2(g) + 1.5 Cl2(g) <=> 2,3,5-Trichlorobenzoate",-213.53,298.15,0,7.0,14
Dolfing (1992),C80021,formation,A,,"formation of 3,4,5-Trichlorobenzoate",7 C06265 + 1.5 C90000 + C90002 + 1.5 C90004 <=> C80021,"7 Carbon + 1.5 H2(g) + O2(g) + 1.5 Cl2(g) <=> 3,4,5-Trichlorobenzoate",-201.73,298.15,0,7.0,14
Dolfing (1992),C80022,formation,A,,formation of 2-Bromobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90005 <=> C80022,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 Br2(l) <=> 2-Bromobenzoate,-49.76,298.15,0,7.0,14
Dolfing (1992),C80023,formation,A,,formation of 3-Bromobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90005 <=> C80023,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 Br2(l) <=> 3-Bromobenzoate,-43.26,298.15,0,7.0,14
Dolfing (1992),C80024,formation,A,,formation of 4-Bromobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90005 <=> C80024,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 Br2(l) <=> 4-Bromobenzoate,-36.56,298.15,0,7.0,14
Dolfing (1992),C80025,formation,A,,formation of 2-Iodobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90006 <=> C80025,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 I2(s) <=> 2-Iodobenzoate,13.24,298.15,0,7.0,14
Dolfing (1992),C80026,formation,A,,formation of 3-Iodobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90006 <=> C80026,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 I2(s) <=> 3-Iodobenzoate,15.64,298.15,0,7.0,14
Dolfing (1992),C80027,formation,A,,formation of 4-Iodobenzoate,7 C06265 + 2.5 C90000 + C90002 + 0.5 C90006 <=> C80027,7 Carbon + 2.5 H2(g) + O2(g) + 0.5 I2(s) <=> 4-Iodobenzoate,18.44,298.15,0,7.0,14
Dolfing (1992),C80028,formation,A,,formation of 2-Amino-5-chlorobenzoate,7 C06265 + 3 C90000 + 0.5 C90001 + C90002 + 0.5 C90004 <=> C80028,7 Carbon + 3 H2(g) + 0.5 N2(g) + O2(g) + 0.5 Cl2(g) <=> 2-Amino-5-chlorobenzoate,-15.84,298.15,0,7.0,14
Dolfing (1992),C80029,formation,A,,formation of 2-Hydroxy-5-chlorobenzoate,7 C06265 + 2.5 C90000 + 1.5 C90002 + 0.5 C90004 <=> C80029,7 Carbon + 2.5 H2(g) + 1.5 O2(g) + 0.5 Cl2(g) <=> 2-Hydroxy-5-chlorobenzoate,-249.16,298.15,0,7.0,14
Dolfing (1992),C80030,formation,A,,formation of 2-Methyl-5-chlorobenzoate,8 C06265 + 3.5 C90000 + C90002 + 0.5 C90004 <=> C80030,8 Carbon + 3.5 H2(g) + O2(g) + 0.5 Cl2(g) <=> 2-Methyl-5-chlorobenzoate,2.51,298.15,0,7.0,14
Dolfing (1994),C80043,formation,A,,formation of Chloromethane,C06265 + 1.5 C90000 + 0.5 C90004 <=> C80043,Carbon + 1.5 H2(g) + 0.5 Cl2(g) <=> Chloromethane,67.09,298.15,0,7.0,14
Dolfing (1994),C80045,formation,A,,formation of Ethane,2 C06265 + 3 C90000 <=> C80045,2 Carbon + 3 H2(g) <=> Ethane,222.18,298.15,0,7.0,14
Dolfing (1994),C80046,formation,A,,"formation of 1,1,2,2-Tetrachloroethane",2 C06265 + C90000 + 2 C90004 <=> C80046,"2 Carbon + H2(g) + 2 Cl2(g) <=> 1,1,2,2-Tetrachloroethane",-9.05,298.15,0,7.0,14
Dolfing (1994),C80047,formation,A,,formation of Propane,3 C06265 + 4 C90000 <=> C80047,3 Carbon + 4 H2(g) <=> Propane,312.16,298.15,0,7.0,14
Dolfing (1994),C80048,formation,A,,formation of 1-Chloropropane,3 C06265 + 3.5 C90000 + 0.5 C90004 <=> C80048,3 Carbon + 3.5 H2(g) + 0.5 Cl2(g) <=> 1-Chloropropane,234.81,298.15,0,7.0,14
Dolfing (1994),C80049,formation,A,,"formation of 1,3-Dichloropropane",3 C06265 + 3 C90000 + C90004 <=> C80049,"3 Carbon + 3 H2(g) + Cl2(g) <=> 1,3-Dichloropropane",159.23,298.15,0,7.0,14
Dolfing (1994),C80050,formation,A,,formation of Butane,4 C06265 + 5 C90000 <=> C80050,4 Carbon + 5 H2(g) <=> Butane,399.14,298.15,0,7.0,14
Dolfing (1994),C80051,formation,A,,formation of 1-Chlorobutane,4 C06265 + 4.5 C90000 + 0.5 C90004 <=> C80051,4 Carbon + 4.5 H2(g) + 0.5 Cl2(g) <=> 1-Chlorobutane,327.60,298.15,0,7.0,14
Dolfing (1994),C80052,formation,A,,formation of 2-Chlorobutane,4 C06265 + 4.5 C90000 + 0.5 C90004 <=> C80052,4 Carbon + 4.5 H2(g) + 0.5 Cl2(g) <=> 2-Chlorobutane,313.85,298.15,0,7.0,14
Dolfing (1994),C80053,formation,A,,formation of Pentane,5 C06265 + 6 C90000 <=> C80053,5 Carbon + 6 H2(g) <=> Pentane,488.46,298.15,0,7.0,14
Dolfing (1994),C80054,formation,A,,formation of 1-Chloropentane,5 C06265 + 5.5 C90000 + 0.5 C90004 <=> C80054,5 Carbon + 5.5 H2(g) + 0.5 Cl2(g) <=> 1-Chloropentane,409.72,298.15,0,7.0,14
Wagman (1982),C80055,formation,A,,formation of CH3NHp,3 C06265 + 4.5 C90000 + 0.5 C90001 + 0.5 C90002 <=> C80055,3 Carbon + 4.5 H2(g) + 0.5 N2(g) + 0.5 O2(g) <=> CH3NHp,436.75,298.15,0,7.0,14
