218,Methylamine,298.15,6,5,C[NH3+],CN,10.66
227,Acetyl phosphate,298.15,5,4,CC(=O)OP(=O)(O)O,CC(=O)OP(=O)([O-])O,5.29
227,Acetyl phosphate,298.15,4,3,CC(=O)OP(=O)([O-])O,CC(=O)OP(=O)([O-])[O-],8.53
230,"3,4-Dihydroxybenzoate",298.15,6,5,c1cc(O)c(O)cc1C(=O)O,c1cc(O)c(O)cc1C(=O)[O-],4.48
230,"3,4-Dihydroxybenzoate",298.15,5,4,c1cc(O)c(O)cc1C(=O)[O-],c1cc(O)c([O-])cc1C(=O)[O-],8.83
230,"3,4-Dihydroxybenzoate",298.15,4,3,c1cc(O)c([O-])cc1C(=O)[O-],c1cc([O-])c([O-])cc1C(=O)[O-],12.6
236,3-Phospho-D-glyceroyl phosphate,298.15,5,4,C([C@H](C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])O,C([C@H](C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-],7.97
242,Guanine,313.15,5,4,,,9.92
243,Lactose,298.15,22,22,,,
244,Nitrate,298.15,1,0,N(=O)(=O)O,N(=O)(=O)[O-],0.44
245,Taurine,298.15,8,7,[NH3+]CCS(=O)(=O)O,[NH3+]CCS(=O)(=O)[O-],1.5
245,Taurine,298.15,7,6,[NH3+]CCS(=O)(=O)[O-],NCCS(=O)(=O)[O-],9.06
246,Butanoic acid,298.15,8,7,CCCC(=O)O,CCCC(=O)[O-],4.83
247,L-Sorbose,298.15,12,12,,,
250,Pyridoxal,298.15,9,9,,,
252,Isomaltose,298.15,22,22,,,
253,Nicotinate,298.15,6,5,,,2.0
253,Nicotinate,298.15,5,4,,,4.82
255,Riboflavin,298.15,21,20,,,1.7
255,Riboflavin,298.15,20,19,,,9.69
256,(R)-Lactate,298.15,6,5,CC(O)C(=O)O,CC(O)C(=O)[O-],3.86
258,D-Glycerate,298.15,6,5,C(O)C(O)C(=O)O,C(O)C(O)C(=O)[O-],3.52
261,Benzaldehyde,298.15,6,5,,,14.9
262,Hypoxanthine,298.15,4,3,,,8.7
263,L-Homoserine,298.15,10,9,[OH]CCC(C(=O)[OH])[NH3+],[OH]CCC(C(=O)[O-])[NH3+],2.71
263,L-Homoserine,298.15,9,8,[OH]CCC(C(=O)[O-])[NH3+],[OH]CCC(C(=O)[O-])[NH2],9.62
266,Glycolaldehyde,298.15,4,4,,,
273,5-Dehydro-D-fructose,298.15,10,10,,,
275,D-Mannose 6-phosphate,298.15,12,11,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])O,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-],6.44
283,Hydrogen sulfide,298.15,2,1,[SH2],[SH-1],7.0
283,Hydrogen sulfide,298.15,1,0,[SH-1],[S-2],12.92
288,HCO3-,298.15,2,1,C(=O)(O)O,C(=O)([O-])O,6.37
288,HCO3-,298.15,1,0,C(=O)([O-])O,C(=O)([O-])[O-],10.33
292,Aniline,298.15,8,7,c1ccccc1[NH3+],c1ccccc1N,4.87
294,Inosine,298.15,12,12,,,
299,Uridine,298.15,12,12,,,
300,Creatine,298.15,10,9,C(=O)(O)CN(C)C(=[NH2+])[NH2],C(=O)([O-])CN(C)C(=[NH2+])[NH2],2.63
300,Creatine,298.15,9,8,C(=O)([O-])CN(C)C(=[NH2+])[NH2],C(=O)([O-])CN(C)C(=N)[NH2],14.3
309,D-Ribulose,298.15,10,10,,,
310,D-Xylulose,298.15,10,10,,,
311,Isocitrate,298.15,8,7,,,3.29
311,Isocitrate,298.15,7,6,,,4.71
311,Isocitrate,298.15,6,5,,,6.4
312,L-Xylulose,298.15,10,10,,,
314,Pyridoxine,298.15,11,11,,,
327,L-Citrulline,298.15,14,13,,,2.43
327,L-Citrulline,298.15,13,12,,,9.69
332,acetoacetyl-CoA,298.15,38,37,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)[nH+]cnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)C,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)C,4.32
332,acetoacetyl-CoA,298.15,37,36,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])(O)=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)C,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n2cnc3c(N)ncnc23)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)C,6.31
334,4-Aminobutanoate,298.15,10,9,C(CC(=O)O)C[NH3+],C(CC(=O)[O-])C[NH3+],4.03
334,4-Aminobutanoate,298.15,9,8,C(CC(=O)[O-])C[NH3+],C(CC(=O)[O-])CN,10.56
354,"D-Fructose 1,6-bisphosphate",298.15,12,11,C([C@@H]1[C@H]([C@@H](C(COP(=O)([O-])O)(O)O1)O)O)OP(=O)([O-])O,C([C@@H]1[C@H]([C@@H](C(COP(=O)([O-])[O-])(O)O1)O)O)OP(=O)([O-])O,6.05
354,"D-Fructose 1,6-bisphosphate",298.15,11,10,C([C@@H]1[C@H]([C@@H](C(COP(=O)([O-])[O-])(O)O1)O)O)OP(=O)([O-])O,C([C@@H]1[C@H]([C@@H](C(COP(=O)([O-])[O-])(O)O1)O)O)OP(=O)([O-])[O-],6.65
355,"3,4-Dihydroxy-L-phenylalanine",298.15,12,11,,,2.32
355,"3,4-Dihydroxy-L-phenylalanine",298.15,11,10,,,8.72
355,"3,4-Dihydroxy-L-phenylalanine",298.15,10,9,,,9.96
355,"3,4-Dihydroxy-L-phenylalanine",298.15,9,8,,,11.79
366,Urate,285.15,5,4,,,3.89
376,Retinal,298.15,28,28,,,
379,Xylitol,298.15,12,12,,,
380,Cytosine,298.15,6,5,,,4.6
380,Cytosine,298.15,5,4,,,12.16
383,Malonate,298.15,4,3,C(=O)(O)CC(=O)O,C(=O)([O-])CC(=O)O,2.85
383,Malonate,298.15,3,2,C(=O)([O-])CC(=O)O,C(=O)([O-])CC(=O)[O-],5.7
385,Xanthine,298.15,4,4,,,
386,Carnosine,293.15,16,15,,,2.73
386,Carnosine,293.15,15,14,,,6.87
386,Carnosine,293.15,14,13,,,9.73
388,1H-Imidazole-4-ethanamine,298.15,11,10,,,6.04
388,1H-Imidazole-4-ethanamine,298.15,10,9,,,9.75
392,Mannitol,291.15,14,13,,,13.5
396,Pyrimidine,293.15,5,4,[nH+]1cnccc1,n1cnccc1,1.23
398,Tryptamine,298.15,13,12,c1ccc2c(c1)c(cn2)CC[NH3+],c1ccc2c(c1)c(cn2)CCN,10.2
407,L-Isoleucine,298.15,14,13,CCC(C)C(C(=O)[OH])[NH3+],CCC(C)C(C(=O)[O-])[NH3+],2.32
407,L-Isoleucine,298.15,13,12,CCC(C)C(C(=O)[O-])[NH3+],CCC(C)C(C(=O)[O-])[NH2],9.76
408,L-Pipecolate,298.15,12,11,C1CC[NH2+]C(C1)C(=O)O,C1CC[NH2+]C(C1)C(=O)[O-],2.28
408,L-Pipecolate,298.15,11,10,C1CC[NH2+]C(C1)C(=O)[O-],C1CCNC(C1)C(=O)[O-],10.72
409,Methanethiol,298.15,4,3,CS,C[S-],10.33
414,Cyclohexanone,298.15,10,10,,,
423,trans-Cinnamate,298.15,8,7,c1ccc(cc1)C=CC(=O)O,c1ccc(cc1)C=CC(=O)[O-],4.44
424,(S)-Lactaldehyde,298.15,6,6,,,
431,5-Aminopentanoate,298.15,12,11,[NH3+]CCCCC(=O)O,[NH3+]CCCCC(=O)[O-],4.27
431,5-Aminopentanoate,298.15,11,10,[NH3+]CCCCC(=O)[O-],NCCCCC(=O)[O-],10.77
455,Nicotinamide D-ribonucleotide,298.15,15,14,,,6.44
463,Indole,298.15,7,7,,,
468,Estrone,298.15,22,22,,,
469,Ethanol,298.15,6,5,CCO,CC[O-],15.5
473,Retinol,298.15,30,30,,,
474,Ribitol,298.15,12,12,,,
475,Cytidine,298.15,14,13,,,4.22
475,Cytidine,298.15,13,12,,,12.5
476,D-Lyxose,298.15,10,10,,,
489,Glutarate,291.15,8,7,C(=O)(O)CCCC(=O)O,C(=O)(O)CCCC(=O)[O-],4.32
489,Glutarate,298.15,7,6,C(=O)(O)CCCC(=O)[O-],C(=O)([O-])CCCC(=O)[O-],5.42
491,cystine,298.15,14,13,[NH3+]C(CSSCC([NH3+])C(O)=O)C(O)=O,[NH3+]C(CSSCC([NH3+])C(O)=O)C([O-])=O,1.0
491,cystine,298.15,13,12,[NH3+]C(CSSCC([NH3+])C(O)=O)C([O-])=O,[NH3+]C(CSSCC([NH3+])C([O-])=O)C([O-])=O,2.1
491,cystine,298.15,12,11,[NH3+]C(CSSCC([NH3+])C([O-])=O)C([O-])=O,NC(CSSCC([NH3+])C([O-])=O)C([O-])=O,8.02
491,cystine,298.15,11,10,NC(CSSCC([NH3+])C([O-])=O)C([O-])=O,NC(CSSCC(N)C([O-])=O)C([O-])=O,8.71
506,L-Cysteate,298.15,8,7,C(C(C(=O)O)[NH3+])S(=O)(=O)O,C(C(C(=O)O)[NH3+])S(=O)(=O)[O-],1.3
506,L-Cysteate,298.15,7,6,C(C(C(=O)O)[NH3+])S(=O)(=O)[O-],C(C(C(=O)[O-])[NH3+])S(=O)(=O)[O-],1.9
506,L-Cysteate,298.15,6,5,C(C(C(=O)[O-])[NH3+])S(=O)(=O)[O-],C(C(C(=O)[O-])N)S(=O)(=O)[O-],8.7
507,L-Rhamnose,298.15,12,12,,,
508,L-Ribulose,298.15,10,10,,,
511,Propenoate,298.15,3,2,C=C(=O)O,C=C(=O)[O-],4.25
543,Dimethylamine,298.15,8,7,C[NH2+]C,CNC,10.73
547,L-Noradrenaline,298.15,13,12,,,8.64
547,L-Noradrenaline,298.15,12,11,,,9.7
552,meso-Tartaric acid,298.15,6,5,C(=O)(O)C(O)C(O)C(=O)O,C(=O)(O)C(O)C(O)C(=O)[O-],3.17
552,meso-Tartaric acid,298.15,5,4,C(=O)(O)C(O)C(O)C(=O)[O-],C(=O)([O-])C(O)C(O)C(=O)[O-],4.91
556,Benzyl alcohol,298.15,8,8,,,
565,Trimethylamine,298.15,10,9,[NH+](C)(C)C,N(C)(C)C,9.8
571,Cyclohexylamine,298.15,14,13,C1CCCCC1[NH3+],C1CCCCC1N,10.64
577,D-Glyceraldehyde,298.15,6,6,,,
581,Guanidinoacetate,298.15,8,7,,,2.82
583,"Propane-1,2-diol",298.15,8,8,,,
587,3-Hydroxybenzoate,298.15,6,5,c1ccc(O)cc1C(=O)O,c1ccc(O)cc1C(=O)[O-],4.08
587,3-Hydroxybenzoate,292.15,5,4,c1ccc(O)cc1C(=O)[O-],c1ccc([O-])cc1C(=O)[O-],9.92
590,Coniferyl alcohol,298.15,12,12,,,
604,"1,10-Phenanthroline",298.15,9,8,,,4.84
620,alpha-D-Ribose 1-phosphate,298.15,10,9,C(C1C(C(C(O1)OP(=O)([O-])O)O)O)O,C(C1C(C(C(O1)OP(=O)([O-])[O-])O)O)O,6.69
628,"2,5-Dihydroxybenzoate",298.15,6,5,,,2.97
623,Glycerol 1-phosphate,298.15,8,7,C(C(COP(=O)([O-])O)O)O,C(C(COP(=O)([O-])[O-])O)O,6.66
631,2-Phospho-D-glycerate,298.15,5,4,C([C@H](C(=O)[O-])OP(=O)([O-])O)O,C([C@H](C(=O)[O-])OP(=O)([O-])[O-])O,7.64
633,4-Hydroxybenzaldehyde,298.15,6,5,,,7.61
636,D-Mannose 1-phosphate,298.15,12,11,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)([O-])O)O)O)O)O,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)([O-])[O-])O)O)O)O,6.44
644,D-Mannitol 1-phosphate,298.15,14,13,C(C(C(C(C(COP(=O)([O-])O)O)O)O)O)O,C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O,6.5
645,N-Acetyl-D-mannosamine,298.15,15,15,,,
655,Xanthosine 5'-phosphate,298.15,13,12,,,6.73
655,Xanthosine 5'-phosphate,298.15,12,11,,,8.14
668,alpha-D-Glucose 6-phosphate,298.15,12,11,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O)O1)O)O)O)OP(=O)([O-])O,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O)O1)O)O)O)OP(=O)([O-])[O-],6.42
673,2-Deoxy-D-ribose 5-phosphate,298.15,10,9,C1C(C(OC1O)COP(=O)([O-])O)O,C1C(C(OC1O)COP(=O)([O-])[O-])O,6.69
695,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate",298.15,40,39,,,6.4
700,XTP,298.15,13,12,,,7.6
700,XTP,298.15,12,11,,,8.59
715,Pterin,293.15,6,5,,,2.27
715,Pterin,293.15,5,4,,,7.96
719,Betaine,273.15,12,11,[N+](C)(C)(C)CC(=O)O,[N+](C)(C)(C)CC(=O)[O-],1.83
725,Lipoate,298.15,14,13,C1CSSC1CCCCC(=O)O,C1CSSC1CCCCC(=O)[O-],5.4
729,tropine,288.15,16,15,,,3.8
745,Nicotine,298.15,16,15,C[NH+]1CCCC1c2c[nH+]ccc2,C[NH+]1CCCC1c2cnccc2,3.12
745,Nicotine,298.15,15,14,C[NH+]1CCCC1c2cnccc2,CN1CCCC1c2cnccc2,8.02
747,Pyridine,298.15,6,5,[nH+]1ccccc1,n1ccccc1,5.23
780,Serotonin,298.15,13,12,,,9.8
780,Serotonin,298.15,12,11,,,11.1
791,Creatinine,298.15,8,7,,,4.8
791,Creatinine,298.15,7,6,,,9.2
794,D-Sorbitol,298.15,14,14,,,
795,D-Tagatose,298.15,12,12,,,
797,Ethylamine,298.15,8,7,CC[NH3+],CCN,10.65
798,Formyl-CoA,298.15,32,32,,,
803,Pentanoate,293.15,10,9,CCCCC(=O)O,CCCCC(=O)[O-],4.83
810,(R)-Acetoin,298.15,8,8,,,
813,Barbiturate,298.15,4,3,,,4.01
854,Cyclohexanol,298.15,12,12,,,
861,L-Rhamnulose,298.15,12,12,,,
870,4-Nitrophenol,298.15,5,4,,,7.15
898,"(R,R)-Tartaric acid",298.15,6,5,,,2.98
898,"(R,R)-Tartaric acid",298.15,5,4,,,4.34
928,Mercaptoethanol,298.15,6,5,OCCS,OCC[S-],9.72
935,UDP-L-arabinose,298.15,20,20,,,
951,Estradiol,298.15,24,24,,,
956,L-2-Aminoadipate,298.15,12,11,,,2.14
956,L-2-Aminoadipate,298.15,11,10,,,4.21
956,L-2-Aminoadipate,298.15,10,9,,,9.77
986,"1,3-Diaminopropane",298.15,12,11,[NH3+]CCC[NH3+],[NH3+]CCCN,8.88
986,"1,3-Diaminopropane",298.15,11,10,[NH3+]CCCN,NCCCN,10.55
989,4-Hydroxybutanoic acid,298.15,8,7,OCCCC(=O)O,OCCCC(=O)[O-],4.72
1005,O-Phospho-L-serine,298.15,7,6,C([C@@H](C(=O)[O-])[NH3+])OP(=O)([O-])O,C([C@@H](C(=O)[O-])[NH3+])OP(=O)([O-])[O-],6.44
1013,3-Hydroxypropanoate,298.15,6,5,OCCC(=O)O,OCCC(=O)[O-],4.51
1019,6-Deoxy-L-galactose,298.15,12,12,,,
1026,"N,N-Dimethylglycine",298.15,10,9,[NH+](C)(C)CC(=O)O,[NH+](C)(C)CC(=O)[O-],9.89
1060,"3,5-Diiodo-L-tyrosine",298.15,10,9,,,2.12
1060,"3,5-Diiodo-L-tyrosine",298.15,9,8,,,5.32
1060,"3,5-Diiodo-L-tyrosine",298.15,8,7,,,9.48
1066,"Cyclohexane-1,3-dione",298.15,8,7,,,5.26
1083,"alpha,alpha-Trehalose",298.15,22,22,,,
1096,Sorbitol 6-phosphate,298.15,14,13,C(C(C(C(C(COP(=O)([O-])O)O)O)O)O)O,C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O,6.42
1104,Trimethylamine N-oxide,293.15,10,9,,,4.65
1112,D-Arabinose 5-phosphate,298.15,10,9,C([C@@H]1[C@H]([C@@H]([C@@H](O1)O)O)O)OP(=O)([O-])O,C([C@@H]1[C@H]([C@@H]([C@@H](O1)O)O)O)OP(=O)([O-])[O-],6.69
1113,D-Galactose 6-phosphate,298.15,12,11,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])O,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-],6.44
1152,3-methyl-L-histidine,298.15,13,12,Cn1c[nH2+]cc1C[C@H]([NH3+])C(=O)O,Cn1c[nH2+]cc1C[C@H]([NH3+])C(=O)[O-],1.92
1152,3-methyl-L-histidine,298.15,12,11,Cn1c[nH2+]cc1C[C@H]([NH3+])C(=O)[O-],Cn1cncc1C[C@H]([NH3+])C(=O)[O-],6.56
1152,3-methyl-L-histidine,298.15,11,10,Cn1cncc1C[C@H]([NH3+])C(=O)[O-],Cn1cncc1C[C@H](N)C(=O)[O-],8.73
1236,"D-Glucono-1,5-lactone 6-phosphate",298.15,10,9,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)([O-])O,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)([O-])[O-],6.42
1337,XDP,298.15,13,12,,,7.18
1337,XDP,298.15,12,11,,,8.06
1380,ethylene glycol,298.15,6,5,OCCO,OCC[O-],15.1
1384,maleate,298.15,4,3,OC(=O)\C=C/C(O)=O,OC(=O)\C=C/C([O-])=O,1.92
1384,Maleic acid,298.15,3,2,OC(=O)\C=C/C([O-])=O,[O-]C(=O)\C=C/C([O-])=O,6.23
1412,Butanal,298.15,8,8,,,
1417,cyanate,298.15,1,0,N#CO,N#C[O-],3.7
1424,Gallate,298.15,6,5,OC(=O)c1cc(O)c(O)c(O)c1,[O-]C(=O)c1cc(O)c(O)c(O)c1,4.41
1454,Toluate,298.15,8,7,Cc1ccc(cc1)C(O)=O,Cc1ccc(cc1)C([O-])=O,4.37
1467,3-hydroxytoluene,298.15,8,7,Cc1cccc(O)c1,Cc1cccc([O-])c1,10.09
1468,4-hydroxytoluene,298.15,8,7,Cc1ccc(O)cc1,Cc1ccc([O-])cc1,10.26
1487,D-Allose,298.15,12,12,,,
1507,L-Iditol,298.15,14,14,,,
1516,morphine,298.15,20,19,,,8.21
1516,Morphine,293.15,19,18,,,9.85
1542,2-hydroxytoluene,298.15,8,7,Cc1ccccc1O,Cc1ccccc1[O-],10.29
1546,2-Furoate,298.15,4,3,OC(=O)c1ccco1,[O-]C(=O)c1ccco1,3.16
1550,agaritine,298.15,18,17,[NH3+][C@@H](CCC(=O)NNc1ccc(CO)cc1)C(O)=O,[NH3+][C@@H](CCC(=O)NNc1ccc(CO)cc1)C([O-])=O,3.4
1550,agaritine,298.15,17,16,[NH3+][C@@H](CCC(=O)NNc1ccc(CO)cc1)C([O-])=O,N[C@@H](CCC(=O)NNc1ccc(CO)cc1)C([O-])=O,8.86
1551,allantoin,298.15,6,5,,,8.96
1566,cyanamide,302.15,3,2,N#C[NH3+],N#CN,1.1
1575,ephedrine,283.15,16,15,C[NH2+][C@@H](C)[C@H](O)c1ccccc1,CN[C@@H](C)[C@H](O)c1ccccc1,9.96
1576,etoposide,298.15,32,31,,,9.8
1585,hexanoate,298.15,12,11,CCCCCC(=O)O,CCCCCC(=O)[O-],4.85
1586,benzoylaminoacetate,298.15,9,8,OC(=O)CNC(=O)c1ccccc1,[O-]C(=O)CNC(=O)c1ccccc1,3.62
1589,imidazole,298.15,5,4,c1c[nH]c[nH+]1,c1c[nH]cn1,6.99
1595,linoleate,298.15,32,31,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,CCCCC\C=C/C\C=C/CCCCCCCC([O-])=O,7.6
1601,nonanoate,298.15,18,17,CCCCCCCCC(=O)O,CCCCCCCCC(=O)[O-],4.96
1606,phthalate,298.15,6,5,OC(=O)c1ccccc1C(O)=O,OC(=O)c1ccccc1C([O-])=O,2.94
1606,phthalate,298.15,5,4,OC(=O)c1ccccc1C([O-])=O,[O-]C(=O)c1ccccc1C([O-])=O,5.43
1672,cadaverine,298.15,16,15,[NH3+]CCCCC[NH3+],[NH3+]CCCCCN,10.05
1672,cadaverine,298.15,15,14,[NH3+]CCCCCN,NCCCCCN,10.93
1678,cysteamine,298.15,8,7,[NH3+]CCS,[NH3+]CC[S-],8.27
1678,cysteamine,298.15,7,6,[NH3+]CC[S-],NCC[S-],10.53
1697,galactitol,298.15,14,14,,,
1699,gibberellin,298.15,22,21,,,4.0
1721,L-fuculose,298.15,12,12,,,
1740,octylamine,298.15,20,19,[NH3+]CCCCCCCC,NCCCCCCCC,10.65
1746,piperidine,298.15,12,11,C1CC[NH3+]CC1,C1CCNCC1,11.12
1751,"1,3-benzenediol",298.15,6,5,Oc1cccc(O)c1,Oc1cccc([O-])c1,9.32
1751,"1,3-benzenediol",298.15,5,4,Oc1cccc([O-])c1,[O-]c1cccc([O-])c1,11.1
1796,D-erythrose,298.15,8,8,,,
1799,D-norvaline,298.15,12,11,CCC[C@@H]([NH3+])C(O)=O,CCC[C@@H]([NH3+])C([O-])=O,2.36
1799,D-norvaline,298.15,11,10,CCC[C@@H]([NH3+])C([O-])=O,CCC[C@@H](N)C([O-])=O,9.72
1814,haloperidol,298.15,24,23,,,8.3
1817,homocystine,298.15,18,17,C(=O)(O)C([NH3+])CCSSCCC([NH3+])C(=O)O,C(=O)([O-])C([NH3+])CCSSCCC([NH3+])C(=O)O,1.59
1817,homocystine,298.15,17,16,C(=O)([O-])C([NH3+])CCSSCCC([NH3+])C(=O)O,C(=O)([O-])C([NH3+])CCSSCCC([NH3+])C(=O)[O-],2.54
1817,homocystine,298.15,16,15,C(=O)([O-])C([NH3+])CCSSCCC([NH3+])C(=O)[O-],C(=O)([O-])C([NH3+])CCSSCCC(N)C(=O)[O-],8.52
1817,homocystine,298.15,15,14,C(=O)([O-])C([NH3+])CCSSCCC(N)C(=O)[O-],C(=O)([O-])C(N)CCSSCCC(N)C(=O)[O-],9.44
1826,L-norvaline,298.15,12,11,CCC[C@H]([NH3+])C(O)=O,CCC[C@H]([NH3+])C([O-])=O,2.32
1826,L-norvaline,298.15,11,10,CCC[C@H]([NH3+])C([O-])=O,CCC[C@H](N)C([O-])=O,9.81
1829,levothyroxin,298.15,12,11,,,2.2
1829,levothyroxin,298.15,11,10,,,6.45
1829,levothyroxin,298.15,10,9,,,10.1
1837,nitroethane,298.15,5,4,,,8.46
1845,isopropanol,298.15,8,8,,,
1857,thioacetate,298.15,4,3,,,3.33
1874,2-iodophenol,298.15,5,4,,,8.51
1879,pyroglutamate,298.15,7,6,,,3.32
1904,D-arabitol,298.15,12,12,,,
1912,erythromycin,298.15,68,67,,,8.8
1921,glycocholate,298.15,43,42,,,4.4
1926,indometacin,298.15,16,15,,,4.5
1933,L-aminohexanoate,298.15,14,13,CCCC[C@H]([NH3+])C(O)=O,CCCC[C@H]([NH3+])C([O-])=O,2.34
1933,L-aminohexanoate,298.15,13,12,CCCC[C@H]([NH3+])C([O-])=O,CCCC[C@H](N)C([O-])=O,9.83
1965,trimethoprim,298.15,19,18,,,6.6
1987,2-aminophenol,293.15,8,7,[NH3+]c1ccccc1O,Nc1ccccc1O,4.78
1987,2-aminophenol,293.15,7,6,Nc1ccccc1O,Nc1ccccc1[O-],9.97
1988,2-nitrophenol,298.15,5,4,,,7.23
1996,acetylcholine,298.15,16,16,,,
2001,2-propen-1-ol,298.15,6,5,C=CCO,C=CC[O-],15.5
2022,D-erythrulose,298.15,8,8,,,
2037,glycylglycine,298.15,9,8,[NH3+]CC(=O)NCC(=O)O,[NH3+]CC(=O)NCC(=O)[O-],3.14
2037,glycylglycine,298.15,8,7,[NH3+]CC(=O)NCC(=O)[O-],NCC(=O)NCC(=O)[O-],8.17
2045,L-erythrulose,298.15,8,8,,,
2046,L-hyoscyamine,294.15,24,23,,,9.7
2048,laminaribiose,298.15,22,22,,,
2066,pseudotropine,288.15,16,15,,,3.8
2086,thioglycolate,298.15,4,3,SCC(=O)O,SCC(=O)[O-],3.68
2107,D-tartrate,298.15,6,5,O[C@@H]([C@H](O)C(O)=O)C(O)=O,O[C@@H]([C@H](O)C(O)=O)C([O-])=O,3.03
2107,D-tartrate,298.15,5,4,O[C@@H]([C@H](O)C(O)=O)C([O-])=O,O[C@@H]([C@H](O)C([O-])=O)C([O-])=O,4.37
2110,11-cis-retinal,298.15,28,28,,,
2124,4-chlorophenol,298.15,5,4,Oc1ccc(Cl)cc1,[O-]c1ccc(Cl)cc1,9.41
2126,4-nitroaniline,298.15,7,6,,,1.02
2168,mefenamic acid,298.15,15,14,,,4.2
2170,methylmalonate,298.15,6,5,CC(C(O)=O)C(O)=O,CC(C(O)=O)C([O-])=O,3.07
2170,methylmalonate,298.15,5,4,CC(C(O)=O)C([O-])=O,CC(C([O-])=O)C([O-])=O,5.76
2181,phenoxyacetate,298.15,8,7,OC(=O)COc1ccccc1,[O-]C(=O)COc1ccccc1,3.17
2226,2-methylmaleate,298.15,5,4,C(=O)OC=C(C)C(=O)[O-],C(=O)[O-]C=C(C)C(=O)[O-],6.27
2227,2-naphthylamine,298.15,10,9,,,4.16
2261,D-2-aminobutyrate,298.15,10,9,CC[C@@H]([NH3+])C(O)=O,CC[C@@H]([NH3+])C([O-])=O,2.29
2261,D-2-aminobutyrate,298.15,9,8,CC[C@@H]([NH3+])C([O-])=O,CC[C@@H](N)C([O-])=O,9.83
2267,deoxycoformycin,298.15,17,16,,,5.2
2299,N-methylbenzenamine,298.15,10,9,,,4.85
2304,hydrazinobenzene,288.15,9,8,,,8.79
2357,2-chlorobenzoate,298.15,5,4,OC(=O)c1ccccc1Cl,[O-]C(=O)c1ccccc1Cl,2.9
2359,2-fluorobenzoate,298.15,5,4,OC(=O)c1ccccc1F,[O-]C(=O)c1ccccc1F,3.27
2364,3-fluorobenzoate,298.15,5,4,OC(=O)c1cccc(F)c1,[O-]C(=O)c1cccc(F)c1,3.86
2370,4-chlorobenzoate,298.15,5,4,OC(=O)c1ccc(Cl)cc1,[O-]C(=O)c1ccc(Cl)cc1,4.0
2371,4-fluorobenzoate,298.15,5,4,OC(=O)c1ccc(F)cc1,[O-]C(=O)c1ccc(F)cc1,4.15
2372,4-aminophenol,298.15,8,7,[NH3+]c1ccc(O)cc1,Nc1ccc(O)cc1,5.48
2372,4-aminophenol,298.15,7,6,Nc1ccc(O)cc1,Nc1ccc([O-])cc1,10.3
2378,6-aminohexanoate,298.15,14,13,[NH3+]CCCCCC(=O)O,[NH3+]CCCCCC(=O)[O-],4.37
2378,6-aminohexanoate,298.15,13,12,[NH3+]CCCCCC(=O)[O-],NCCCCCC(=O)[O-],10.8
2454,"1,3-benzenediamine",293.15,10,9,c1cc([NH3+])cc([NH3+])c1,c1cc([NH3+])cc(N)c1,2.5
2454,"1,3-benzenediamine",293.15,9,8,c1cc([NH3+])cc(N)c1,c1cc(N)cc(N)c1,5.11
2496,"2,4-dinitrophenol",298.15,4,3,,,4.07
2499,2-phenylphenol,298.15,10,9,Oc1ccccc1-c1ccccc1,[O-]c1ccccc1-c1ccccc1,10.01
2502,2-hydroxypyridine,293.15,6,5,Oc1cccc[nH+]1,Oc1ccccn1,0.75
2502,2-hydroxypyridine,293.15,5,4,Oc1ccccn1,[O-]c1ccccn1,11.65
2519,4-methoxybenzoate,298.15,8,7,COc1ccc(cc1)C(O)=O,COc1ccc(cc1)C([O-])=O,4.5
