"ENTRY","DELTAG","UNCERTAINTY","CHARGE","REASON ENERGY COULD NOT BE ESTIMATED"
"C04855","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04856",-574.72,4.24,-2,
"C04857","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04858",-387.67,4,0,
"C04859",-255.7,10.69,0,
"C04861",-693.72,6.03,0,
"C04862",-331.54,3.63,-1,
"C04863","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C04864",-478.4,2.81,-2,
"C04865",-478.4,2.81,-2,
"C04866","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C04867",-40.19,2.25,0,
"C04871","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C04872","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04873",-197.04,3.73,0,
"C04874",-75.95,2.61,0,
"C04875",-39.74,1.76,0,
"C04876",-674.73,4.54,-2,
"C04877",-1064.55,4.41,-4,
"C04878",-858.99,7.16,1,
"C04880","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04881",-462.24,6.53,-2,
"C04882",-1126.09,5.43,-4,
"C04883",-34.73,1.78,0,
"C04884","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04885","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04886",-637.71,4.43,-1,
"C04887","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04889","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04890","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04891","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04894",-1077.22,5.97,-3,
"C04895",-704.45,2.61,-3,
"C04896",-651.87,4.32,-2,
"C04898","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C04899",-787.22,4.22,-3,
"C04900",-752.62,5.64,-3,
"C04901","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04902","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04903","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04904",-703.88,5.07,-2,
"C04905","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04906","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04907","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04908","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04909","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04910","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04911","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04913","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C04914","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04916","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C04917","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04919",-939.76,5.29,-2,
"C04920","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04922","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04923",-846.55,7.54,0,
"C04924","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04925","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04926","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04927","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04930","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04931","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C04932",-727.26,5.31,-1,
"C04934","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04936","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04937","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04938","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04939","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04940","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04942","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04943","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C04944","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05000",-431.67,1.31,-1,
"C05001",-430.11,1.33,-1,
"C05003",-217.61,1.37,0,
"C05005","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05009","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05010",-73.35,1.4,0,
"C05011",60.49,3.13,1,
"C05016",-159.98,0.54,0,
"C05021",-212.63,1.63,0,
"C05026",88.22,2.4,0,
"C05028",89.78,7.2,0,
"C05029","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05031",-29.12,3.04,0,
"C05034","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05035","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05036","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05037","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05038","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05039","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05042","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05046","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05047","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05048","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05049","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05052",-181,0.64,0,
"C05056","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05057","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05058",-5.84,0.92,0,
"C05060",-49.38,0.88,0,
"C05065","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05067","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05071","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05073",-419.34,7.18,-2,
"C05075","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05076",-38.36,2.31,-1,
"C05079",-17.03,2.44,-1,
"C05080",-266.39,3.32,-1,
"C05085","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05086",-257.62,10.08,0,
"C05100",-124.51,0.97,-1,
"C05102","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05103",44.2,6.88,0,
"C05104",37.37,6.91,0,
"C05107",51.93,6.83,0,
"C05108",42.88,6.89,0,
"C05109",10.94,9.57,0,
"C05110",22.4,6.87,0,
"C05111",13.58,6.86,0,
"C05113","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05114","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05116",-820.63,3.57,-3,
"C05117",-785.38,3.56,-2,
"C05118",-58.13,1.43,0,
"C05119",-58.13,1.43,0,
"C05122",-235.6,7.18,-1,
"C05123",-162.01,0.77,-1,
"C05125",-405.15,2.81,-1,
"C05126",-136.15,1.12,0,
"C05127",46.28,1.17,1,
"C05130",8.24,1.11,0,
"C05131",-168.66,1.74,-1,
"C05132",-80.88,1.12,-1,
"C05133",-87.93,0.92,-1,
"C05135",4.41,1.29,0,
"C05136",-597.01,3.55,-2,
"C05138",-59.72,6.88,0,
"C05139",-63.28,6.81,0,
"C05140",-58.27,6.82,0,
"C05141",-63.38,4.27,0,
"C05143",-193.28,5.24,0,
"C05144","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C05145",-86.3,0.31,0,
"C05146",-73.26,1.42,0,
"C05147",-102.38,0.86,-1,
"C05148","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05149",-432.67,6.37,0,
"C05150","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05151",-236.71,9.72,0,
"C05152","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05153",-178.15,3.97,-1,
"C05155",-96.57,2.15,-2,
"C05156","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05157","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05158",-230.23,1.9,-1,
"C05159","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05161",-85.85,0.55,1,
"C05162",-215.78,1.15,0,
"C05163",-205.31,1.5,0,
"C05165",-778.85,3.81,-3,
"C05167","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05169","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05172","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05173","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C05174",-36.41,4.56,0,
"C05175",-38.44,6.4,0,
"C05176",-7.66,2.17,0,
"C05177",5,4.56,0,
"C05178",-32.49,2.44,0,
"C05179","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C05183","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05184","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05189","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05190","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05191",-34.72,6.46,0,
"C05192","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05193",-99.03,6.47,0,
"C05194",-59.55,6.46,0,
"C05195",-791.61,3.64,-3,
"C05196","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05197","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05198",-9.12,3.03,0,
"C05199","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05200",33.28,3.32,-1,
"C05201",83.86,1.95,0,
"C05202",-47.14,2.34,0,
"C05203",-59.41,2.31,0,
"C05204",94.24,3.16,0,
"C05205","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05206","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05207","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05208","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05209","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05210","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05212","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05217","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05218","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05220","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C05223","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05226","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05227","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05229",-113.68,3.65,0,
"C05230",-52.42,3.65,0,
"C05231",-785.38,3.56,-2,
"C05232","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05234","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05235",-71.93,0.26,0,
"C05236","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05237","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05239",39.26,1.44,1,
"C05241","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05242","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05243",-7.66,2.17,0,
"C05247",-74.2,6.45,0,
"C05250","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05251","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05252",-210.97,2.63,0,
"C05253",-146.22,2.49,0,
"C05254",-769.87,2.56,-3,
"C05255",-89.66,2.58,0,
"C05258",-801.19,3.89,-3,
"C05259",-793.17,3.9,-3,
"C05260",-804.43,3.82,-3,
"C05261","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05262",-807.67,3.75,-3,
"C05263",-799.65,3.77,-3,
"C05264",-810.91,3.7,-3,
"C05265",-802.89,3.71,-3,
"C05266",-814.15,3.65,-3,
"C05267",-806.13,3.66,-3,
"C05268",-817.39,3.6,-3,
"C05269",-809.37,3.61,-3,
"C05270",-779.35,3.6,-3,
"C05271",-758.54,3.61,-3,
"C05272",-742.34,3.87,-3,
"C05273",-745.58,3.81,-3,
"C05274",-772.87,3.7,-3,
"C05275",-752.06,3.69,-3,
"C05276",-755.3,3.64,-3,
"C05277","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05278","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05279",-726.46,3.78,-3,
"C05280",-724.91,3.78,-3,
"C05281","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05282",-161.53,0.34,-2,
"C05283",-110.48,0.38,-1,
"C05284",-58.27,6.82,0,
"C05285",-51.71,6.85,0,
"C05290",-54.66,6.89,0,
"C05291",-64.83,6.82,0,
"C05293",-42.82,7.18,0,
"C05294",-61.22,6.87,0,
"C05295","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05296",-58.27,6.82,0,
"C05297",-45.18,6.89,0,
"C05298",-56.46,4.35,0,
"C05299",-41.81,4.37,0,
"C05300",-56.82,4.26,0,
"C05301",-63.02,4.36,0,
"C05302",-48.37,4.37,0,
"C05305","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05306","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05307","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05308",-414.42,0.87,-2,
"C05309","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05310","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05312","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05313",47.93,3.36,-1,
"C05314",96.13,1.97,0,
"C05315",9,3.71,1,
"C05316",-84.38,6.52,0,
"C05317",-44.76,2.41,0,
"C05318","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05319","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05320","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05321","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05322","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C05324",-199.66,1.36,-1,
"C05325","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05326","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05328",-26.91,1.25,1,
"C05329","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05330",-81.77,0.71,0,
"C05332",28.59,0.82,1,
"C05334",-99.16,2.25,0,
"C05335","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05336","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers|Unlabled atoms"
"C05337",-825.23,8.06,-3,
"C05338",-788.44,3.65,-3,
"C05339","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05340",-102.73,1.87,1,
"C05341",-113,0.94,1,
"C05342",-82.9,3.04,0,
"C05343",-127.4,0.9,-1,
"C05344",-630.29,3.58,-2,
"C05345",-431.67,1.31,-1,
"C05346","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05347","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05348","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05349",-14.69,3.29,-1,
"C05350",-110.35,1.11,-1,
"C05351","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05353",-227.08,1.33,0,
"C05354","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05355","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05356",-34.21,2.19,-1,
"C05357","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05358","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05359","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05360","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05361",-4.21,0.38,1,
"C05364",-248.22,0.79,-3,
"C05365","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05366","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05367","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05369","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05370",-436.37,7.56,0,
"C05371",-258.99,5.56,-1,
"C05372",-386.67,4.43,0,
"C05373","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05374",-327.13,1.75,-1,
"C05375",-207.06,1.48,-2,
"C05376",-251.87,3.16,0,
"C05377",-16.63,1.81,0,
"C05378",-644.17,1.3,-2,
"C05379",-268.54,0.46,-3,
"C05380",-67.47,1.56,-1,
"C05381",-481.36,2.82,-2,
"C05382",-466.34,0.93,-1,
"C05383","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05385",-474,1.47,-2,
"C05386",-636.85,3.68,-2,
"C05392","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05393","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05394",-211.72,1.38,0,
"C05396",-589.26,2.99,-1,
"C05399",-383.92,1.97,0,
"C05400",-376.76,3.02,0,
"C05401",-274.66,1.68,0,
"C05402",-376.76,3.02,0,
"C05403",-370.2,2.85,0,
"C05404",-535.24,4.53,0,
"C05405",-177.8,1.11,0,
"C05406","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05407","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05410",-215.78,1.15,0,
"C05411",-232.24,0.7,-1,
"C05412",-232.24,0.7,-1,
"C05413",230.58,4.42,0,
"C05414",243.3,4.89,0,
"C05416",59.09,7.02,0,
"C05417","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C05418","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C05419","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C05421",230.58,4.42,0,
"C05422",-197.74,1.11,0,
"C05423","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05424","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05425",-91.64,9.64,0,
"C05426","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05427",-420.31,1.24,-2,
"C05430",256.02,5.49,0,
"C05431",268.74,6.19,0,
"C05432",281.46,6.97,0,
"C05433",244.44,5.8,0,
"C05434",248.61,5.62,0,
"C05435",261.33,6.43,0,
"C05437",46.19,6.93,0,
"C05439",37.37,6.91,0,
"C05440",68.62,6.89,0,
"C05441",134.05,7.57,0,
"C05442",39.36,6.93,0,
"C05443",111.88,7.52,0,
"C05444",-79.88,7.16,0,
"C05445",-70.4,7.16,0,
"C05446",-119.72,7.13,0,
"C05447",-801.93,8.09,-3,
"C05448",-860.22,8.1,-3,
"C05449",-852.2,8.09,-3,
"C05450",-900.06,8.1,-3,
"C05451",-37.09,7.15,0,
"C05452",-43.65,7.16,0,
"C05453",-76.93,7.1,0,
"C05454",-83.49,7.13,0,
"C05455",-19.26,6.85,0,
"C05457",-59.1,6.81,0,
"C05458",-76.93,7.1,0,
"C05460",-841.77,8.08,-3,
"C05461",-825.23,8.06,-3,
"C05462",-156.73,7.17,-1,
"C05463",-195.76,7.21,-1,
"C05464",-156.73,7.17,-1,
"C05465",-195.76,7.21,-1,
"C05466",-156.73,7.17,-1,
"C05467",-892.04,8.09,-3,
"C05468",-270.45,7.16,-1,
"C05469",-142.05,7.14,0,
"C05470",-148.61,7.13,0,
"C05471",-148.61,7.13,0,
"C05472",-155.17,7.14,0,
"C05473",-136.19,7.12,0,
"C05474",-142.75,7.14,0,
"C05475",-109.44,7.12,0,
"C05476",-116,7.14,0,
"C05477",-102.88,7.13,0,
"C05478",-109.44,7.12,0,
"C05479",-33.37,7.19,0,
"C05480",-39.93,7.19,0,
"C05481",-156.63,7.14,0,
"C05482",-163.19,7.15,0,
"C05483",-117.46,7.13,0,
"C05484",-47.95,7.19,0,
"C05485",-56.78,6.88,0,
"C05487",-95.95,6.89,0,
"C05488",-90.94,6.89,0,
"C05489",-135.79,6.84,0,
"C05490",-85.05,6.83,0,
"C05497",-94.55,6.83,0,
"C05498",-55.38,6.82,0,
"C05499",-63.06,6.91,0,
"C05500",-23.89,6.91,0,
"C05501",-61.93,6.91,0,
"C05502",-22.47,6.91,0,
"C05503",-225.24,4.64,-1,
"C05504",-265.08,4.65,-1,
"C05511","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05512",-61.24,2.69,0,
"C05513","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05515",-88.85,1.52,-1,
"C05516",-42.15,1.51,0,
"C05517","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05519",-124.34,0.41,0,
"C05520",-192.53,0.42,-1,
"C05524","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05526","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05527","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05528",-231.17,0.79,-2,
"C05529",-122.7,0.5,-2,
"C05532","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05533",-266.92,0.48,-3,
"C05535","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05537",-294.26,0.94,-3,
"C05539",-218.05,0.84,-2,
"C05543","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05544","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05545","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05546","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05547",-280.56,1.67,1,
"C05548",-138.41,0.83,-1,
"C05551",-86.91,1.96,-1,
"C05552",-135.91,2.49,0,
"C05554",-448.62,3.16,-3,
"C05555","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05556",-218.09,1.65,-1,
"C05557",-199.54,1.85,-1,
"C05560",-342.86,3.1,-1,
"C05562",-2.86,1.11,0,
"C05565",-151.46,1.43,-1,
"C05568",-80.88,1.12,-1,
"C05569","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05570",13.57,2.37,0,
"C05571",-24.35,1.49,-1,
"C05572",-146.46,0.66,-1,
"C05573","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05574",-164.13,0.38,-1,
"C05575",11.07,2.25,0,
"C05576",-123.66,1.16,0,
"C05577",-114.18,1.12,0,
"C05578",-24.55,1.66,0,
"C05579",2.94,2.48,0,
"C05580",-166.88,1.11,-1,
"C05581",-61.49,1.14,0,
"C05582",-114.19,1.13,-1,
"C05583",-99.53,1.16,0,
"C05584",-152.23,1.16,-1,
"C05585",-79.31,1.1,0,
"C05587",-35.72,1.15,1,
"C05588",-65.21,1.48,1,
"C05589",-73.76,1.17,1,
"C05590","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05592",-201.5,1.1,-3,
"C05593",-89.36,0.87,-1,
"C05594",-109.01,1.19,0,
"C05595",-196.34,1.14,-2,
"C05596",-119.94,1.09,-1,
"C05597",-114.42,1.3,-1,
"C05598",-80.46,1.03,-1,
"C05600",-158.35,0.99,-2,
"C05601",-223.7,0.47,-2,
"C05602",-18.86,3.29,0,
"C05603",-110.35,1.11,-1,
"C05604",-114.6,1.55,-1,
"C05605","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05606","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05607",-86.3,0.81,-1,
"C05608",-19.05,1.11,0,
"C05610",-68.71,1.69,0,
"C05613",-20.38,0.9,0,
"C05615","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05616",-156.84,1.4,-1,
"C05618",-54.74,1.14,0,
"C05619",-136.06,1.54,-1,
"C05620",-80.65,1.04,-1,
"C05622",-502.95,4,-1,
"C05623",-344.26,3.32,0,
"C05625",-466.51,4.44,0,
"C05627",6.97,1.03,0,
"C05629",-48.26,0.8,-1,
"C05631",-153.29,2.4,0,
"C05634",-10.61,1.56,0,
"C05635",-63.31,1.55,-1,
"C05636",-36.78,1.16,1,
"C05637",-16.88,1.65,0,
"C05638",-36.78,1.16,1,
"C05639",-16.88,1.65,0,
"C05640",-142.93,3.15,-2,
"C05641",-207.13,1.53,-2,
"C05642",-87.97,1.75,0,
"C05643",-39.27,1.8,0,
"C05644",-49.96,1.59,-1,
"C05645",-141.19,1.2,-1,
"C05646",-89.25,1.57,-1,
"C05647",-73.02,1.29,1,
"C05648",-152.66,1.29,0,
"C05649",73.36,3,0,
"C05650",75.43,2.51,0,
"C05651",-116.42,1.17,0,
"C05652",-141.19,1.2,-1,
"C05653",-85.23,1.09,-1,
"C05654",-149.3,1.42,-1,
"C05655",-202,1.42,-2,
"C05656",-227.94,1.44,-2,
"C05657",-99.73,1.57,-1,
"C05658",16.15,1.56,0,
"C05659",29.81,1.62,1,
"C05660",-48.66,1.6,-1,
"C05662",-277.4,0.5,-3,
"C05663",-98.29,1.71,-1,
"C05665",-33.41,0.31,1,
"C05668",-820.44,3.57,-3,
"C05669","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C05670",6.49,4.93,1,
"C05672",-287.65,0.52,-2,
"C05673","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05674","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05675","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05676","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05677","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05678",-246.05,0.53,-1,
"C05679",-199.46,1.02,-1,
"C05680",-193.56,1.28,-1,
"C05681","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C05682",-286.48,0.46,-3,
"C05683",-316.85,7.15,-2,
"C05684","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05686","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05688","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05689","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05690","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05691","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05692","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05693","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05694","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05695","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05696","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05697","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05698","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05699","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05700",-159.98,0.54,0,
"C05701",-236.19,0.64,-1,
"C05702","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C05703","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05704","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05705","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05706","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05707","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05708","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C05709","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
