abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
4HBZtm	4-Hydroxybenzoate mitochondrial transport		4hbz[c] <==> 4hbz[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1449503	0		
DHAD2m	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate), mitochondrial		[m] : 23dhmp --> 3mop + h2o	Valine, Leucine, and Isoleucine Metabolism	Mitochondria		Irreversible	N	1445162	0		
ARMT	hnRNP arginine N-methyltransferase		[c] : amet + his-L --> NPmehis + ahcys + h	Histidine Metabolism	Cytosol		Irreversible	N	1485689	0		
GLNt2n	glutamine nuclear transport via proton symport		gln-L[c] + h[c] <==> gln-L[n] + h[n]	Transport, Nuclear	Cytosol, Nucleus		Reversible	Y	1457931	0		
PPNCL2	phosphopantothenate-cysteine ligase		[c] : 4ppan + ctp + cys-L --> 4ppcys + cmp + h + ppi	Pantothenate and CoA Biosynthesis	Cytosol	6.3.2.5	Irreversible	N	1529328	0		
MI1PP	myo-inositol 1-phosphatase	L-myo-inositol-1-phosphate pho, inositol 1-phosphatase, inositol monophosphate phospha, inositol phosphatase, inositol-1(or 4)-monophosphata, myo-inositol-1(or 4)-monophosp	[c] : h2o + mi1p-D --> inost + pi	Phospholipid Biosynthesis	Cytosol	3.1.3.25	Irreversible	N	1484859	0		
EHGLATm	L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase, mitochondrial		[m] : akg + e4hglu --> 4h2oglt + glu-L	Arginine and Proline Metabolism	Mitochondria	2.6.1.1	Irreversible	N	1447489	0	another enzymatic function of Aat1-m (KEGG)	
5MTHFtm	5-Methyltetrahydrofolate mitochondrial transport via diffusion		5mthf[c] <==> 5mthf[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1469136	0		
IPCS326_SC	Inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific		[c] : cer3_26 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc326_SC	Sphingolipid Metabolism	Cytosol		Irreversible	N	1454189	0		
DHFtm	dihydrofolate reversible mitochondrial transport		dhf[c] <==> dhf[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1449473	0		
OPHHX6	2-Octaprenylphenol hydroxylase		[c] : 2oph_5 + (0.5) o2 --> 2ohph_5	Quinone Biosynthesis	Cytosol		Irreversible	N	1449681	0		
DRBK	Deoxyribokinase		[c] : atp + drib --> 2dr5p + adp + h	Pentose Phosphate Pathway	Cytosol	2.7.1.15	Irreversible	N	1457222	0		
HACD4p	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA), peroxisomal		[x] : 3odcoa + h + nadh <==> 3hdcoa + nad	Fatty Acid Degradation	Peroxisome	1.1.1.35	Reversible	N	1452136	0	peroxisomal according to CYGD	
DHORTSn	dihydroorotase, nuclear		[n] : dhor-S + h2o <==> cbasp + h	Purine and Pyrimidine Biosynthesis	Nucleus	3.5.2.3	Reversible	N	1447629	0	another enzymatic function of Ura2-n according to CYGD////nuclear according to CYGD	
SQLter	squalene endoplamic reticular transport		sql[c] <==> sql[r]	Transport, Endoplasmic Reticular	Cytosol, Endoplasmic Reticulum		Reversible	Y	1459934	0		
RNTR1	ribonucleoside-triphosphate reductase (ATP)		[c] : atp + trdrd --> datp + h2o + trdox	Nucleotide Salvage Pathway	Cytosol	1.17.4.2	Irreversible	N	145302	0		
PEtm_SC	phosphatidylethanolamine mitochondrial transport, yeast-specific		pe_SC[c] <==> pe_SC[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1460210	0		
PTPATi	pantetheine-phosphate adenylyltransferase		[c] : atp + h + pan4p --> dpcoa + ppi	Pantothenate and CoA Biosynthesis	Cytosol	2.7.7.3	Irreversible	N	1447104	0		
ALDD20y	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)		[c] : h2o + id3acald + nadp --> (2) h + ind3ac + nadph	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol		Irreversible	N	1485991	0		
AMPN	AMP nucleosidase		[c] : amp + h2o --> ade + r5p	Nucleotide Salvage Pathway	Cytosol	3.2.2.4	Irreversible	N	1441517	0		
NAPRTm	NAPRTase, mitochondrial		[m] : h + nac + prpp --> nicrnt + ppi	NAD Biosynthesis	Mitochondria	2.4.2.11	Irreversible	N	1449100	0		
ACONT	aconitase		[c] : cit <==> icit	Citric Acid Cycle	Cytosol	4.2.1.3	Reversible	N	135209	0	reaction added for cytoplasm based on CYGD	
PSERDm_SC	phosphatidylserine decarboxylase, yeast-specific, mitochondrial		[m] : h + (0.01) ps_SC --> co2 + (0.01) pe_SC	Phospholipid Biosynthesis	Mitochondria	4.1.1.65	Irreversible	N	1531297	0		
MALtm	malate transport, mitochondrial		mal-L[c] + pi[m] <==> mal-L[m] + pi[c]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1164664	0		
GLUt5m	L-glutamate transport into mitochondria via hydroxide ion antiport		glu-L[c] + oh1[m] --> glu-L[m] + oh1[c]	Transport, Mitochondrial	Cytosol, Mitochondria		Irreversible	Y	1446649	0		
FA161ACPH	fatty-acyl-ACP hydrolase		[c] : h2o + hdeACP <==> ACP + h + hdcea	Fatty Acid  Biosynthesis	Cytosol	3.1.2.14	Reversible	N	1512332	0	another enzymatic function of FAS (CYGD)	
PUNP1m	purine-nucleoside phosphorylase (Adenosine), mitochondrial		[m] : adn + pi <==> ade + r1p	NAD Biosynthesis	Mitochondria	2.4.2.1	Reversible	N	1449084	0		
ACACT1	acetyl-CoA C-acetyltransferase		[c] : (2) accoa --> aacoa + coa	Fatty Acid  Biosynthesis	Cytosol	2.3.1.9	Irreversible	N	213766	0		
O2t	o2 transport (diffusion)		o2[e] <==> o2[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1441076	0		
QULNtm	Quinolinate reversible mitochondrial transport		quln[c] <==> quln[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1449476	0		
ACALDt	acetaldehyde reversible transport		acald[e] <==> acald[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1441947	0		
HETZK	hydroxyethylthiazole kinase		[c] : 4mhetz + atp --> 4mpetz + adp + h	Thiamine Metabolism	Cytosol	2.7.1.50	Irreversible	N	199830	0		
HACD7p	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA), peroxisomal		[x] : 3ohdcoa + h + nadh <==> 3hhdcoa + nad	Fatty Acid Degradation	Peroxisome	1.1.1.35	Reversible	N	1452154	0	peroxisomal according to CYGD	
RIBFLVtm	Riboflavin reversible mitochondrial transport		ribflv[c] <==> ribflv[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1449461	0		
ANS	anthranilate synthase		[c] : chor + gln-L --> anth + glu-L + h + pyr	Glutamine Metabolism	Cytosol	4.1.3.27	Irreversible	N	139849	0		
ADK3	adentylate kinase (GTP)		[c] : amp + gtp <==> adp + gdp	Nucleotide Salvage Pathway	Cytosol		Reversible	N	1441498	0		
PEtg_SC	phosphatidylethanolamine Golgi transport, yeast-specific		pe_SC[c] <==> pe_SC[g]	Transport, Golgi Apparatus	Cytosol, Golgi Apparatus		Reversible	Y	1460204	0		
HMGCOAS	Hydroxymethylglutaryl CoA synthase	3-hydroxy-3-methylglutaryl coenzyme A synthase	[c] : coa + h + hmgcoa <==> aacoa + accoa + h2o	Sterol Biosynthesis	Cytosol	4.1.3.5	Reversible	N	1454596	0	located in ER membrane (CYGD); assume catalytic domain faces cytosol	
ADNUC	adenosine hydrolase		[c] : adn + h2o --> ade + rib-D	Nucleotide Salvage Pathway	Cytosol	3.2.2.8	Irreversible	N	1436393	0		
FDNG	formate  dehydrogenase, cytosolic/mitochondrial		for[c] + h[c] + q6[m] --> co2[c] + q6h2[m]	Oxidative Phosphorylation	Cytosol, Mitochondria	1.2.2.1	Irreversible	Y	1449837	0		
CHORM	chorismate mutase		[c] : chor --> pphn	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	5.4.99.5	Irreversible	N	140041	0		
G5SADrm	L-glutamate 5-semialdehyde dehydratase, reversible, mitochondrial		[m] : glu5sa <==> 1pyr5c + h + h2o	Arginine and Proline Metabolism	Mitochondria		Reversible	N	1531076	0		
MANt2	D-mannose transport in via proton symport		h[e] + man[e] --> h[c] + man[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1441822	0		
ACOAO8p	acyl-CoA oxidase (octadecanoyl-CoA), peroxisomal		[x] : o2 + stcoa --> h2o2 + od2coa	Fatty Acid Degradation	Peroxisome	1.3.3.6	Irreversible	N	1452076	0	peroxisomal according to CYGD	
ECOAH5p	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA), peroxisomal		[x] : 3hddcoa <==> dd2coa + h2o	Fatty Acid Degradation	Peroxisome	4.2.1.17	Reversible	N	1452128	0	peroxisomal according to CYGD	
MELIBt2	melibiose transport in via symport		h[e] + melib[e] --> h[c] + melib[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1441895	0		
GLUt2n	glutamate nuclear transport via proton symport		glu-L[c] + h[c] <==> glu-L[n] + h[n]	Transport, Nuclear	Cytosol, Nucleus		Reversible	Y	1457941	0		
MCITDm	2-methylcitrate dehydratase, mitochondrial		[m] : hcit <==> b124tc + h2o	Threonine and Lysine Metabolism	Mitochondria	4.2.1.79	Reversible	N	1445195	0		
ACGAM6PS	N-acetylglucosamine-6-phosphate synthase	glucosamine 6-phosphate N-acetyltransferase	[c] : accoa + gam6p <==> acgam6p + coa + h	Glutamate metabolism	Cytosol	2.3.1.4	Reversible	N	1530443	0		
ADK3m	adentylate kinase (GTP)		[m] : amp + gtp <==> adp + gdp	Nucleotide Salvage Pathway	Mitochondria		Reversible	N	1441970	0		
PYRt2p	pyruvate peroxisomal transport via proton symport		h[c] + pyr[c] <==> h[x] + pyr[x]	Transport, Peroxisomal	Cytosol, Peroxisome		Reversible	Y	1471882	0		
LYSTRSm	Lysyl-tRNA synthetase, mitochondrial		[m] : atp + lys-L + trnalys --> amp + lystrna + ppi	Threonine and Lysine Metabolism	Mitochondria	6.1.1.6	Irreversible	N	1445398	0		
OCTDP_5tm	all-trans-Octaprenyl diphosphate		octdp_5[c] <==> octdp_5[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1449905	0		
PPM	phosphopentomutase		[c] : r1p <==> r5p	Pentose Phosphate Pathway	Cytosol	5.4.2.7	Reversible	N	137582	0		
OXO2Ctm	2-oxodicarboylate transporter, mitochondrial		akg[m] + oxag[c] <==> akg[c] + oxag[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1446670	0		
AMETtn	S-adenosyl-L-methionine nuclear transport		amet[c] <==> amet[n]	Transport, Nuclear	Cytosol, Nucleus		Reversible	Y	1471736	0	molecules less than 9nm or 60kDa can pass thru nuclear pores by passive diffusion. Allen et al, J Cell Sci 2000//	
ALATA_Lm	L-alanine transaminase, mitochondrial		[m] : akg + ala-L <==> glu-L + pyr	Alanine and Aspartate Metabolism	Mitochondria	2.6.1.2	Reversible	N	1442863	0		
ASPt2n	aspartate nuclear transport via proton symport		asp-L[c] + h[c] <==> asp-L[n] + h[n]	Transport, Nuclear	Cytosol, Nucleus		Reversible	Y	1460900	0		
FACOAL140	fatty-acid--CoA ligase (tetradecanoate)		[c] : atp + coa + ttdca <==> amp + ppi + tdcoa	Fatty Acid  Biosynthesis	Cytosol	6.2.1.3	Reversible	N	1451830	0		
G6PI2	Glucose-6-phosphate isomerase		[c] : g6p-B <==> f6p-B	Glycolysis/Gluconeogenesis	Cytosol	5.3.1.9	Reversible	N	1449884	0		
OPHBDC6	Octaprenyl-hydroxybenzoate decarboxylase		[c] : 3ophb_5 + h --> 2oph_5 + co2	Quinone Biosynthesis	Cytosol		Irreversible	N	1449675	0		
DIPS	diphthine synthase		[c] : amet + caphis --> ahcys + cmaphis + h	Methionine Metabolism	Cytosol	2.1.1.98	Irreversible	N	1529927	0		
ACRNtp	acetylcarnitine transport out of peroxisome		acrn[x] --> acrn[c]	Transport, Peroxisomal	Cytosol, Peroxisome		Irreversible	Y	1459417	0	proposed in van Roermund et al 1996//	
5AOPt2	5-Aminolevulinate transport in via proton symport		5aop[e] + h[e] --> 5aop[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1449451	0		
ABUTt2	4-aminobutyrate transport in via proton symport		4abut[e] + h[e] --> 4abut[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	246893	0		
IPCS224_SC	Inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific		[c] : cer2_24 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc224_SC	Sphingolipid Metabolism	Cytosol		Irreversible	N	1454246	0	added according to Dickinson book	
IPCS226_SC	Inositol phosphoryceramide synthase (ceramide-2, 26C), yeast-specific		[c] : cer2_26 + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) ipc226_SC	Sphingolipid Metabolism	Cytosol		Irreversible	N	1454255	0	added according to Dickinson book	
NTP3	nucleoside-triphosphatase (GTP)		[c] : gtp + h2o --> gdp + h + pi	Nucleotide Salvage Pathway	Cytosol	3.6.1.15	Irreversible	N	243570	0		
CRNtim	L-carnitine transport out of mitochondria via diffusion		crn[m] --> crn[c]	Transport, Mitochondrial	Cytosol, Mitochondria		Irreversible	Y	1446798	0		
3DSPHR	3-Dehydrosphinganine reductase		[c] : 3dsphgn + h + nadph --> nadp + sphgn	Sphingolipid Metabolism	Cytosol	1.1.1.102	Irreversible	N	1453320	0		
DADA	Deoxyadenosine deaminase		[c] : dad-2 + h + h2o --> din + nh4	Nucleotide Salvage Pathway	Cytosol		Irreversible	N	1529057	0		
PMANM	phosphomannomutase		[c] : man1p <==> man6p	Fructose and Mannose Metabolism	Cytosol	5.4.2.8	Reversible	N	136957	0		
MIPCS224_SC	mannose-inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific		[c] : gdpmann + (0.01) ipc224_SC --> gdp + h + (0.01) mipc224_SC	Sphingolipid Metabolism	Cytosol		Irreversible	N	1531425	0	CSG2 listed as ER membrane (CYGD); assume catalytic domain faces cytosol////added according to Dickinson book	
HEX1	hexokinase (D-glucose:ATP)	glucokinase	[c] : atp + glc-D --> adp + g6p + h	Glycolysis/Gluconeogenesis	Cytosol	2.7.1.1	Irreversible	N	134052	0	Rxn can be catalyzed by EC 2.7.1.1 (Hxk1) and EC 2.7.1.2 (Glk1) 	
ACGSm	N-acteylglutamate synthase, mitochondrial		[m] : accoa + glu-L --> acglu + coa + h	Arginine and Proline Metabolism	Mitochondria	2.3.1.1	Irreversible	N	1529013	0		
LEUTA	leucine transaminase		[c] : akg + leu-L <==> 4mop + glu-L	Valine, Leucine, and Isoleucine Metabolism	Cytosol	2.6.1.6	Reversible	N	200620	0		
E4HGLUtm	L-erythro-4-hydroxyglutamate mitochondrial transport via diffusion		e4hglu[c] <==> e4hglu[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1447804	0		
GTHOXti	oxidized glutathione irreversible uniport		gthox[e] --> gthox[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1447034	0		
GTPCI [deleted 07/14/2004  02:23:00 PM]	GTP cyclohydrolase I		[c] : gtp + h2o --> ahdt + for	Folate Metabolism	Cytosol	3.5.4.16	Irreversible	N	1553591	0		
METt2m	methionine mitochondrial transport via proton symport		h[m] + met-L[m] <==> h[c] + met-L[c]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1457891	0		
AMETt2	S-adenosyl-L-methionine transport in via proton symport		amet[e] + h[e] --> amet[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1446925	0		
MTHFCm [deleted 07/26/2004  02:18:31 PM]	methenyltetrahydrifikate cyclohydrolase, mitochondrial		[m] : h2o + methf <==> 10fthf	Folate Metabolism	Mitochondria	3.5.4.9	Reversible	N	1553249	0		
AASAD2	L-aminoadipate-semialdehyde dehydrogenase (NADH)		[c] : L2aadp + atp + h + nadh --> L2aadp6sa + amp + nad + ppi	Threonine and Lysine Metabolism	Cytosol	1.2.1.31	Irreversible	N	1485516	0		
RNTR4	ribonucleoside-triphosphate reductase (UTP)		[c] : trdrd + utp --> dutp + h2o + trdox	Nucleotide Salvage Pathway	Cytosol	1.17.4.2	Irreversible	N	145356	0		
HSTPT	histidinol-phosphate transaminase		[c] : glu-L + imacp --> akg + hisp	Histidine Metabolism	Cytosol	2.6.1.9	Irreversible	N	140493	0		
CERS324	Ceramide-3 synthase (24C)		[c] : cer2_24 + h + nadph + o2 --> cer3_24 + h2o + nadp	Sphingolipid Metabolism	Cytosol		Irreversible	N	1513716	0		
GALK	galactokinase		[c] : atp + gal --> adp + gal1p + h	Galactose metabolism	Cytosol	2.7.1.6	Irreversible	N	136512	0		
FTHFCLm	5-formethyltetrahydrofolate cyclo-ligase, mitochondrial		[m] : 5fthf + atp --> adp + methf + pi	Folate Metabolism	Mitochondria	6.3.3.2	Irreversible	N	1554027	0	changed to reversible based on Cherest et al JBC 2000. Originally listed as irreversible as per KEGG	
CSNt2	cytosine transport in via proton symport		csn[e] + h[e] --> csn[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	218359	0		
DAGCPT_SC	diacylglycerol cholinephosphotransferase, yeast-specific		[c] : (0.01) 12dgr_SC + cdpchol --> cmp + h + (0.01) pc_SC	Phospholipid Biosynthesis	Cytosol	2.7.8.2	Irreversible	N	1531379	0	localization is ER membrane, Golgi membrane (CYGD); assume enzymatic domain faces cytosol////added as another enzymatic function of Ept1 according to CYGD	
LEUTRS	Leucyl-tRNA synthetase		[c] : atp + leu-L + trnaleu --> amp + leutrna + ppi	Valine, Leucine, and Isoleucine Metabolism	Cytosol	6.1.1.4	Irreversible	N	227751	0		
DESAT16	Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA)		[c] : h + nadph + o2 + pmtcoa --> (2) h2o + hdcoa + nadp	Fatty Acid  Biosynthesis	Cytosol	1.14.19.1	Irreversible	N	1454001	0	added according to CYGD	
ACOAH	acetyl-CoA hydrolase		[c] : ac + coa + h --> accoa + h2o	Pyruvate Metabolism	Cytosol	3.1.2.1	Irreversible	N	225966	0	glucose repressed	
KYN	kynureninase		[c] : Lkynr + h2o --> ala-L + anth + h	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	3.7.1.3	Irreversible	N	1485657	0		
CYOOm	cytochrome c oxidase, mitochondrial		(4) focytc[m] + (6) h[m] + o2[m] --> (4) ficytc[m] + (6) h[c] + (2) h2o[m]	Oxidative Phosphorylation	Cytosol, Mitochondria	1.9.3.1	Irreversible	Y	235074	0		
TRPTRS	Tryptophanyl-tRNA synthetase		[c] : atp + trnatrp + trp-L --> amp + ppi + trptrna	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	6.1.1.2	Irreversible	N	227783	0		
SUCRe	sucrose hydrolyzing enxyme, extracellular		[e] : h2o + sucr --> fru + glc-D	Alternate Carbon Metabolism	Extra-organism	3.2.1.26	Irreversible	N	1441864	0		
NDPK3	nucleoside-diphosphate kinase (ATP:CDP)		[c] : atp + cdp <==> adp + ctp	Nucleotide Salvage Pathway	Cytosol	2.7.4.6	Reversible	N	144769	0		
TREt2v	trehalose vacuolar transport via proton symport		h[c] + tre[c] <==> h[v] + tre[v]	Transport, Vacuolar	Cytosol, Vacuole		Reversible	Y	1457936	0		
THMDPe	thiamin diphosphatase, extracellular		[e] : (2) h2o + thmpp --> h + (2) pi + thm	Thiamine Metabolism	Extra-organism	3.1.3.2	Irreversible	N	1532022	1		
FA141ACPH	fatty-acyl-ACP hydrolase		[c] : h2o + tdeACP <==> ACP + h + ttdcea	Fatty Acid  Biosynthesis	Cytosol	3.1.2.14	Reversible	N	1512308	0	another enzymatic function of FAS (CYGD)	
CO2tv	CO2 vacuolar transport		co2[c] <==> co2[v]	Transport, Vacuolar	Cytosol, Vacuole		Reversible	Y	1459344	0		
G6Pter	glucose 6-phosphate endoplasmic reticular transport via diffusion		g6p[c] <==> g6p[r]	Transport, Endoplasmic Reticular	Cytosol, Endoplasmic Reticulum		Reversible	Y	1461433	0		
SHK3D	shikimate dehydrogenase		[c] : 3dhsk + h + nadph --> nadp + skm	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	1.1.1.25	Irreversible	N	612024	0		
PROt2r	L-proline reversible transport via proton symport		h[e] + pro-L[e] <==> h[c] + pro-L[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1446890	0		
RNDR4n	ribonucleoside-diphosphate reductase (UDP), nuclear		[n] : trdrd + udp --> dudp + h2o + trdox	Nucleotide Salvage Pathway	Nucleus	1.17.4.1	Irreversible	N	1442643	0		
NMNTP	nmntp		h[e] + nmn[e] --> h[c] + nmn[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1436603	0		
NDPK6	nucleoside-diphosphate kinase (ATP:dUDP)		[c] : atp + dudp <==> adp + dutp	Nucleotide Salvage Pathway	Cytosol	2.7.4.6	Reversible	N	144844	0		
TRE6PS	alpha,alpha-trehalose-phosphate synthase (UDP-forming)		[c] : g6p + udpg --> h + tre6p + udp	Alternate Carbon Metabolism	Cytosol	2.4.1.15	Irreversible	N	224254	0	rxn catalyzed by TPS1, TPS3, TSL subunits	
BPNT	3',5'-bisphosphate nucleotidase		[c] : h2o + pap --> amp + pi	Cysteine Metabolism	Cytosol	3.1.3.7	Irreversible	N	141056	0		
ACOAO5p	acyl-CoA oxidase (dodecanoyl-CoA), peroxisomal		[x] : ddcacoa + o2 --> dd2coa + h2o2	Fatty Acid Degradation	Peroxisome	1.3.3.6	Irreversible	N	1452091	0	peroxisomal according to CYGD	
FA120tp	fatty acid peroxisomal transport		ddca[c] --> ddca[x]	Transport, Peroxisomal	Cytosol, Peroxisome		Irreversible	Y	1459862	0		
GUAPRT	guanine phosphoribosyltransferase		[c] : gua + prpp --> gmp + ppi	Nucleotide Salvage Pathway	Cytosol	2.4.2.8	Irreversible	N	213130	0		
FA181ACPtm	fatty-acyl-ACP mitochondrial transport		octeACP[m] --> octeACP[c]	Transport, Mitochondrial	Cytosol, Mitochondria		Irreversible	Y	1489033	0		
GALIGH	1-alpha-D-Galactosyl-myo-inositol galactohydrolase		[c] : 1Dgali + h2o <==> gal + inost	Galactose metabolism	Cytosol	3.2.1.22	Reversible	N	1440099	0		
OMBZLM6m	2-Octaprenyl-6-methoxy-benzoquinol methylase, mitochodnrial		[m] : 2ombzl_5 + amet --> 2ommbl_5 + ahcys + h	Quinone Biosynthesis	Mitochondria		Irreversible	N	1449731	0		
ACOAO6p	acyl-CpA oxidase (tetradecanoyl-CoA), peroxisomal		[x] : o2 + tdcoa --> h2o2 + td2coa	Fatty Acid Degradation	Peroxisome	1.3.3.6	Irreversible	N	1452086	0	peroxisomal according to CYGD	
ADSS	adenylosuccinate synthase		[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi	Purine and Pyrimidine Biosynthesis	Cytosol	6.3.4.4	Irreversible	N	1529069	0		
TYRt2r	L-tyrosine reversible transport via proton symport		h[e] + tyr-L[e] <==> h[c] + tyr-L[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1446900	0		
CERS126	Ceramide-1 synthase (26C)		[c] : hexccoa + sphgn --> cer1_26 + coa + h	Sphingolipid Metabolism	Cytosol		Irreversible	N	1530188	0	added according to Dickinson book	
ERGTETROLter	Ergosta-5,6,22,24,(28)-tetraen-3beta-ol endoplamic reticular transport		ergtetrol[c] <==> ergtetrol[r]	Transport, Endoplasmic Reticular	Cytosol, Endoplasmic Reticulum		Reversible	Y	1459952	0		
ALLTNti	allantoin irreversible uniport		alltn[e] --> alltn[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1447014	0		
GHMT2rm	glycine hydroxymethyltransferase, reversible, mitochondrial		[m] : ser-L + thf <==> gly + h2o + mlthf	Glycine and Serine Metabolism	Mitochondria	2.1.2.1	Reversible	N	1443857	0		
GLUt2r	L-glutamate transport via proton symport, reversible		glu-L[e] + h[e] <==> glu-L[c] + h[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1446819	0		
MIP2CS126_SC	mannose-(inositol-P)2-ceramide synthase (ceramide-1, 26C), yeast-specific		[c] : (0.01) mipc126_SC + (0.01) ptd1ino_SC --> (0.01) 12dgr_SC + (0.01) mip2c126_SC	Sphingolipid Metabolism	Cytosol		Irreversible	N	1454451	0	added according to Dickinson book	
ACPSm	acyl carrier protein synthase, mitochondrial		[m] : coa + h2o --> (2) h + pan4p + pap	Pantothenate and CoA Biosynthesis	Mitochondria		Irreversible	N	1449377	0		
ATPS3v	ATP synthase, vacuole		adp[v] + (3) h[c] + pi[v] --> atp[v] + (2) h[v] + h2o[v]	Oxidative Phosphorylation	Cytosol, Vacuole	3.6.3.14	Irreversible	Y	321689	0	VPH1 is vacuolar subunit according to CYGD	
MLTHFtm	5,10-Methylenetetrahydrofolate transport, diffusion, mitochondrial		mlthf[c] <==> mlthf[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1446603	0		
MDH	malate dehydrogenase		[c] : mal-L + nad <==> h + nadh + oaa	Oxidative Phosphorylation	Cytosol	1.1.1.37	Reversible	N	217915	0		
URIK2	uridine kinase (GTP:Uridine)		[c] : gtp + uri --> gdp + h + ump	Purine and Pyrimidine Biosynthesis	Cytosol	2.7.1.48	Irreversible	N	145603	0		
GLUK	Glucokinase		[c] : atp + glc-D --> adp + g6p-B + h	Glycolysis/Gluconeogenesis	Cytosol	2.7.1.2	Irreversible	N	1460313	0		
PSCVTi	3-phosphoshikimate 1-carboxyvinyltransferase, irreversible		[c] : pep + skm5p --> 3psme + pi	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	2.5.1.19	Irreversible	N	1445540	0		
CYTD	cytidine deaminase		[c] : cytd + h + h2o --> nh4 + uri	Purine and Pyrimidine Biosynthesis	Cytosol	3.5.4.5	Irreversible	N	1529143	0		
2OXOADPtim	2-oxoadipate transport out of mitochondria via diffusion		2oxoadp[m] --> 2oxoadp[c]	Transport, Mitochondrial	Cytosol, Mitochondria		Irreversible	Y	1485327	0		
PNTOt2	Pantothenate reversible transport via proton symport		h[e] + pnto-R[e] <==> h[c] + pnto-R[c]	Transport, Extracellular	Cytosol, Extra-organism		Reversible	Y	1449436	0		
NDPK7	nucleoside-diphosphate kinase (ATP:dCDP)		[c] : atp + dcdp <==> adp + dctp	Nucleotide Salvage Pathway	Cytosol	2.7.4.6	Reversible	N	144869	0		
FOLD3m	dihydropteroate synthase, mitochondrial	7,8-dihydropteroate synthase, 7,8-dihydropteroate synthetase, 7,8-dihydropteroic acid synthetase, DHPS, dihydropteroate pyrophosphorylase, dihydropteroate synthetase, dihydropteroic synthetase	[m] : 2ahhmd + 4abz --> dhpt + ppi	Folate Metabolism	Mitochondria	2.5.1.15	Irreversible	N	1449181	0		
HEX7	hexokinase (D-fructose:ATP)	D-fructokinase, D-fructose(D-mannose)kinase, fructokinase, fructokinase (phosphorylating)	[c] : atp + fru --> adp + f6p + h	Glycolysis/Gluconeogenesis	Cytosol	2.7.1.1	Irreversible	N	220664	0		
HPROa	L-hydroxyproline reductase (NAD)		[c] : 1p3h5c + (2) h + nadh --> 4hpro-LT + nad	Arginine and Proline Metabolism	Cytosol	1.5.1.2	Irreversible	N	1530373	0		
