abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
trnatrp	tRNA(Trp)	R	0	Cytosol, Mitochondria	C01652		38086	5,6,9	
trnaval	tRNA(Val)	R	0	Cytosol, Mitochondria	C01653		38088	4,5,6,9	
aa	acrylamide	C3H5NO	0	Cytosol, Extra-organism	C01659	79-06-1	38103	3	
15dap	1,5-Diaminopentane	C5H16N2	2	Cytosol, Extra-organism, Periplasm	C01672	462-94-2	38125	1,4,5,7	
nop	D-Nopaline	C11H19N4O6	-1	Cytosol	C01682	60-23-1	38151	7	
ergst	Ergosterol	C28H44O	0	Cytosol, Endoplasmic Reticulum, Extra-organism	C01694	57-87-4	38178	6	
galt	Galactitol	C6H14O6	0	Cytosol, Extra-organism, Periplasm	C01697	608-66-2	38183	1,2,5,7	
elaid	elaidic acid	C18H33O2	-1	Cytosol, Extra-organism	C01712	112-79-8	38213	2	
kynate	4-Hydroxy-2-quinolinecarboxylic acid	C10H6NO3	-1	Cytosol	C01717	492-27-3	38234	2	
sbt-L	L-Sorbitol	C6H14O6	0	Cytosol, Extra-organism	C01722	6706-59-8	38247	6	
lanost	Lanosterol	C30H50O	0	Cytosol, Endoplasmic Reticulum	C01724	79-63-0	38253	2,6	
mescon	Mesaconate	C5H4O4	-2	Mitochondria	C01732	498-24-8	38272	2	
tcynt	Thiocyanate	CNS	-1	Cytosol, Extra-organism, Mitochondria, Periplasm	C01755	463-56-9	38336	1,10,2,5	
xtsn	Xanthosine	C10H12N4O6	0	Cytosol, Extra-organism, Periplasm	C01762	146-80-5	38352	1,10,2,3,4,5,6	
aldstrn	Aldosterone	C21H28O5	0	Cytosol, Extra-organism, Mitochondria	C01780	52-39-1	38397	2	
cholcoa	Choloyl-CoA	C45H70N7O20P3S	-4	Peroxisome	C01794	1406-65-1	38424	2	
drib	Deoxyribose	C5H10O4	0	Cytosol, Extra-organism	C01801	533-67-5	38440	2,6,7	
dsmsterol	Desmosterol	C27H44O	0	Endoplasmic Reticulum	C01802	313-04-2	38445	2	
thrnt	L-Threonate	C4H7O5	-1	Cytosol	C01828	7306-96-9	38497	2	
thyox-L	L-Thyroxine	C15H11I4NO4	0	Cytosol, Extra-organism	C01829	51-48-9	38499	2	
ddcacoa	Dodecanoyl-CoA (n-C12:0CoA)	C33H54N7O17P3S	-4	Cytosol, Peroxisome	C01832	6244-92-4	38504	2,4,5,6,7	
alpp	applipoprotein	X	0	Periplasm	C01834		38510	5	
malttr	Maltotriose	C18H32O16	0	Cytosol, Extra-organism, Lysosome, Periplasm	C01835	1109-28-0	38512	1,2,5	
2ppoh	2-Propanol	C3H8O	0	Cytosol	C01845	67-63-0	38536	9	
aact	Aminoacetone	C3H8NO	1	Cytosol, Mitochondria	C01888	298-08-8	38629	2,5	
dtbt	Dethiobiotin	C10H17N2O3	-1	Cytosol	C01909		38667	1,10,3,5,6,7,9	
gchola	glycocholate	C26H43NO6	0	Cytosol, Extra-organism, Peroxisome	C01921	475-31-0	38691	2	
malthx	Maltohexaose	C36H62O31	0	Cytosol, Extra-organism, Periplasm	C01936	34620-77-4	38732	1,5	
occoa	Octanoyl-CoA (n-C8:0CoA)	C29H46N7O17P3S	-4	Cytosol, Mitochondria, Peroxisome	C01944		38747	10,2,4,5,6,7	
prgnlone	Pregnenolone	C21H32O2	0	Cytosol, Endoplasmic Reticulum, Mitochondria	C01953	145-13-1	38769	2	
thcys	Thiocysteine	C3H7NO2S2	0	Cytosol	C01962	40524-74-1	38786	2	
udcp	Undecaprenol	C55H90O	0	Cytosol	C01968	15575-14-1	38802	7	
ach	Acetylcholine	C7H16NO2	1	Cytosol, Extra-organism, Nucleus	C01996	51-84-3	38868	2	
eryth	L-Erythrulose	C4H8O4	0	Cytosol	C02045	533-50-6	38964	2	
lpro	Lipoylprotein	S2X	0	Cytosol, Mitochondria	C02051		38983	10,2,6,7	
maltttr	Maltotetraose	C24H42O21	0	Cytosol, Extra-organism, Periplasm	C02052	34612-38-9	38985	1,5	
phyQ	Phylloquinone	C31H46O2	0	Cytosol, Extra-organism	C02059	84-80-0	39000	2	
acmalt	Acetyl-maltose	C14H24O12	0	Cytosol	C02130		39162	5,7	
crtstrn	Corticosterone	C21H30O4	0	Cytosol, Endoplasmic Reticulum, Mitochondria	C02140	50-22-6	39187	2	
leuktrB4	Leukotriene B4	C20H31O4	-1	Cytosol, Endoplasmic Reticulum	C02165	71160-24-2	39243	2	
ppp9	Protoporphyrin	C34H32N4O4	-2	Cytosol, Mitochondria	C02191	553-12-8	39293	1,10,2,3,4,5,6,7,9	
txa2	Thromboxane A2	C20H31O5	-1	Cytosol, Endoplasmic Reticulum, Extra-organism	C02198	57576-52-0	39305	2	
ugam	UDP-glucosamine	C15H24N3O16P2	-1	Cytosol	C02200	57576-52-0	39313	3	
2amac	2-Aminoacrylate	C3H5NO2	0	Cytosol	C02218	5142-22-3	39352	2	
2mcit	2-Methylcitrate	C7H7O7	-3	Cytosol, Extra-organism, Mitochondria	C02225	96-17-3	39369	1,2,4,5,6	
cyst-L	L-Cystathionine	C7H14N2O4S	0	Cytosol, Peroxisome	C02291	56-88-2	39523	1,10,2,3,4,5,6,7	
acon-T	trans-Aconitate	C6H3O6	-3	Cytosol	C02341	4023-65-8	39643	1,5,9	
23camp	2',3'-Cyclic AMP	C10H11N5O6P	-1	Extra-organism, Periplasm	C02353		39672	5	
23ccmp	2',3'-Cyclic CMP	C9H11N3O7P	-1	Extra-organism, Periplasm	C02354		39674	5	
23cump	2',3'-Cyclic UMP	C9H10N2O8P	-1	Extra-organism, Periplasm	C02355		39676	5	
4mptnl	4-Methylpentanal	C6H12O	0	Mitochondria	C02373	123-30-8	39716	2	
perillyl	Perillyl alcohol	C10H16O	0	Cytosol, Extra-organism	C02452	536-59-4	39849	2	
dscl	dihydrosirohydrochlorin	C42H41N4O16	-7	Cytosol	C02463	65207-12-7	39875	1,10,4,5,6,7,9	
triodthy	Triiodothyronine	C15H12I3NO4	0	Cytosol, Extra-organism	C02465	6893-02-3	39878	2	
ccmuac	cis,cis-Muconate	C6H4O4	-2	Cytosol	C02480	505-70-4	39917	4	
2hmc	2-Hydroxymuconate	C6H4O5	-2	Cytosol	C02501	133191-11-4	39964	4	
3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H10O5	-2	Cytosol, Mitochondria	C02504		39972	1,10,4,5,6,7,9	
3ityr-L	3-Iodo-L-tyrosine	C9H10INO3	0	Cytosol	C02515	70-78-0	39998	2	
xolest_hs	cholesterol ester	C27H45XCO2	0	Cytosol, Endoplasmic Reticulum, Extra-organism	C02530	474-25-9	40037	2	
pser-D	D-O-Phosphoserine	C3H6NO6P	-2	Cytosol	C02532		40041	3	
estrones	Estrone 3-sulfate	C18H21O5S	-1	Cytosol, Endoplasmic Reticulum, Extra-organism	C02538	57-91-0	40054	2	
pylald	Perillyl aldehyde	C10H14O	0	Cytosol, Mitochondria	C02576	2111-75-3	40121	2	
suc6p	Sucrose 6-phosphate	C12H21O14P	-2	Cytosol	C02591		40149	1,5,7	
tdcoa	Tetradecanoyl-CoA (n-C14:0CoA)	C35H58N7O17P3S	-4	Cytosol, Mitochondria, Peroxisome	C02593		40154	10,2,4,5,6,7	
2ippm	2-Isopropylmaleate	C7H8O4	-2	Cytosol	C02631		40241	1,10,4,5,6,7,9	
3dhsk	3-Dehydroshikimate	C7H7O5	-1	Cytosol	C02637		40260	1,10,3,4,5,6,7,9	
cala	N-Carbamoyl-beta-alanine	C4H7N2O3	-1	Cytosol	C02642		40270	2,4,9	
gdbtal	4-Guanidinobutanal	C5H12N3O	1	Cytosol	C02647	107-85-7	40280	4	
acglc-D	6-Acetyl-D-glucose	C8H14O7	0	Cytosol	C02655	107-85-7	40288	5	
pime	Pimelate	C7H10O4	-2	Cytosol, Extra-organism	C02656	111-16-0	40290	3,7	
conialdh	Coniferyl aldehyde	C10H10O3	0	Cytosol	C02666	458-36-6	40317	4	
ddca	Dodecanoate (n-C12:0)	C12H23O2	-1	Cytosol, Extra-organism, Periplasm, Peroxisome	C02679	143-07-7	40351	10,2,4,5,6	
acmum	N-Acetylmuramate	C11H18NO8	-1	Extra-organism, Periplasm	C02713	61633-75-8	40415	5	
nmptrc	N-Methylputrescine	C5H16N2	2	Cytosol	C02723	3913-67-5	40435	2	
sucbz	o-Succinylbenzoate	C11H8O5	-2	Cytosol	C02730		40449	1,10,3,5,7	
prbatp	1-(5-Phosphoribosyl)-ATP	C15H19N5O20P4	-6	Cytosol	C02739		40470	1,10,4,5,6,7,9	
fldrd	flavodoxin (reduced)	XH2	0	Cytosol	C02745		40486	5	
apnnox	alpha-Pinene-oxide	C10H16O	0	Cytosol, Extra-organism	C02759	72936-74-4	40512	2	
2dglcn	2-Deoxy-D-gluconate	C6H11O6	-1	Cytosol	C02782		40559	10	
3pop	3-Phosphonopyruvate	C3H2O6P	-3	Cytosol	C02798		40591	7	
im4ac	Imidazole-4-acetate	C5H5N2O2	-1	Cytosol, Mitochondria	C02835	7273-34-9	40666	2	
fldox	flavodoxin (oxidized)	X	0	Cytosol	C02869		40728	5	
ppap	Propanoyl phosphate	C3H5O5P	-2	Cytosol	C02876		40738	1,5,9	
12ppd-R	(R)-Propane-1,2-diol	C3H8O2	0	Cytosol, Extra-organism, Periplasm	C02912	4254-14-2	40801	2,5	
12ppd-S	(S)-Propane-1,2-diol	C3H8O2	0	Cytosol, Extra-organism, Periplasm	C02917	4254-14-3	40815	1,2,5	
3mcat	3-Methylcatechol	C7H8O2	0	Cytosol	C02923	488-17-5	40830	4	
ivcoa	Isovaleryl-CoA	C26H40N7O17P3S	-4	Cytosol, Mitochondria	C02939		40861	2,4,7	
crmp_hs	Ceramide 1-phosphate	C18H35NO5PFULLRCO	-2	Cytosol, Extra-organism	C02960	551-16-6	40902	2	
all6p	D-Allose 6-phosphate	C6H11O9P	-2	Cytosol	C02962	147-94-4	40909	5	
f1p	D-Fructose 1-phosphate	C6H11O9P	-2	Cytosol	C02976	15978-08-2	40936	1,2,3,4,5,6,7,9	
glyc2p	Glycerol 2-phosphate	C3H7O6P	-2	Extra-organism, Periplasm	C02979	3249-68-1	40942	5	
Nmtrp	N-Methyltryptophan	C12H14N2O2	0	Cytosol	C02983	526-31-8	40949	5	
fuc1p-L	L-Fucose 1-phosphate	C6H11O8P	-2	Cytosol, Extra-organism	C02985		40955	1,2	
glutrna	L-Glutamyl-tRNA(Glu)	C5H7NO3R	0	Cytosol, Mitochondria	C02987	None	40960	1,10,3,4,5,6,7,9	
metsox-S-L	L-Methionine Sulfoxide	C5H11NO3S	0	Cytosol, Extra-organism, Periplasm	C02989		40964	10,5	
pmtcrn	L-Palmitoylcarnitine	C23H45NO4	0	Cytosol, Mitochondria	C02990	18877-64-0	40966	2	
malt6p	Maltose 6'-phosphate	C12H21O14P	-2	Cytosol	C02995	None	40977	1,5	
acmama	N-Acetyl-D-muramoyl-L-alanine	C14H23N2O9	-1	Cytosol	C02999	2497-02-1	40986	3,7	
pcollglys	Procollagen L-lysine	C7H14N3O2R2	1	Cytosol	C03020		41032	2	
thmtp	Thiamin triphosphate	C12H16N4O10P3S	-3	Cytosol, Extra-organism	C03028	15666-52-1 3475-65-8	41046	2,6	
lnlncgcoa	gamma-linolenoyl-CoA	C39H60N7O17P3S	-4	Cytosol, Mitochondria, Peroxisome	C03035	18172-33-3	41063	2	
3mb2coa	3-Methylbut-2-enoyl-CoA	C26H38N7O17P3S	-4	Cytosol, Mitochondria	C03069		41135	2,4	
4pasp	4-Phospho-L-aspartate	C4H6NO7P	-2	Cytosol	C03082		41164	1,10,3,4,5,6,7,9	
5mtr	5-Methylthio-D-ribose	C6H12O4S	0	Cytosol	C03089		41179	1,10,3,5,7	
pram	5-Phospho-beta-D-ribosylamine	C5H11NO7P	-1	Cytosol	C03090		41182	1,10,2,3,4,5,6,7,9	
dmbzid	5,6-Dimethylbenzimidazole	C9H10N2	0	Cytosol	C03114	582-60-5	41234	1,10,4,5	
rnam	N-Ribosylnicotinamide	C11H15N2O5	1	Cytosol	C03150		41300	2	
sbzcoa	O-Succinylbenzoyl-CoA	C32H39N7O20P3S	-5	Cytosol	C03160		41314	1,10,3,5,7	
mmet	S-Methyl-L-methionine	C6H14NO2S	1	Cytosol, Extra-organism, Periplasm	C03172		41336	5,6	
skm5p	Shikimate 5-phosphate	C7H8O8P	-3	Cytosol	C03175		41343	1,10,3,4,5,6,7,9	
S2hglut	(S)-2-Hydroxyglutarate	C5H6O5	-2	Cytosol	C03196	13095-48-2	41378	9	
11docrtstrn	11-Deoxycorticosterone	C21H30O3	0	Cytosol, Endoplasmic Reticulum, Mitochondria	C03205	64-85-7	41397	2	
dd2coa	trans-Dodec-2-enoyl-CoA	C33H52N7O17P3S	-4	Cytosol, Mitochondria, Peroxisome	C03221		41433	2,4,5,6,7	
3mgcoa	3-Methylglutaconyl-CoA	C27H37N7O19P3S	-5	Cytosol, Mitochondria	C03231		41450	2,4	
3php	3-Phosphohydroxypyruvate	C3H2O7P	-3	Cytosol	C03232		41453	1,10,2,3,4,5,6,7,9	
6a2ohxnt	6-Amino-2-oxohexanoate	C6H11NO3	0	Cytosol, Peroxisome	C03239	566-88-1	41468	2,4	
dlnlcg	dihomo-gamma-linolenic acid (n-6)	C20H33O2	-1	Cytosol, Extra-organism	C03242	1783-84-2	41475	2	
adprbp	ADPribose 2'-phosphate	C15H20N5O17P3	-4	Cytosol, Extra-organism	C03246		41491	2	
cpppg3	Coproporphyrinogen III	C36H40N4O8	-4	Cytosol	C03263	2624-63-7	41515	1,10,2,3,4,5,6,7	
3aib-D	D-3-Amino-isobutanoate	C4H9NO2	0	Cytosol, Extra-organism, Mitochondria	C03265	20312-37-2	41519	2	
oxptn	5-Oxopentanoate	C5H7O3	-1	Cytosol	C03273	11034-93-8	41536	4	
g3pg	Glycerophosphoglycerol	C6H14O8P	-1	Cytosol, Extra-organism, Periplasm	C03274	11034-93-8	41538	1,5,7	
pppi	Inorganic triphosphate	HO10P3	-4	Cytosol, Mitochondria, Nucleus	C03279		41547	1,10,2,4,5,7,9	
24dab	L-2,4-Diaminobutanoate	C4H10N2O2	0	Cytosol	C03283	1758-80-1	41555	4	
3aib	L-3-Amino-isobutanoate	C4H9NO2	0	Cytosol, Extra-organism, Mitochondria	C03284	1758-80-1	41559	2	
glu5p	L-Glutamate 5-phosphate	C5H8NO7P	-2	Cytosol, Mitochondria	C03287		41564	1,10,2,4,5,6,9	
xu5p-L	L-Xylulose 5-phosphate	C5H9O8P	-2	Cytosol	C03291	None	41573	1,5	
fmettrna	N-Formylmethionyl-tRNA	C6H9NO2SR	0	Cytosol, Mitochondria	C03294		41579	10,4,5,6,9	
sucarg	N2-Succinyl-L-arginine	C10H17N4O5	-1	Cytosol	C03296	1758-80-1	41581	1,10,4,5	
dtdprmn	dTDP-L-rhamnose	C16H24N2O15P2	-2	Cytosol	C03319	572-96-3	41621	1,10,2,5,9	
23dhdp	2,3-Dihydrodipicolinate	C7H5NO4	-2	Cytosol	C03340		41662	1,10,3,4,5,7,9	
2maacoa	2-Methyl-3-acetoacetyl-CoA	C26H38N7O18P3S	-4	Cytosol, Mitochondria	C03344		41671	2,4	
2mb2coa	trans-2-Methylbut-2-enoyl-CoA	C26H38N7O17P3S	-4	Cytosol, Mitochondria	C03345		41674	2,4	
air	5-amino-1-(5-phospho-D-ribosyl)imidazole	C8H12N3O7P	-2	Cytosol	C03373	25635-88-5	41727	1,10,2,3,4,5,6,7,9	
bilglcur	Bilirubin monoglucuronide	C39H44N4O12	0	Cytosol, Endoplasmic Reticulum, Extra-organism	C03374	25635-88-5	41733	2	
4per	4-Phospho-D-erythronate	C4H6O8P	-3	Cytosol	C03393		41765	1,10,4,5	
argsuc	N(omega)-(L-Arginino)succinate	C10H17N4O6	-1	Cytosol	C03406	None	41790	1,10,2,3,4,5,6,7,9	
sucorn	N2-Succinyl-L-ornithine	C9H15N2O5	-1	Cytosol	C03415	80102-04-1	41816	1,10,4,5	
lgt-S	(R)-S-Lactoylglutathione	C13H20N3O8S	-1	Cytosol, Mitochondria	C03451	59-85-8	41876	1,2,5,6	
oxalc	4-oxalocrotonate	C6H4O5	-2	Cytosol	C03453	59-85-8	41878	4	
2mp2coa	2-Methylprop-2-enoyl-CoA	C25H36N7O17P3S	-4	Cytosol, Mitochondria	C03460		41895	2,4	
5fthf	5-Formyltetrahydrofolate	C20H21N7O7	-2	Cytosol, Extra-organism, Mitochondria	C03479	58-05-9	41929	10,2,6	
4ppan	D-4'-Phosphopantothenate	C9H15NO8P	-3	Cytosol, Mitochondria	C03492		41952	1,10,2,3,4,5,6,7,9	
3ig3p	C'-(3-Indolyl)-glycerol 3-phosphate	C11H12NO6P	-2	Cytosol	C03506		41982	1,10,3,4,5,6,7,9	
2aobut	L-2-Amino-3-oxobutanoate	C4H7NO3	0	Cytosol, Mitochondria	C03508		41986	1,2,5,7	
mppp9	Magnesium protoporphyrin	C34H30MgN4O4	-2	Cytosol	C03516	15985-39-4	42003	10,9	
rhcys	S-Ribosyl-L-homocysteine	C9H17NO6S	0	Cytosol	C03539	37558-16-0	42044	1,10,3,5,7	
udcpdp	Undecaprenyl diphosphate	C55H89O7P2	-3	Cytosol, Periplasm	C03543		42055	1,10,3,4,5,7	
mi4p-D	1D-myo-Inositol 4-phosphate	C6H11O9P	-2	Cytosol	C03546	46495-39-0	42060	10,2	
2ameph	(2-Aminoethyl)phosphonate	C2H7NO3P	-1	Cytosol	C03557	46495-39-0	42076	2	
3hbcoa-R	(R)-3-Hydroxybutanoyl-CoA	C25H38N7O18P3S	-4	Mitochondria	C03561	46495-39-0	42080	2	
1p2cbxl	1-Pyrroline-2-carboxylate	C5H6NO2	-1	Peroxisome	C03564	46495-39-0	42087	2	
4h2opntn	4-Hydroxy-2-oxopentanoate	C5H7O4	-1	Cytosol	C03589	111844-33-8	42143	1,10,4,5	
xol7a	7 alpha-Hydroxycholesterol	C27H46O2	0	Endoplasmic Reticulum	C03594	838-07-3	42155	2	
dhna	1,4-Dihydroxy-2-naphthoate	C11H7O4	-1	Cytosol	C03657		42264	1,10,3,5,7	
4izp	4-Imidazolone-5-propanoate	C6H7N2O3	-1	Cytosol	C03680		42318	2,4,7	
6pthp	6-Pyruvoyl-5,6,7,8-tetrahydropterin	C9H11N5O3	0	Cytosol, Nucleus	C03684		42328	2,7,9	
Nmelys	Histone N6-methyl-L-lysine	CXH4	1	Nucleus	C03702	117-81-7	42361	2	
quln	Quinolinate	C7H3NO4	-2	Cytosol, Mitochondria	C03722	89-00-9	42393	1,10,2,3,4,5,6,9	
udpgalfur	UDP-D-galacto-1,4-furanose	C15H22N2O17P2	-2	Cytosol	C03733	638-23-3	42414	1,10,5	
r5p	alpha-D-Ribose 5-phosphate	C5H9O8P	-2	Cytosol, Extra-organism, Mitochondria, Periplasm	C00117	4300-28-1	42420	1,10,2,3,4,5,6,7,8,9	
glu1sa	L-Glutamate 1-semialdehyde	C5H9NO3	0	Cytosol	C03741	None	42432	1,10,3,4,5,7,9	
dopa	Dopamine	C8H12NO2	1	Cytosol, Extra-organism, Periplasm	C03758	51-61-6	42467	2,5	
4hoxpacd	4-Hydroxyphenylacetaldehyde	C8H8O2	0	Cytosol, Extra-organism, Periplasm	C03765	60-11-7	42489	2,5	
5g2oxpt	5-Guanidino-2-oxopentanoate	C6H11N3O3	0	Peroxisome	C03771	14191-95-8	42500	2	
andrstandn	androstanedione	C19H28O2	0	Endoplasmic Reticulum	C03772	1229-12-5	42505	2	
tmlys	N6,N6,N6-Trimethyl-L-lysine	C9H20N2O2	0	Cytosol, Endoplasmic Reticulum	C03793	6323-97-3	42542	2	
dcamp	N6-(1,2-Dicarboxyethyl)-AMP	C14H14N5O11P	-4	Cytosol	C03794		42544	1,10,2,3,4,5,6,7,9	
man1p	D-Mannose 1-phosphate	C6H11O9P	-2	Cytosol	C03812		42578	1,10,2,3,5,6,7,9	
gar	N1-(5-Phospho-D-ribosyl)glycinamide	C7H14N2O8P	-1	Cytosol	C03838		42621	1,10,2,3,4,5,6,7,9	
zymstnl	Zymostenol	C27H46O	0	Endoplasmic Reticulum	C03845	481-39-0	42633	2	
dolmanp	Dolichyl phosphate D-mannose	C21H38O9P	-1	Endoplasmic Reticulum	C03862	3805-37-6	42669	6	
prbamp	1-(5-Phosphoribosyl)-AMP	C15H19N5O14P2	-4	Cytosol	C02741		42711	1,10,4,5,6,7,9	
pgp140	Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)	C34H65O13P2	-3	Cytosol, Periplasm	C03892		42727	5	
1pyr5c	1-Pyrroline-5-carboxylate	C5H6NO2	-1	Cytosol, Mitochondria	C03912		42766	1,10,2,3,4,5,6,7,9	
5adtststerone	5alpha-Dihydrotestosterone	C19H30O2	0	Cytosol, Endoplasmic Reticulum, Extra-organism	C03917	521-18-6	42776	2	
3ddgc	3-Dehydro-2-deoxy-D-gluconate	C6H9O6	-1	Cytosol	C03926		42797	10	
thdp	2,3,4,5-Tetrahydrodipicolinate	C7H7NO4	-2	Cytosol	C03972		42888	1,10,3,4,5,7,9	
mi3p-D	1D-myo-Inositol 3-phosphate	C6H11O9P	-2	Cytosol	C04006	434-13-9	42948	10,2	
23dhba [deleted 07/14/2004  09:51:42 AM]	(2,3-Dihydroxybenzoyl)adenylate	C17H16N5O10P	-2	Cytosol	C04030		42992	1	
aprgstrn	20alpha-Hydroxyprogesterone	C21H32O2	0	Cytosol, Extra-organism	C04042	145-14-2	43018	2	
34dhpac	3,4-Dihydroxyphenylacetaldehyde	C8H8O3	0	Cytosol, Extra-organism, Periplasm	C04043		43022	2,5	
dhpppn	3-(2,3-Dihydroxyphenyl)propanoate	C9H9O4	-1	Cytosol	C04044		43025	1,5	
C04051	C04051	C4H6N4O	0	Cytosol	C04051	4637-56-3	43043	4	
ap5a	P1,P5-Bis(5'-adenosyl) pentaphosphate	C20H24N10O22P5	-5	Cytosol	C04058	4637-56-3	43056	1,5	
mi13p	1D-myo-Inositol 1,3-bisphosphate	C6H10O12P2	-4	Cytosol	C04062	103597-56-4	43061	2	
mi34p	1D-myo-Inositol 3,4-bisphosphate	C6H10O12P2	-4	Cytosol	C04063	103597-56-4	43066	2	
ptcys	N-Pantothenoylcysteine	C12H21N2O6S	-1	Cytosol	C04079		43098	10	
1pipdn2c	delta1-Piperideine-2-carboxylate	C6H9NO2	0	Cytosol, Peroxisome	C04092	2365-40-4	43128	2,4	
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	C6H11O4	-1	Cytosol, Mitochondria	C06007		43150	1,10,3,4,5,6,7,9	
mucl	mucolactone	C6H5O4	-1	Cytosol	C04105	6666-46-2	43153	4	
ctbt	crotonobetaine	C7H13NO2	0	Cytosol, Periplasm	C04114	6666-46-2	43172	1,5	
oca	4-oxalcitromalate	C7H5O8	-3	Cytosol	C04115	6666-46-2	43174	4	
applp	D-1-Aminopropan-2-ol O-phosphate	C3H9NO4P	-1	Cytosol	C04122	483-34-1	43189	10,4,9	
acg5p	N-Acetyl-L-glutamyl 5-phosphate	C7H9NO8P	-3	Cytosol, Mitochondria	C04133		43209	1,10,2,4,5,6,7,9	
octp	Octopine	C9H18N4O4	0	Cytosol	C04137	34522-32-2	43218	7	
octdp	all-trans-Octaprenyl diphosphate	C40H65O7P2	-3	Cytosol	C04146		43243	1,10,3,5,7	
pheacgln	alpha-N-Phenylacetyl-L-glutamine	C13H16N2O4	0	Cytosol, Extra-organism	C04148	34522-32-2	43248	2	
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	C7H7O4	-1	Cytosol	C04171		43290	1,5	
5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	C6H11O7PS	-2	Cytosol	C04188		43318	1,2,3,5,7,9	
hepdp	all-trans-Heptaprenyl diphosphate	C35H57O7P2	-3	Cytosol	C04216		43377	7	
2mcacn	cis-2-Methylaconitate	C7H5O6	-3	Cytosol	C04225	99-98-9	43396	1,2,4,5	
3c4mop	3-Carboxy-4-methyl-2-oxopentanoate	C7H8O5	-2	Cytosol, Mitochondria	C04236		43420	1,10,4,5,6,7,9	
but2eACP	But-2-enoyl-[acyl-carrier protein]	C15H25N2O8PRS	-1	Cytosol	C04246	128-33-6	43437	4,5	
gpail_hs	D-glucosaminylphosphatidylinositol	C15H28NO13PFULLRCO2FULLR2CO2	0	Cytosol	C04248	128-33-6	43441	2	
acgam1p	N-Acetyl-D-glucosamine 1-phosphate	C8H14NO9P	-2	Cytosol, Extra-organism, Periplasm	C04256	None	43457	1,10,2,3,4,5,6,7,9	
acmanap	N-Acetyl-D-mannosamine 6-phosphate	C8H14NO9P	-2	Cytosol	C04257	157296-99-6	43459	1,2,5,7	
dtdp4addg	dTDP-4-amino-4,6-dideoxy-D-galactose	C16H26N3O14P2	-1	Cytosol	C04268		43484	1,5	
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	Cytosol, Mitochondria	C04272		43492	1,10,3,4,5,6,7,9	
1p3h5c	L-1-Pyrroline-3-hydroxy-5-carboxylate	C5H6NO3	-1	Cytosol, Mitochondria	C04281	5255-75-4	43511	2,3,6	
4mhetz	4-Methyl-5-(2-hydroxyethyl)-thiazole	C6H9NOS	0	Cytosol	C04294	137-00-8	43535	1,10,3,5,6,7,9	
pran	N-(5-Phospho-D-ribosyl)anthranilate	C12H13NO9P	-3	Cytosol	C04302	None	43555	1,10,3,4,5,6,7,9	
4mpetz	4-Methyl-5-(2-phosphoethyl)-thiazole	C6H8NO4PS	-2	Cytosol	C04327		43602	1,10,3,5,6,7,9	
dmlz	6,7-Dimethyl-8-(1-D-ribityl)lumazine	C13H18N4O6	0	Cytosol	C04332		43611	1,10,3,4,5,6,7,9	
4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H20N2O9PS	-3	Cytosol	C04352		43650	1,10,2,3,4,5,6,7,9	
ahandrostan	3alpha-Hydroxy-5beta-androstan-17-one	C19H30O2	0	Endoplasmic Reticulum	C04373	53-42-9	43684	2	
fgam	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide	C8H13N2O9P	-2	Cytosol	C04376		43690	1,10,2,3,4,5,6,7,9	
n6all26d	N6-Acetyl-LL-2,6-diaminoheptanedioate	C9H15N2O5	-1	Cytosol	C04390	53-42-9	43719	7	
3hmbcoa	(S)-3-Hydroxy-2-methylbutyryl-CoA	C26H40N7O18P3S	-4	Cytosol, Mitochondria	C04405		43751	2,4	
3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	C7H10O5	-2	Cytosol	C04411		43761	1,10,4,5,6,7,9	
sl26da	N-Succinyl-LL-2,6-diaminoheptanedioate	C11H16N2O7	-2	Cytosol	C04421		43785	1,10,3,4,5,7	
2mpdhl	S-(2-Methylpropanoyl)-dihydrolipoamide	C12H23NO2S2	0	Cytosol	C04424	53-42-9	43794	7	
amob	S-Adenosyl-4-methylthio-2-oxobutanoate	C15H19N5O6S	0	Cytosol	C04425		43797	1,10,3,5,6,7,9	
2ddg6p	2-Dehydro-3-deoxy-D-gluconate 6-phosphate	C6H8O9P	-3	Cytosol	C04442		43826	1,3,4,5	
omaenol	4-Carboxy-2-hydroxyhexa-2,4-dienedioate	C7H3O7	-3	Cytosol	C04451	53-42-9	43845	4	
5aprbu	5-Amino-6-(5'-phosphoribitylamino)uracil	C9H15N4O9P	-2	Cytosol	C04454		43851	1,10,3,4,5,6,7,9	
