abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
CFAS160E	cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)		[c] : (2) amet + pe161 --> (2) ahcys + cpe160 + (2) h	Glycerophospholipid Metabolism	Cytosol	2.1.1.79	Irreversible	N	2634199	4	characterized in PMID: 9409147//can act on other susbstrates//from Ecocyc://CFA synthase exhibits activity toward phosphatidylglycerol, phosphatidylethanolamine, cardiolipin, and also toward phosphatidylcholine //AMF	
ACMANAtex	N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm)		acmana[e] <==> acmana[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915045	4	molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)		2agpg160[p] --> 2agpg160[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2707515	3	PMID: 15661733//LplT-Aas transport/acylation activity was independent of the proton motive force//shown to act on pe, assumed to transport pg, pa.////personal communication (Charles Rock) 'We think that Lpt1 is a facilitator like the glycerol facilitator and does not require membrane electrochemical gradient.  The transporter will move 2-acyl-GPC, which is not an E. coli lipid, so it is not very specific.  We do not know whether other specific lipids are transported by this system, but it might be that lysophospholipids in general are substrates.'//AMF	
SO3tex	sulfite transport via diffusion (extracellular to periplasm)		so3[e] <==> so3[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2387261		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
2DGULRy	2-dehydro-L-gulonate reductase (NADPH)		[c] : 2dhguln + h + nadph --> idon-L + nadp	Alternate Carbon Metabolism	Cytosol		Irreversible	N	1483224	4		
K2L4Aabcpp	KDO(2)-lipid IV A transport via ABC system (periplasm)		atp[c] + h2o[c] + kdo2lipid4[c] --> adp[c] + h[c] + kdo2lipid4[p] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2932367	4	PMID: 12045108 gives a reaview on LPS biosynthesis and states that it can transport PE////also, atpase acitvity was activated by kdo2-lipidA and other hexa-acylated compounds, also kd02-lipid4A could be transported by MsbA.//states that it can transport pretty much all lipids//PMID: 15052329////AMF	
BUTCT	Acetyl-CoA:butyrate-CoA transferase		[c] : accoa + but --> ac + btcoa	Alternate Carbon Metabolism	Cytosol	2.8.3.8	Irreversible	N	1487389	4	JLR- see NH21 for info on regulation////From ecocyc: The growth of E. coli on short-chain fatty acids (C3-C6) requires the activation of the acids to their respective thioesters. This activation is catalyzed by acetoacetyl-CoA transferase. [ Sramek75  ]//also, see PMID: 3025185//AMF	
5DOAN	5'-deoxyadenosine nuclosidase		[c] : dad-5 + h2o --> 5drib + ade	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	2979843	4	PMID: 15911379//characterizes 5DOAN and verifies AHCYSNS, MTAN//5drib is a dead end//AMF	
DASYN120	CDP-diacylglycerol synthetase (n-C12:0)	CDP diglyceride pyrophosphorylase;, CDP-DG, CDP-diacylglyceride synthetase;, CDP-diacylglycerol synthase;, CTP-diacylglycerol synthetase;, CTP:1,2-diacylglycerophosphate-cytidyl transferase;, DAG synthetase;, cytidine diphosphoglyceride pyrophosphorylase;, phosphatidate cytidyltransferase;, phosphatidate cytidylyltransferase;, phosphatidic acid cytidylyltransferase;	[c] : ctp + h + pa120 --> cdpdddecg + ppi	Glycerophospholipid Metabolism	Cytosol	2.7.7.41	Irreversible	N	2619103	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
PUNP1	purine-nucleoside phosphorylase (Adenosine)		[c] : adn + pi <==> ade + r1p	Nucleotide Salvage Pathway	Cytosol	2.4.2.1	Reversible	N	144919	4	the deoD gene, referred to below as E. coli PNP-I,//which cleaves adenosine (Ado) more effectively//than Ino and Guo. It was then found that incubation of E. coli in the presence of xanthosine (Xao, but no other base or nucleoside) led to the appearance of a second enzyme, coded for by the induced xapA gene, and capable of efficiently cleaving the 6-oxopurine nucleosides Xao, Guo and Ino (see Figure 1), but not Ado.//PMID: 15808857//AMF//	
MINOHPtexi	myo-inositol phosphate transport via diffusion (extracellular to periplasm)		minohp[e] --> minohp[p]	Transport, Outer Membrane	Extra-organism, Periplasm		Irreversible	Y	2999581	2	not sure of method of uptake through outer membrane.  needed for substrate of appA gene product.//AMF	
RZ5PP	alpha-ribazole 5-phosphate phosphatase		[c] : 5prdmbz + h2o --> pi + rdmbzi	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1486659	2		
GLCt2pp	D-glucose transport in via proton symport (periplasm)		glc-D[p] + h[p] --> glc-D[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912305	0		
MAN6Pt6_2pp	Mannose-6-phosphate transport via phosphate antiport (periplasm)		man6p[p] + (2) pi[c] --> man6p[c] + (2) pi[p]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912570	4	IN NH, table of metabolites transported includes glucose-6p, mannose-6p, and 'fucose-6p'. Looked at article that it was from (PMID: 2181257), it states that primary substrates are glucose-6p, mannose-6p and also fructose 6-phosphate, and glucosamine 6-phosphate have similar binding affinities.  No mention of fucose 6-phosphate in the artile, so I think that it is a typo in NH.  Also, it show that glucose 1-phosphate and glucose 3-phosphate are probably not substrates due to binding affinity and it does not prove/disprove that fructose 1-phosphate and ribose 5-phosphate are substrates, even though they were reported to possibly be substrates previously by others.////In NH, it states that the antiport ratio, determined in L. lactis, moves from the upper limit of 2:1 at pH 7 to a lower limit of 1:1 at pH 5.2.  Therefor the stoichiometry was set to 2 Pi: hexose 6P for the reaction.//AMF	
PMPK	phosphomethylpyrimidine kinase		[c] : 4ampm + atp --> 2mahmp + adp	Cofactor and Prosthetic Group Biosynthesis	Cytosol	2.7.4.7	Irreversible	N	199838	4	see PMID: 15150256//AMF//	
ASAD	aspartate-semialdehyde dehydrogenase		[c] : aspsa + nadp + pi <==> 4pasp + h + nadph	Threonine and Lysine Metabolism	Cytosol	1.2.1.11	Reversible	N	141183	0		
NDPK5	nucleoside-diphosphate kinase (ATP:dGDP)		[c] : atp + dgdp <==> adp + dgtp	Nucleotide Salvage Pathway	Cytosol	2.7.4.6	Reversible	N	144819	4	Adk can substritute for Ndk activity //PMID: 8650159//and PMID: 16297370//may be able to act on other nucleotides (XTP, ITP, but these were not specifically mentioned)//AMF	
NPHS	naphthoate synthase		[c] : sbzcoa --> coa + dhna	Cofactor and Prosthetic Group Biosynthesis	Cytosol	4.1.3.36	Irreversible	N	203982	0		
XTSNtex	xanthosine transport via diffusion (extracellular to periplasm)		xtsn[e] <==> xtsn[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916152		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
UMPtex	UMP transport via diffusion (extracellular to periplasm)		ump[e] <==> ump[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2324829		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
DASYN141	CDP-diacylglycerol synthetase (n-C14:1)	CDP diglyceride pyrophosphorylase;, CDP-DG, CDP-diacylglyceride synthetase;, CDP-diacylglycerol synthase;, CTP-diacylglycerol synthetase;, CTP:1,2-diacylglycerophosphate-cytidyl transferase;, DAG synthetase;, cytidine diphosphoglyceride pyrophosphorylase;, phosphatidate cytidyltransferase;, phosphatidate cytidylyltransferase;, phosphatidic acid cytidylyltransferase;	[c] : ctp + h + pa141 --> cdpdtdec7eg + ppi	Glycerophospholipid Metabolism	Cytosol	2.7.7.41	Irreversible	N	2617679	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
EAR181y	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	NADH-enoyl acyl carrier protein reductase;, NADH-specific enoyl-ACP reductase;, enoyl-ACP reductase;, enoyl-[acyl carrier protein] reductase;, enoyl-[acyl-carrier-protein] reductase (NADH2)	[c] : h + nadph + t3c11vaceACP --> nadp + octeACP	Cell Envelope Biosynthesis	Cytosol	1.3.1.10	Irreversible	N	2617387	4	citation states that it is NADH dependant, mentions another NADPH enzyme but doesnt give a gene, PMID: 8119879//More recent citation shows that FabI can use NADH or NADPH, PMID: 9022698//not sure of reversibility//AMF	
DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)		[c] : h + h2mb4p + nadh --> dmpp + h2o + nad	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1512721	1	JLR- these reactions are not biochemically verified, the cofactors required are unknown	
UACGAMtex	UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)		uacgam[e] <==> uacgam[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2388037	3	actual MW ~605 Da - assumed diffusion//molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
4PCPpp	tetrapeptide L,D-carboxypeptidase (periplasm)	LalaDgluMdapDala L,D-carboxypeptidase	[p] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D	Murein Recycling	Periplasm		Irreversible	N	2328320	2	the periplasmic enzyme is unknown//cytoplasmic is LdcA	
NTD9	5'-nucleotidase (GMP)		[c] : gmp + h2o --> gsn + pi	Nucleotide Salvage Pathway	Cytosol	3.1.3.5	Irreversible	N	143971	4	SurE//PMID: 15489502//no 3'-nmp assigned since not in model//E. coli SurE showed significant activity toward nucleoside 5'-or3'-monophosphates (Fig. 3A). The protein hydrolyzed both purine and pyrimidine ribo- and deoxyribonucleotides effectively and had a neutral pH optimum (pH 7.0¿7.2) (Fig. 3B). With all substrates, the protein showed saturation kinetics with high affinity to 3'-AMP, 5'-GMP, 5'-dGMP, 5'-AMP, and 3'-CMP.  The only non-nucleotide natural substrate hydrolyzed by the E. coli SurE was found to be polyphosphate.////YfbR is a Co2+-dependent 5'-nucleotidase with a strict specificity to deoxyribonucleotides. also, 4nphp////YjjG is an Mn2+-dependent 5'-nucleotidase specific to 5'-UMP, 5'-dUMP, and 5'-dTMP. also, 4nphp	
HDCOAI	hexadecenoyl-coa cis-trans isomerization		[c] : hdcoa --> hdd2coa	Membrane Lipid Metabolism	Cytosol	5.3.3.8	Irreversible	N	2708253	4	Evidence in PMID: 12535077//From Ecocyc: A reaction in beta-oxidation of fatty acids, required to feed unsaturated fatty acids into the main pathway.  Not sure of reaction reversibility.//AMF//FadJ might also carry out this reaction.  No evidence found for it yet though.//JLR//	
EAR141x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	NADH-enoyl acyl carrier protein reductase;, NADH-specific enoyl-ACP reductase;, enoyl-ACP reductase;, enoyl-[acyl carrier protein] reductase;, enoyl-[acyl-carrier-protein] reductase (NADH2)	[c] : h + nadh + t3c7mrseACP --> nad + tdeACP	Cell Envelope Biosynthesis	Cytosol	1.3.1.9	Irreversible	N	2617314	4	citation states that it is NADH dependant, mentions another NADPH enzyme but doesnt give a gene, PMID: 8119879//More recent citation shows that FabI can use NADH or NADPH, PMID: 9022698//not sure of reversibility//AMF	
ANHMK	1,6-anhydrous-N-Acetylmuramate kinase		[c] : anhm + atp + h2o --> acmum6p + adp + h	Murein Recycling	Cytosol		Irreversible	N	2329430	4	PMID: 15901686//AMF	
DHAPT	Dihydroxyacetone phosphotransferase		[c] : dha + pep --> dhap + pyr	Alternate Carbon Metabolism	Cytosol		Irreversible	N	1507265	4	JLR- dhaK1 = dhaK, dhaK2= dhaL, dhaH = dhaM.  All three and EI and Hpr are also required.	
AP5AH	Ap5A hydrolase		[c] : ap5a + h2o --> adp + atp + (2) h	Nucleotide Salvage Pathway	Cytosol		Irreversible	N	1484801	4		
MLTGY4pp	murein lytic transglycosylase (murein4px4p4p) (periplasm)		[p] : murein4px4p4p --> anhgm4p + murein4px4p	Murein Recycling	Periplasm		Irreversible	N	2605760	3	MltA, MltB, Slt are well characterized for lytic transglycosylase activity on murein//PMID: 8405923//MltE, MltC also have been shown to have lytic transglycosylase activity, but specific cleavage is not definate//PMID: 9642199//MltD is predicted to perfrom this reaction as well////This reaction is the general endotransglycosylase for murein//AMF//	
ACGAL1Ptex	N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm)		acgal1p[e] <==> acgal1p[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2388041		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
ASPO6	L-aspartate oxidase		[c] : asp-L + o2 --> h + h2o2 + iasp	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1831976	0		
3OAS181	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	3-ketoacyl-acyl carrier protein synthase;, 3-oxoacyl-[acyl-carrier-protein] synthase;, acyl-malonyl(acyl-carrier-protein)-condensing enzyme;, beta-ketoacyl acyl carrier protein synthase, beta-ketoacyl synthetase;, beta-ketoacyl-ACP synthetase;, beta-ketoacyl-[acyl carrier protein] synthase;, beta-ketoacyl-acyl carrier protein synthetase;, beta-ketoacylsynthase;, condensing enzyme;, fatty acid condensing enzyme;	[c] : h + hdeACP + malACP --> 3ocvac11eACP + ACP + co2	Cell Envelope Biosynthesis	Cytosol	2.3.1.41	Irreversible	N	2617336	4	FabB acts on both unsaturated and saturated, short and long FA, but will not act on pamitoleoyl-ACP//FabF acts on saturated, short and long FA - does not synthesize short unsaturated FA and is needed to generate cis-vaccenate from palitoleoyl-ACP (3OAS181)//FabH does not elongate FA//see NH pg 615//AMF	
BUTSO3tex	butanesulfonate transport via diffusion (extracellular to periplasm)		butso3[e] <==> butso3[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2380501		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
PGSA181	Phosphatidylglycerol synthase (n-C18:1)		[c] : cdpdodec11eg + glyc3p --> cmp + h + pgp181	Glycerophospholipid Metabolism	Cytosol	2.7.8.5	Irreversible	N	2617824	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
D-LACtex	D-lactate transport via diffusion (extracellular to periplasm)		lac-D[e] <==> lac-D[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915963		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
NNDPR	nicotinate-nucleotide diphosphorylase (carboxylating)		[c] : (2) h + prpp + quln --> co2 + nicrnt + ppi	Cofactor and Prosthetic Group Biosynthesis	Cytosol	2.4.2.19	Irreversible	N	214236	0		
FDH4pp [deleted 12/21/2010  04:19:39 PM]	formate dehydrogenase (quinone-8) (periplasm)		for[p] + (2) h[c] + q8[c] --> co2[c] + h[p] + q8h2[c]	Oxidative Phosphorylation	Cytosol, Periplasm	1.2.2.1	Irreversible	Y	2387434	4	Fdh-N activity characterized inPMID: 11884747//along with Nitrate reductase//this is a change from iJR904 stoic////Fdo (Fdh-O) shows that These three subunits exhibit a considerable degree of identity with those of FDH-N, as predicted from inspection of the respective fdoGHI and fdnGHI operon sequences (6, 35). The alpha  and beta  subunits exhibited up to 75% identity, whereas the gamma  subunits were 45% identical.//therefore Fdo was assigned the same reactions//PMID: 9852007////FdhF was assigned only to FHL//Since nitrate suppresses Fdh-H synthesis, this enzyme is thought to play a role in fermentation and is not believed to be actively involved in electron transfer to either of the respiratory nitrate reductases//PMID: 12923080////AMF	
METSOXR1	L-methionine-S-oxide reductase		[c] : metsox-S-L + trdrd --> h2o + met-L + trdox	Methionine Metabolism	Cytosol	1.8.4.5	Irreversible	N	2306349	2	PMID: 11677230, 12504094, 11795868,//acts on Met-r-sulfoxide residues that are part of protiens (on surface) and free in cytosole//Met-sulfoxide residues spontaneous generated in cell by reactive oxygen and nitrogen species//MKA//Both thioredoxins (trxA, trxC) were treated the same.  However, further characterization may be needed to determine specific exclusive functions for each.//AMF	
HISTRS	Histidyl-tRNA synthetase		[c] : atp + his-L + trnahis --> amp + histrna + ppi	tRNA Charging	Cytosol	6.1.1.21	Irreversible	N	227866	4	Added to incorporate tRNA peptides into model	
ASPO5	L-aspartate oxidase		[c] : asp-L + fum --> h + iasp + succ	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1831948	0		
LIPAHTex	Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)		[e] : h + hdca + lipa --> h2o + halipa	Lipopolysaccharide Biosynthesis / Recycling	Extra-organism		Irreversible	N	2376988	4	CrcA has its active site on the outside of the outer membrane////PMID: 11013210 shows that CrcA can act on a number of different Lipid A molecules and precursors, the two reactions chosen were arbritrary, lipa was proven to be a substrate, colipa was speculated as one	
PTRCabcpp	putrescine transport via ABC system (periplasm)		atp[c] + h2o[c] + ptrc[p] --> adp[c] + h[c] + pi[c] + ptrc[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912700	0	JLR- EcoCyc indicates taht ydcSTUV form an ABC transport system	
LPLIPAL2E120	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)		[c] : 2agpe120 + h2o --> ddca + g3pe + h	Glycerophospholipid Metabolism	Cytosol	3.1.1.5	Irreversible	N	2706682	3	PMID: 3908447//characterizes the enzyme to act on 2-acyl glycerophosphoethanolamine and -choline, but will not act on diacylphospholipids.  Assumed to act on -glycerol and -OH.//The enzyme also catalyzes the transfer of an acyl group from a lysophospholipid to phosphatidylglycerol for the formation of acyl phosphatidylglycerol (shown to be a small component on the membrane).//no specific mention of which side of the inner membrane the active site of the PldB enzyme is on.//AMF	
KAT1	3-ketoacyl-CoA thiolase	3-ketoacyl-CoA thiolase, acetyl-CoA C-acyltransferase, beta-ketothiolase	[c] : aacoa + coa --> (2) accoa	Membrane Lipid Metabolism	Cytosol	2.3.1.16	Irreversible	N	1724028	4		
LPLIPAL2ATG180	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:0)		[c] : 2agpg180 + pg180 --> apg180 + g3pg	Glycerophospholipid Metabolism	Cytosol		Irreversible	N	2707926	3	PMID: 3908447//characterizes the enzyme to act on 2-acyl glycerophosphoethanolamine and -choline, but will not act on diacylphospholipids.  Assumed to act on -glycerol and -OH.//The enzyme also catalyzes the transfer of an acyl group from a lysophospholipid to phosphatidylglycerol for the formation of acyl phosphatidylglycerol (shown to be a small component on the membrane).//no specific mention of which side of the inner membrane the active site of the PldB enzyme is on.//AMF	
TAGURr	tagaturonate reductase		[c] : altrn + nad <==> h + nadh + tagur	Alternate Carbon Metabolism	Cytosol	1.1.1.58	Reversible	N	1471994	4		
L-LACD2	L-Lactate dehydrogenase (ubiquinone)		[c] : lac-L + q8 --> pyr + q8h2	Oxidative Phosphorylation	Cytosol	1.1.2.3	Irreversible	N	1596277	2	Actual electron acceptor is FMN, since enzyme is induced during aerobic growth and during anaerobic growth with nitrate and TMAO assumed that it eventually goes to quinone and menaquinone.  Not sure about reversibility.	
GLNS	glutamine synthetase		[c] : atp + glu-L + nh4 --> adp + gln-L + h + pi	Glutamate metabolism	Cytosol	6.3.1.2	Irreversible	N	1529215	0		
AST	Arginine succinyltransferase		[c] : arg-L + succoa --> coa + h + sucarg	Arginine and Proline Metabolism	Cytosol	2.3.1.109	Irreversible	N	1528411	4		
UPLA4FNT	undecaprenyl phosphate-L-Ara4FN transferase		[c] : udcpp + udpLa4fn --> uLa4fn + udp	Lipopolysaccharide Biosynthesis / Recycling	Cytosol		Irreversible	N	2374719	4	latest article with an update for all these reactions is given in figure and text of PMID: 15695810////The UPLA4FNF reaction is said to be catalyzed by arnD gene, but hasn't been identified yet////transport for undeaprenyl chains is unknown//AMF	
CLPNH160pp	cardiolipin hydrolase (periplasm, n-C16:0)	phospholipase D	[p] : clpn160 + h2o --> h + pa160 + pg160	Glycerophospholipid Metabolism	Periplasm		Irreversible	N	2706540	2	PMID: 360//characterizes phospholipase D activity in E. coli.  The gene responsible is not characterized and it is not known if the reaction takes place on the inner membrane or on outer membrane or both.////PMID: 10634942 states that neither cls nor ybhO have cardiolipin hydrolase activity//AMF	
H2St1pp	h2s transport (periplasm)		h2s[c] --> h2s[p]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1914455	1	Ref. assumes that occurs via diffusion, no strong evidence//	
PYNP2r	pyrimidine-nucleoside phosphorylase (uracil)		[c] : pi + uri <==> r1p + ura	Nucleotide Salvage Pathway	Cytosol	2.4.2.2	Reversible	N	1441561	0		
DURIK1	deoxyuridine kinase (ATP:Deoxyuridine)		[c] : atp + duri --> adp + dump + h	Nucleotide Salvage Pathway	Cytosol		Irreversible	N	145439	0		
3HAD80	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	beta-hydroxyacyl-acyl carrier protein dehydratases	[c] : 3hoctACP --> h2o + toct2eACP	Cell Envelope Biosynthesis	Cytosol	4.2.1.58	Irreversible	N	2616007	4	FabA and FabZ exhibited broad, overlapping chain length specificities. The FabZ dehydratase efficiently catalyzed the dehydration of short chain beta -hydroxyacyl-ACPs and long chain saturated and unsaturated beta -hydroxyacyl-ACPs. FabA was most active on intermediate chain length beta -hydroxyacyl-ACPs and also possessed significant activity toward both short and long chain saturated beta -hydroxyacyl-ACPs. Significantly, FabA was virtually inactive in the dehydration of long chain unsaturated beta -hydroxyacyl-ACP. The introduction of the double bond at the 10-carbon stage of fatty acid synthesis by FabA was only detected in the presence of beta -ketoacyl-ACP synthase I (FabB).//PMID: 8910376//AMF	
GLCDpp	Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm)		glc-D[p] + h2o[p] + q8[c] --> glcn[p] + h[p] + q8h2[c]	Oxidative Phosphorylation	Cytosol, Periplasm		Irreversible	Y	1914445	4	gcd -  the enzyme requires a cofactor (pyrroloquinoline quinone (PQQ)) that E. coli doesn't make (so this enzyme is normally inactive)//Enzyme is membrane bound, but active terminus is in the periplasm////YliI is an aldose sugar dehydrogenase that also requires the cofactor pyrroloquinoline quinone (PQQ) for activity, is associated with the outer membrane under certain physiological conditions.//PMID: 16864586 - The enzyme is able to act upon a broad range of aldose sugars, encompassing hexoses, pentoses, disaccharides, and trisaccharides, and is able to oxidize glucose to gluconolactone with subsequent hydrolysis to gluconic acid	
CRNCAR	carnitine-CoA racemase		[c] : crncoa <==> crnDcoa	Oxidative Phosphorylation	Cytosol		Reversible	N	2386279	2	proposed function, not entirely sure of reaction//ecocyc cites: PMID: 7815937//makes physiological sence//AMF	
LPLIPAL1G161pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)		[p] : 1agpg161 + h2o --> g3pg + h + hdcea	Glycerophospholipid Metabolism	Periplasm	3.1.1.5	Irreversible	N	2734033	2	PMID: 10423542//Enzyme also has shown both protease I and thioesterase I activities, not sure of specificity of protease substrates and not sure of acyl-CoA compounds in the periplasm.//See also, PMID: 1864840//AMF//	
LPLIPAL2G160	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:0)		[c] : 2agpg160 + h2o --> g3pg + h + hdca	Glycerophospholipid Metabolism	Cytosol	3.1.1.5	Irreversible	N	2707196	3	PMID: 3908447//characterizes the enzyme to act on 2-acyl glycerophosphoethanolamine and -choline, but will not act on diacylphospholipids.  Assumed to act on -glycerol and -OH.//The enzyme also catalyzes the transfer of an acyl group from a lysophospholipid to phosphatidylglycerol for the formation of acyl phosphatidylglycerol (shown to be a small component on the membrane).//no specific mention of which side of the inner membrane the active site of the PldB enzyme is on.//AMF	
PLIPA1G120pp	Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)		[p] : h2o + pg120 --> 2agpg120 + ddca + h	Glycerophospholipid Metabolism	Periplasm	3.1.1.32	Irreversible	N	2706827	3	PMID: 4946924 gives evidence for activity on pc, pe, pg, cardiolipin and this gene is hypothesized to be pldA by PMID: 14002//JLR////PMID: 2653433 characterizes pldA and states that although it can act as a phospholipase A1 or A2 or lysophospholipase L1 or L2 the enzyme will initially act as a phospholipase A1 in the Ecoli envelope where it is embeded in phopsholipids.  Also states a broad specificity.////From PMID: 11080680 ¿ Review on PldA//`The enzyme is strictly calcium dependent and displays a broad substrate specificity. Besides phospholipase A1 and A2 activity the enzyme also harbours lysophospholipase A1 and A2 activity, and mono- and diacylglyceride lipase activity. The minimal substrate requirements of the enzyme are a more or less polar head group esterified to an acyl chain of at least 14 carbon atoms.¿ ¿ enzyme assigned to act on n-C12 as well.////PldA was assigned to A2 activity as well (see TesA gene reaction)////Not sure which face of the membrane the active site of the enzyme lies.////AMF	
VALTRS	Valyl-tRNA synthetase		[c] : atp + trnaval + val-L --> amp + ppi + valtrna	tRNA charging	Cytosol	6.1.1.9	Irreversible	N	227743	4	Added to incorporate tRNA peptides into model	
FE3DCITtonex	ferric-dicitrate transport via ton system (extracellular)		fe3dcit[e] + h[p] --> fe3dcit[p] + h[c]	Transport, Outer Membrane	Cytosol, Extra-organism, Periplasm		Irreversible	Y	1915700	3	PMID: 8405078 and PMID: 10209752  gives information about energy dependent transport across the outer membrane associated with the Ton complex.  Actual number of protons translocated is unknown, assumed to be 1 across the inner membrane.////PMID: 7654405 - TonB related activities are impied but not entirely abolished by mutations in exbBD - which are included in GPR	
CDAPPA140	CDP-Diacylglycerol pyrophostatase (n-C14:0)		[c] : cdpdtdecg + h2o --> cmp + (2) h + pa140	Glycerophospholipid Metabolism	Cytosol	3.6.1.26	Irreversible	N	2617731	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
NODOy	nitric oxide dioxygenase		[c] : nadph + (2) no + (2) o2 --> h + nadp + (2) no3	Nitrogen Metabolism	Cytosol	1.14.12.17	Irreversible	N	2380534	3	see PMID: 15667299//for review and formula for the reaction//AMF	
UDPGALPpp	UDPgalactose pyrophosphohydrolase		[p] : h2o + udpgal --> gal1p + (2) h + ump	Alternate Carbon Metabolism	Periplasm	3.6.1.45	Irreversible	N	2388119	4	see PMID: 3012467//AMF	
MALTtexi	maltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible		malt[e] --> malt[p]	Transport, Outer Membrane	Extra-organism, Periplasm		Irreversible	Y	1915637	4	PMID: 7654405////LamB binds to the maltoheptanose compounds and facitlitaes their diffuction through the outer membrane////PMID: 127000071//outer membrane protein porin for maltose and maltooligosacharides	
AACPS8	acyl-[acyl-carrier-protein] synthetase  (n-C10:0)	acyl-ACP synthase	[c] : ACP + atp + dca --> amp + dcaACP + ppi	Cell Envelope Biosynthesis	Cytosol	6.2.1.20	Irreversible	N	2708287	4	from ecocyc: Acyl-ACP synthetase functions to ligate free fatty acids, with lengths of C-8 to C-18, to ACP.////AcpP added to GPR since it participates in the reaction as a metabolite//AMF	
MELIBt3ipp	melibiose transport in via antiport (periplasm)		h[p] + melib[c] --> h[c] + melib[p]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2387627	3	PMID: 10438792//charcetizes that SotB (ydeA) can export arabinose////PMID: 10671456 //states that SotB (ydea) xan export arabinose, but SotA exports arabinose////SetB, SetA functions are give in PMID: 10209755////AMF	
