H2O,C00001,H2O2,C00027,0.75
2-Methylbutanoyl-CoA,C01033,3-Methylbutanoyl-CoA,C02939,0.8
2-Methylbutanoyl-CoA,C01033,2-Methylcrotanoyl-CoA,C03345,0.714285714286
3-Oxo-delta5-steroid,C01034,3-Oxo-delta1-steroid,C02941,0.9
4-Guanidinobutanoate,C01035,4-Guanidinobutanal,C02647,0.8
4-Guanidinobutanoate,C01035,4-Guanidinobutanamide,C03078,0.761904761905
4-Maleylacetoacetate,C01036,4-Fumarylacetoacetate,C01061,0.809523809524
"L-Gulono-1,4-lactone",C01040,"D-Xylono-1,4-lactone",C02753,0.85
"L-Gulono-1,4-lactone",C01040,"L-Xylono-1,4-lactone",C02994,0.85
"L-Gulono-1,4-lactone",C01040,"Gulono-1,4-lactone",C05410,0.85
"L-Gulono-1,4-lactone",C01040,"D-Fucono-1,4-lactone",C06158,0.85
"L-Gulono-1,4-lactone",C01040,"D-Glucono-1,4-lactone",C03107,0.809523809524
"L-Gulono-1,4-lactone",C01040,"L-Rhamno-1,4-lactone",C02991,0.75
"L-Gulono-1,4-lactone",C01040,"L-Galactono-1,4-lactone",C01115,0.739130434783
"L-Gulono-1,4-lactone",C01040,"D-Galactono-1,4-lactone",C03383,0.739130434783
gamma-Gulonolactone,C01040,gamma-Crotonolactone,C17601,0.8
L-Gulonolactone,C01040,Muconolactone,C04105,0.733333333333
L-Gulonolactone,C01040,4-Sulfolactone,C06676,0.733333333333
Monodehydroascorbate,C01041,Dehydroascorbate,C05422,0.75
N-Acetyl-L-aspartate,C01042,N-Methyl-D-aspartate,C12269,0.75
N-Acetyl-L-aspartate,C01042,N-Formyl-L-aspartate,C01044,0.7
N-Formyl-L-aspartate,C01044,N-Methyl-D-aspartate,C12269,0.7
N-Formyl-L-glutamate,C01045,N-Carbamyl-L-glutamate,C05829,0.727272727273
N-Formyl-L-glutamate,C01045,N-Methyl-L-glutamate,C01046,0.7
N-Formyl-L-glutamate,C01045,4-Methyl-L-glutamate,C06234,0.7
N-Methyl-L-glutamate,C01046,4-Methyl-L-glutamate,C06234,0.85
N5-Ethyl-L-glutamine,C01047,N5-Methyl-L-glutamine,C03153,0.857142857143
UDP-N-acetylmuramate,C01050,N-Acetylmuramate,C02713,0.7
Uroporphyrinogen III,C01051,Uroporphyrinogen I,C05766,0.8
(S)-6-Hydroxynicotine,C01056,(R)-6-Hydroxynicotine,C03043,0.904761904762
"2,5-Dihydroxypyridine",C01059,"2,6-Dihydroxypyridine",C03056,0.904761904762
"2,5-Dihydroxypyridine",C01059,"3,4-Dihydroxypyridine",C02932,0.857142857143
"2,5-Dihydroxypyridine",C01059,"2,3,6-Trihydroxypyridine",C03458,0.791666666667
"2,5-Dihydroxypyridine",C01059,2-Hydroxypyridine,C02502,0.761904761905
"3,5-Diiodo-L-tyrosine",C01060,"3,5-Dibromo-L-tyrosine",C03224,0.772727272727
"3,5-Diiodo-L-tyrosine",C01060,"3,5-Dinitro-L-tyrosine",C03225,0.772727272727
"3,5-Diiodo-L-tyrosine",C01060,"3,5-Dichloro-L-tyrosine",C03347,0.739130434783
"3,5-Diiodo-L-tyrosine",C01060,3-Iodo-L-tyrosine,C02515,0.714285714286
"3,5-Diiodotyrosine",C01060,"3,5-Dibromotyrosine",C17080,0.789473684211
5-Dehydro-D-gluconate,C01062,2-Dehydro-D-gluconate,C06473,0.857142857143
5-Dehydro-D-gluconate,C01062,"2,5-Didehydro-D-gluconate",C02780,0.8
6-Carboxyhexanoyl-CoA,C01063,6-Carboxyhex-2-enoyl-CoA,C06723,0.708333333333
Pimeloyl-CoA,C01063,3-Oxopimeloyl-CoA,C06715,0.705882352941
"Cyclohexane-1,3-dione",C01066,"Cyclohexane-1,2-dione",C06105,0.904761904762
"Cyclohexane-1,3-dione",C01066,"cis-Cyclohexane-1,2-diol",C12313,0.708333333333
"1,3-Cyclohexanedione",C01066,"1,4-Cyclohexanedione",C08063,0.9
D-Ribitol 5-phosphate,C01068,D-Xylitol 5-phosphate,C02895,0.809523809524
D-Ribitol 5-phosphate,C01068,L-Arabinitol 5-phosphate,C03509,0.791666666667
D-Ribitol 5-phosphate,C01068,D-Arabinose 5-phosphate,C01112,0.739130434783
D-Ribitol 5-phosphate,C01068,L-Ribulose 5-phosphate,C01101,0.727272727273
D-Ribitol 5-phosphate,C01068,D-Ribose 5-phosphate,C00117,0.714285714286
L-Ribitol 1-phosphate,C01068,Inositol 1-phosphate,C01177,0.761904761905
L-Ribitol 1-phosphate,C01068,L-Erythritol 1-phosphate,C03494,0.75
N-Acetyl-beta-alanine,C01073,N-Carbamoyl-beta-alanine,C02642,0.708333333333
N-Sulfo-D-glucosamine,C01075,"N2,6-Disulfo-D-glucosamine",C03789,0.730769230769
O-Acetyl-L-homoserine,C01077,O-Oxalyl-L-homoserine,C08294,0.714285714286
Thiamin phosphate,C01081,Thiamin diphosphate,C00068,0.842105263158
TMP,C01081,TMPT,C14538,0.75
(R)-2-Hydroxyglutarate,C01087,(S)-2-Hydroxyglutarate,C03196,0.909090909091
(R)-2-Hydroxyglutarate,C01087,2-Hydroxyglutarate,C02630,0.772727272727
(R)-2-Hydroxyglutarate,C01087,(R)-2-Hydroxystearate,C03042,0.727272727273
"(R)-3,3-Dimethylmalate",C01088,"(2R,3S)-2,3-Dimethylmalate",C03652,0.730769230769
(R)-3-Hydroxybutanoate,C01089,Ethyl (R)-3-hydroxybutanoate,C03499,0.785714285714
(R)-3-Hydroxybutanoate,C01089,(S)-3-Hydroxybutanoate,C03197,0.909090909091
(R)-3-Hydroxybutanoate,C01089,4-Amino-3-hydroxybutanoate,C03678,0.730769230769
16alpha-Hydroxysteroid,C01090,3alpha-Hydroxysteroid,C03072,0.863636363636
16alpha-Hydroxysteroid,C01090,16beta-Hydroxysteroid,C03050,0.772727272727
16alpha-Hydroxysteroid,C01090,16alpha-Hydroxyestrone,C05300,0.772727272727
16alpha-Hydroxysteroid,C01090,17beta-Hydroxysteroid,C03051,0.727272727273
16alpha-Hydroxysteroid,C01090,16alpha-Hydroxyprogesterone,C03748,0.703703703704
16alpha-Hydroxysteroid,C01090,16alpha-Hydroxytestosterone,C14600,0.703703703704
Deacetylvindoline,C01091,Deacetoxyvindoline,C02673,0.777777777778
"Cellobiono-1,5-lactone",C01093,"L-Arabinono-1,5-lactone",C05405,0.739130434783
D-Fructose 1-phosphate,C01094,Fructose 1-phosphate,C02976,0.863636363636
D-Fructose 1-phosphate,C01094,L-Fucose 1-phosphate,C02985,0.818181818182
D-Fructose 1-phosphate,C01094,L-Fuculose 1-phosphate,C01099,0.772727272727
D-Fructose 1-phosphate,C01094,"D-Fructose 1,6-bisphosphate",C00354,0.740740740741
D-Fructose 1-phosphate,C01094,D-Ribose 1-phosphate,C00620,0.727272727273
D-Fructose 1-phosphate,C01094,Sorbose 1-phosphate,C02888,0.727272727273
D-Ribose 5-diphosphate,C01095,Uridine 5'-diphosphate,C00015,0.727272727273
D-Sorbitol 6-phosphate,C01096,Alditol 6-phosphate,C02810,0.727272727273
D-Sorbitol 6-phosphate,C01096,L-Galactitol 6-phosphate,C06311,0.708333333333
D-Tagatose 6-phosphate,C01097,L-Tagatose 6-phosphate,C06312,0.909090909091
D-Tagatose 6-phosphate,C01097,D-Galactose 6-phosphate,C01113,0.826086956522
D-Tagatose 6-phosphate,C01097,Lactose 6-phosphate,C05396,0.772727272727
D-Tagatose 6-phosphate,C01097,"D-Tagatose 1,6-bisphosphate",C03785,0.740740740741
D-Tagatose 6-phosphate,C01097,D-Glucose 6-phosphate,C00092,0.727272727273
D-Tagatose 6-phosphate,C01097,D-Allose 6-phosphate,C02962,0.727272727273
L-Fuculose 1-phosphate,C01099,L-Fucose 1-phosphate,C02985,0.818181818182
L-Fuculose 1-phosphate,C01099,Fructose 1-phosphate,C02976,0.772727272727
L-Fuculose 1-phosphate,C01099,L-Rhamnulose 1-phosphate,C01131,0.75
L-Fuculose 1-phosphate,C01099,Erythrulose 1-phosphate,C03394,0.739130434783
L-Fuculose 1-phosphate,C01099,D-Ribose 1-phosphate,C00620,0.727272727273
L-Fuculose 1-phosphate,C01099,L-Sorbose 1-phosphate,C02888,0.727272727273
L-Ribulose 5-phosphate,C01101,D-Ribose 5-phosphate,C00117,0.818181818182
L-Ribulose 5-phosphate,C01101,L-Xylulose 5-phosphate,C03291,0.818181818182
L-Ribulose 5-phosphate,C01101,D-Arabinose 5-phosphate,C01112,0.782608695652
L-Ribulose 5-phosphate,C01101,D-Xylose-5-phosphate,C06814,0.727272727273
Orotidine 5'-phosphate,C01103,Uridine 3'-phosphate,C01368,0.818181818182
Orotidine 5'-phosphate,C01103,Uridine 2'-phosphate,C03031,0.818181818182
Orotidine 5'-phosphate,C01103,Cytidine 2'-phosphate,C03104,0.818181818182
Orotidine 5'-phosphate,C01103,Cytidine 3'-phosphate,C05822,0.818181818182
Orotidine 5'-phosphate,C01103,Inosine 5'-phosphate,C00130,0.772727272727
Orotidine 5'-phosphate,C01103,Pyridoxine 5'-phosphate,C00627,0.739130434783
(R)-5-Phosphomevalonate,C01107,(R)-5-Diphosphomevalonate,C01143,0.88
"1,2,3-Trihydroxybenzene",C01108,"1,2,4-Trihydroxybenzene",C02814,0.913043478261
"1,2,3-Trihydroxybenzene",C01108,"1,3,5-Trihydroxybenzene",C02183,0.869565217391
"1,2,3-Trihydroxybenzene",C01108,"1,3-Dihydroxybenzene",C01751,0.826086956522
"1,2,3-Trihydroxybenzene",C01108,"1,2,3,5-Tetrahydroxybenzene",C03743,0.814814814815
5-Amino-2-oxopentanoate,C01110,2-Amino-4-oxopentanoate,C03341,0.869565217391
5-Amino-2-oxopentanoate,C01110,5-Guanidino-2-oxopentanoate,C03771,0.814814814815
5-Amino-2-oxopentanoate,C01110,2-Acetamido-5-oxopentanoate,C01250,0.740740740741
5-Amino-2-oxopentanoate,C01110,(S)-4-Amino-5-oxopentanoate,C03741,0.740740740741
5-Amino-2-oxopentanoate,C01110,4-Hydroxy-2-oxopentanoate,C03589,0.72
5-Amino-2-oxopentanoate,C01110,3-Methyl-2-oxopentanoate,C03465,0.708333333333
2-Oxo-5-aminopentanoate,C01110,"2,5-Diaminopentanoate",C01602,0.739130434783
2-Oxo-5-aminopentanoate,C01110,"2,4-Diaminopentanoate",C03943,0.739130434783
"7,8-Dihydroxykynurenate",C01111,6-Hydroxykynurenate,C05663,0.739130434783
D-Arabinose 5-phosphate,C01112,L-Arabinitol 5-phosphate,C03509,0.75
D-Arabinose 5-phosphate,C01112,D-Ribose 5-phosphate,C00117,0.739130434783
D-Galactose 6-phosphate,C01113,D-Galactose 1-phosphate,C03384,0.869565217391
D-Galactose 6-phosphate,C01113,D-Allose 6-phosphate,C02962,0.739130434783
"L-Arabinono-1,4-lactone",C01114,"L-Arabinono-1,5-lactone",C05405,0.869565217391
"L-Arabinono-1,4-lactone",C01114,"L-Rhamnono-1,4-lactone",C02991,0.782608695652
"L-Arabinono-1,4-lactone",C01114,"L-Galactono-1,4-lactone",C01115,0.739130434783
"L-Arabinono-1,4-lactone",C01114,"D-Galactono-1,4-lactone",C03383,0.739130434783
"L-Arabinono-1,4-lactone",C01114,"Dehydro-D-arabinono-1,4-lactone",C06316,0.709677419355
"L-Galactono-1,4-lactone",C01115,"D-Galactono-1,4-lactone",C03383,0.913043478261
"L-Galactono-1,4-lactone",C01115,"D-Glucono-1,4-lactone",C03107,0.782608695652
"L-Galactono-1,4-lactone",C01115,"D-Xylono-1,4-lactone",C02753,0.739130434783
"L-Galactono-1,4-lactone",C01115,"L-Rhamnono-1,4-lactone",C02991,0.739130434783
"L-Galactono-1,4-lactone",C01115,"L-Xylono-1,4-lactone",C02994,0.739130434783
"L-Galactono-1,4-lactone",C01115,"D-Fucono-1,4-lactone",C06158,0.739130434783
Streptidine 6-phosphate,C01121,Streptomycin 6-phosphate,C01138,0.75
18-Hydroxycorticosterone,C01124,11-Deoxycorticosterone,C03205,0.791666666667
18-Hydroxycorticosterone,C01124,11-Dehydrocorticosterone,C05490,0.791666666667
18-Hydroxycorticosterone,C01124,16alpha-Hydroxycorticosterone,C15034,0.758620689655
18-Hydroxycorticosterone,C01124,Tetrahydrocorticosterone,C05476,0.708333333333
"2-trans,6-trans-Farnesol",C01126,"2-trans,6-trans-Farnesal",C03461,0.916666666667
"2-trans,6-trans-Farnesol",C01126,"2-cis,6-trans-Farnesol",C03220,0.791666666667
4-Hydroxy-2-oxoglutarate,C01127,D-4-Hydroxy-2-oxoglutarate,C05946,0.923076923077
4-Hydroxy-2-oxoglutarate,C01127,4-Hydroxy-2-oxopentanoate,C03589,0.76
4-Hydroxy-2-oxoglutarate,C01127,4-Hydroxy-2-oxohexanoate,C06762,0.708333333333
L-Rhamnulose 1-phosphate,C01131,Erythrulose 1-phosphate,C03394,0.75
L-Rhamnulose 1-phosphate,C01131,D-Glucose 1-phosphate,C00103,0.708333333333
L-Rhamnulose 1-phosphate,C01131,L-Fucose 1-phosphate,C02985,0.708333333333
L-Rhamnulose 1-phosphate,C01131,D-Galactose 1-phosphate,C03384,0.708333333333
N-Acetyl-D-galactosamine,C01132,N-Acetyl-D-galactosamine 6-sulfate,C04255,0.705882352941
2-Acetamido-2-deoxy-D-galactose,C01132,"2-Acetamido-2,6-dideoxy-D-galactose",C15480,0.828571428571
N-Acetyl-D-glucosaminate,C01133,N-Acetyl-D-glucosamine,C00140,0.791666666667
4'-Phosphopantetheine,C01134,D-4'-Phosphopantothenate,C03492,0.708333333333
S-Acetyldihydrolipoamide,C01136,S-Succinyldihydrolipoamide,C01169,0.769230769231
Streptomycin 6-phosphate,C01138,Streptomycin 3''-phosphate,C03731,0.846153846154
Streptomycin 6-phosphate,C01138,Dihydrostreptomycin 6-phosphate,C01221,0.774193548387
"(3S)-3,6-Diaminohexanoate",C01142,"(3S,5S)-3,5-Diaminohexanoate",C01186,0.785714285714
(S)-3-Hydroxybutanoyl-CoA,C01144,(R)-3-Hydroxybutanoyl-CoA,C03561,0.84
(S)-3-Hydroxybutanoyl-CoA,C01144,(S)-3-Hydroxyoctanoyl-CoA,C05266,0.76
(S)-3-Hydroxybutanoyl-CoA,C01144,3-Hydroxybutanoyl-CoA,C05116,0.72
(S)-3-Hydroxybutanoyl-CoA,C01144,(S)-3-Hydroxydecanoyl-CoA,C05264,0.72
(S)-3-Hydroxybutanoyl-CoA,C01144,(S)-3-Hydroxyhexanoyl-CoA,C05268,0.72
(S)-3-Hydroxybutyryl-CoA,C01144,(S)-3-Hydroxyisobutyryl-CoA,C06000,0.740740740741
2-Hydroxy-3-oxopropanoate,C01146,2-Hydroxy-3-oxoadipate,C03217,0.72
2-Hydroxy-3-oxopropanoate,C01146,2-Hydroxy-3-oxosuccinate,C03459,0.72
2-Hydroxy-3-oxopropanoate,C01146,2-Hydroxy-3-phenylpropenoate,C02763,0.714285714286
Tartronate semialdehyde,C01146,Glutarate semialdehyde,C03273,0.739130434783
2-Hydroxycyclohexanone,C01147,3-Hydroxycyclohexanone,C03228,0.909090909091
4-Trimethylammoniobutanal,C01149,4-Trimethylammoniobutanoate,C01181,0.851851851852
"D-Ribose 1,5-bisphosphate",C01151,"D-Ribulose 1,5-bisphosphate",C01182,0.851851851852
"D-Ribose 1,5-bisphosphate",C01151,"D-Fructose 1,6-bisphosphate",C00354,0.777777777778
"D-Ribose 1,5-bisphosphate",C01151,"D-Mannose 1,6-bisphosphate",C03693,0.769230769231
"D-Ribose 1,5-bisphosphate",C01151,"D-Fructose 2,6-bisphosphate",C00665,0.740740740741
"D-Ribose 1,5-bisphosphate",C01151,"D-Tagatose 1,6-bisphosphate",C03785,0.740740740741
"D-Ribose 1,5-bisphosphate",C01151,"2-Deoxy-D-ribose 1,5-bisphosphate",C04175,0.727272727273
N(pi)-Methyl-L-histidine,C01152,N-Methyl-L-histidine,C03298,0.708333333333
1-Methylhistidine,C01152,1-Methylhistamine,C05127,0.823529411765
trans-4-Hydroxy-L-proline,C01157,trans-4-Hydroxy-D-proline,C03651,0.92
trans-4-Hydroxy-L-proline,C01157,cis-4-Hydroxy-L-proline,C03441,0.76
1-O-Galloyl-beta-D-glucose,C01158,Pentagalloyl-beta-D-glucose,C04576,0.777777777778
1-O-Galloyl-beta-D-glucose,C01158,1-O-Feruloyl-beta-D-glucose,C17759,0.777777777778
1-O-Galloyl-beta-D-glucose,C01158,"1-O,6-O-Digalloyl-beta-D-glucose",C04101,0.75
1-O-Galloyl-beta-D-glucose,C01158,1-O-Sinapoyl-beta-D-glucose,C01175,0.740740740741
1-O-Galloyl-beta-D-glucose,C01158,"1,3,6-Tri-o-galloyl-beta-D-glucose",C17458,0.735294117647
1-O-Galloyl-beta-D-glucose,C01158,1-Caffeoyl-beta-D-glucose,C10433,0.730769230769
"2,3-Bisphospho-D-glycerate",C01159,"Cyclic 2,3-bisphospho-D-glycerate",C06189,0.787878787879
"2,3-Bisphospho-D-glycerate",C01159,"2,3-Bisphosphoglycerate",C03339,0.846153846154
"3,4-Dihydroxyphenylacetate",C01161,"2,6-Dihydroxyphenylacetate",C06207,0.884615384615
"3,4-Dihydroxyphenylacetate",C01161,3-Hydroxyphenylacetate,C05593,0.807692307692
"3,4-Dihydroxyphenylacetate",C01161,"3,4-Dihydroxyphenylpyruvate",C04045,0.777777777778
"3,4-Dihydroxyphenylacetate",C01161,"3,4-Dihydroxyphenylacetaldehyde",C04043,0.774193548387
"3,4-Dihydroxyphenylacetate",C01161,2-Hydroxyphenylacetate,C05852,0.769230769231
"3,4-Dihydroxyphenylacetate",C01161,"3-(3,4-Dihydroxyphenyl)lactate",C01207,0.766666666667
"3,4-Dihydroxyphenylacetic acid",C01161,"3,4-Dihydroxyphenylpropionic acid",C10447,0.757575757576
"3,4-Dihydroxyphenylacetic acid",C01161,"3,4-Dihydroxyphthalic acid",C03223,0.733333333333
3-(Pyrazol-1-yl)-L-alanine,C01162,3-(Uracil-1-yl)-L-alanine,C03584,0.807692307692
"3-Carboxy-cis,cis-muconate",C01163,"2-Carboxy-cis,cis-muconate",C03666,0.923076923077
"3-Carboxy-cis,cis-muconate",C01163,"3-Hydroxy-cis,cis-muconate",C03676,0.846153846154
"3-Carboxy-cis,cis-muconate",C01163,"3-Chloro-cis,cis-muconate",C03585,0.769230769231
"3-Carboxy-cis,cis-muconate",C01163,"3-Fluoro-cis,cis-muconate",C16474,0.769230769231
"3-Carboxy-cis,cis-muconate",C01163,"2-Chloro-cis,cis-muconate",C03572,0.730769230769
"3-Carboxy-cis,cis-muconate",C01163,"3-Methyl-cis,cis-muconate",C04112,0.730769230769
"3-Carboxy-cis,cis-muconate",C01163,"2-Fluoro-cis,cis-muconate",C16475,0.730769230769
"cis,cis-Butadiene-1,2,4-tricarboxylate",C01163,"(Z)-But-1-ene-1,2,4-tricarboxylate",C04002,0.710526315789
"Cholesta-5,7-dien-3beta-ol",C01164,"Cholesta-5,7-dien-3beta-ol benzoate",C14673,0.742857142857
"Cholesta-5,7-dien-3beta-ol",C01164,"Cholesta-5,24-dien-3beta-ol",C01802,0.888888888889
7-Dehydrocholesterol,C01164,27-Hydroxycholesterol,C15610,0.714285714286
Provitamin D3,C01164,Provitamin D2,C01694,0.769230769231
Provitamin D3,C01164,Provitamin B,C05944,0.769230769231
L-Glutamate 5-semialdehyde,C01165,L-Glutamate 1-semialdehyde,C03741,0.884615384615
L-Glutamate 5-semialdehyde,C01165,N-Acetyl-L-glutamate 5-semialdehyde,C01250,0.742857142857
L-Glutamate 5-semialdehyde,C01165,N-Succinyl-L-glutamate 5-semialdehyde,C05932,0.702702702703
Pseudouridine 5'-phosphate,C01168,Orotidine 5'-phosphate,C01103,0.730769230769
alpha-D-Hexose 1-phosphate,C01171,alpha-D-Hexose 6-phosphate,C03735,0.884615384615
"1,3,8-Trihydroxynaphthalene",C01173,"1,3,6,8-Tetrahydroxynaphthalene",C04033,0.838709677419
"1,3,8-Trihydroxynaphthalene",C01173,"1,2-Dihydroxynaphthalene",C03012,0.814814814815
"1,3,8-Trihydroxynaphthalene",C01173,"1,4-Dihydroxynaphthalene",C14785,0.814814814815
"1,3,8-Trihydroxynaphthalene",C01173,"2,3-Dihydroxynaphthalene",C16213,0.814814814815
1-O-Sinapoyl-beta-D-glucose,C01175,1-O-Feruloyl-beta-D-glucose,C17759,0.740740740741
1-O-Sinapoyl-beta-D-glucose,C01175,1-Caffeoyl-beta-D-glucose,C10433,0.703703703704
1-O-Sinapoyl beta-D-glucoside,C01175,"1,2-Bis-O-sinapoyl-beta-D-glucoside",C04275,0.742857142857
1-O-Sinapoyl beta-D-glucoside,C01175,trans-Cinnamoyl beta-D-glucoside,C04164,0.71875
17alpha-Hydroxyprogesterone,C01176,11alpha-Hydroxyprogesterone,C03747,0.925925925926
17alpha-Hydroxyprogesterone,C01176,16alpha-Hydroxyprogesterone,C03748,0.925925925926
17alpha-Hydroxyprogesterone,C01176,12alpha-Hydroxyprogesterone,C14654,0.925925925926
17alpha-Hydroxyprogesterone,C01176,15alpha-Hydroxyprogesterone,C15364,0.925925925926
17alpha-Hydroxyprogesterone,C01176,20alpha-Hydroxyprogesterone,C04042,0.888888888889
17alpha-Hydroxyprogesterone,C01176,11beta-Hydroxyprogesterone,C05498,0.777777777778
17alpha-Hydroxyprogesterone,C01176,"11beta,17alpha-Dihydroxyprogesterone",C05497,0.75
"17alpha-Hydroxy-4-pregnene-3,20-dione",C01176,"21-Hydroxy-4-pregnene-3,20-dione",C03205,0.783783783784
"17alpha-Hydroxy-4-pregnene-3,20-dione",C01176,"7alpha-Methyl-4-pregnene-3,20-dione",C15299,0.783783783784
"17alpha-Hydroxy-4-pregnene-3,20-dione",C01176,"11beta,21-Dihydroxy-4-pregnene-3,20-dione",C02140,0.756097560976
17alpha-Hydroxy-progesterone,C01176,17alpha-Hydroxypregnenolone,C05138,0.714285714286
17alpha-Hydroxy-progesterone,C01176,17alpha-Hydroxypregnanolone,C14609,0.714285714286
Inositol 1-phosphate,C01177,Inosine 5'-phosphate,C00130,0.7
Inositol 1-phosphate,C01177,Ribose 1-phosphate,C00620,0.7
Inositol 1-phosphate,C01177,Glycerol 1-phosphate,C00623,0.7
myo-Inositol 1-phosphate,C01177,"myo-Inositol 1,4-bisphosphate",C01220,0.793103448276
myo-Inositol 1-phosphate,C01177,myo-Inositol hexakisphosphate,C01204,0.724137931034
1D-myo-Inositol 1-phosphate,C01177,1D-myo-Inositol 4-phosphate,C03546,0.888888888889
1D-myo-Inositol 1-phosphate,C01177,1D-myo-Inositol 3-phosphate,C04006,0.888888888889
1D-myo-Inositol 1-phosphate,C01177,"1D-myo-Inositol 1,3-bisphosphate",C04062,0.78125
1D-myo-Inositol 1-phosphate,C01177,"1D-myo-Inositol 3,4-bisphosphate",C04063,0.75
3-(4-Hydroxyphenyl)pyruvate,C01179,"3-(3,4-Dihydroxyphenyl)pyruvate",C04045,0.870967741935
3-(4-Hydroxyphenyl)pyruvate,C01179,3-(4-Hydroxyphenyl)lactate,C03672,0.777777777778
3-(4-Hydroxyphenyl)pyruvate,C01179,"3-(3,5-Diiodo-4-hydroxyphenyl)pyruvate",C01244,0.710526315789
4-Hydroxyphenylpyruvate,C01179,3-Iodo-4-hydroxyphenylpyruvate,C03987,0.766666666667
Nicotinate D-ribonucleotide,C01185,Urate D-ribonucleotide,C03312,0.703703703704
3-Deoxy-D-manno-octulosonate,C01187,CMP-3-deoxy-D-manno-octulosonate,C04121,0.875
3-Deoxy-D-manno-octulosonate,C01187,3-Deoxy-D-manno-octulosonate 8-phosphate,C04478,0.7
2-Dehydro-3-deoxy-D-octonate,C01187,2-Dehydro-3-deoxy-D-pentonate,C03826,0.827586206897
2-Dehydro-3-deoxy-D-octonate,C01187,2-Dehydro-3-deoxy-L-fuconate,C03827,0.821428571429
2-Dehydro-3-deoxy-D-octonate,C01187,2-Dehydro-3-deoxy-D-fuconate,C06159,0.821428571429
2-Dehydro-3-deoxy-D-octonate,C01187,2-Dehydro-3-deoxy-D-galactonate,C01216,0.806451612903
2-Dehydro-3-deoxy-D-octonate,C01187,2-Dehydro-3-deoxy-D-gluconate,C00204,0.793103448276
2-Dehydro-3-deoxy-D-octonate,C01187,2-Dehydro-3-deoxy-L-rhamnonate,C03979,0.766666666667
3-Hydroxy-2-methylpropanoate,C01188,3-Amino-2-methylpropanoate,C05145,0.785714285714
3-Hydroxy-2-methylpropanoate,C01188,3-Hydroxy-2-methylpropanoyl-CoA,C04047,0.774193548387
3-Hydroxy-2-methylpropanoate,C01188,2-Amino-2-methylpropanoate,C03665,0.75
3-Hydroxyisobutyrate,C01188,(S)-3-Hydroxyisobutyrate,C06001,0.833333333333
5alpha-Cholest-7-en-3beta-ol,C01189,5alpha-Cholest-8-en-3beta-ol,C03845,0.928571428571
5alpha-Cholest-7-en-3beta-ol,C01189,"5alpha-Cholesta-7,24-dien-3beta-ol",C05439,0.794117647059
5alpha-Cholest-7-en-3beta-ol,C01189,"5alpha-Cholesta-8,24-dien-3beta-ol",C05437,0.764705882353
Lathosterol,C01189,Lanosterol,C01724,0.727272727273
Lathosterol,C01189,Sitosterol,C01753,0.727272727273
Palmitoylglycerone phosphate,C01192,1-Palmitoylglycerol 3-phosphate,C04036,0.774193548387
"3,4-Dihydroxy-trans-cinnamate",C01197,3-Methoxy-4-hydroxy-trans-cinnamate,C01494,0.714285714286
3-(2-Hydroxyphenyl)propanoate,C01198,"3-(2,3-Dihydroxyphenyl)propanoate",C04044,0.878787878788
3-(2-Hydroxyphenyl)propanoate,C01198,3-Amino-3-(4-hydroxyphenyl)propanoate,C04368,0.756756756757
3-(2-Hydroxyphenyl)propanoate,C01198,2-Hydroxy-3-(4-hydroxyphenyl)propanoate,C03672,0.717948717949
2-Hydroxyphenylpropanoate,C01198,3-Hydroxyphenylpropanoate,C11457,0.92
2-Hydroxyphenylpropanoate,C01198,"3,4-Dihydroxyphenylpropanoate",C10447,0.827586206897
1D-myo-Inositol hexakisphosphate,C01204,"1D-myo-Inositol 1,4-bisphosphate",C01220,0.78125
1D-myo-Inositol hexakisphosphate,C01204,"1D-myo-Inositol 1,3-bisphosphate",C04062,0.78125
1D-myo-Inositol hexakisphosphate,C01204,"1D-myo-Inositol 3,4-bisphosphate",C04063,0.78125
1D-myo-Inositol hexakisphosphate,C01204,1D-myo-Inositol 4-phosphate,C03546,0.71875
1D-myo-Inositol hexakisphosphate,C01204,1D-myo-Inositol 3-phosphate,C04006,0.71875
(R)-3-Amino-2-methylpropanoate,C01205,(S)-3-Amino-2-methylpropanoate,C03284,0.933333333333
(R)-3-Amino-2-methylpropanoate,C01205,3-Amino-2-methylpropanoate,C05145,0.833333333333
(R)-3-Amino-2-methylpropanoate,C01205,2-Amino-2-methylpropanoate,C03665,0.8
"3-(3,4-Dihydroxyphenyl)lactate",C01207,3-(4-Hydroxyphenyl)lactate,C03672,0.833333333333
"3-(3,4-Dihydroxyphenyl)lactate",C01207,"3-(3,4-Dihydroxyphenyl)pyruvate",C04045,0.806451612903
"3-(3,4-Dihydroxyphenyl)lactate",C01207,"3-(3,5-Diiodo-4-hydroxyphenyl)lactate",C04367,0.756756756757
"3-(3,4-Dihydroxyphenyl)lactate",C01207,(R)-3-(4-Hydroxyphenyl)lactate,C03964,0.7
(R)-Methylmalonyl-CoA,C01213,2-Methylmalonyl-CoA,C02557,0.714285714286
1-Amino-1-deoxy-scyllo-inositol,C01214,1-Amino-1-deoxy-scyllo-inositol 4-phosphate,C01283,0.720930232558
1-Amino-1-deoxy-scyllo-inositol,C01214,1-Guanidino-1-deoxy-scyllo-inositol,C04280,0.857142857143
2-Dehydro-3-deoxy-D-galactonate,C01216,2-Dehydro-3-deoxy-D-galactonate 6-phosphate,C01286,0.720930232558
